projection_id,player_name,team,prop_type,line_score,start_time,sport,league,pick_type,standard_line,goblin_line,demon_line,pp_projection_id,player_id,pp_game_id,player,line,pos,opp_team,pp_home_team,pp_away_team,image_url,tournament,pp_updated_at,fetched_at,prop_norm,unsupported_prop,espn_athlete_id,tour,standard_line_source,deviation_level,opp_def_tier,DEF_TIER,OVERALL_DEF_RANK,stat_status,aces_per_match,double_faults_per_match,first_serve_pct,games_won_per_match,sets_won_per_match,win_rate_L10,best_surface,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,actual_series,surface,surface_encoded,aces_per_match_mean,df_per_match_mean,first_serve_won_pct,win_rate_on_surface,n_matches_on_surface,surface_specialist,surface_struggle,h2h_win_rate_on_surface,n_h2h_matches,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,l5_over,l5_under,last5_over,last5_under,last5_push,line_games_played_10,line_hits_over_10,line_hits_under_10,line_hits_push_10,line_hit_rate_over_10,line_hit_rate_under_10,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,round,is_grand_slam,player_atp_rank,opponent_rank,ranking_diff,position_group,minutes_tier,shot_role,usage_role,game_script_mult,game_script_note,avg_minutes,composite_hit_rate,composite_score,projection,edge,ml_prob,edge_score,rank_score,line_hit_rate,ml_edge,final_score,consistency_grade,consistency_multiplier,blended_score,bet_direction,tier_source,tier_basis,tier,void_reason,espn_player_id,abs_edge,model_dir,final_bet_direction,final_dir_reason,direction,prob_source,distribution_n,distribution_std
14114167,Daniil Medvedev,DANIIL MEDVEDEV,Total Games,19.5,2026-08-25T18:30:00.000-04:00,Tennis,ATP / HARD,Goblin,22.5,,,14114167,201271,182439,Daniil Medvedev,19.5,Player,UNKNOWN_OPP,,,https://static.prizepicks.com/images/manual/Medvedev.png,,2026-08-25T01:35:16.221-04:00,2026-08-25T13:00:49-04:00,match_total_games,0,2383,ATP,sibling_or_pp,2,,N/A,,OK,,,0.6364811020478724,,,,,33,22,22,38,25,33,20,19,20,24,28,25.6,25.6,,hard,0,8.1,4.322222222222222,0.7590058255502423,0.6813186813186813,91,1,0,,,OK,5,5,0,0,1,0,1,0,5,0,5,0,0,10,9,1,0,0.9,0.1,0.9,0.1,,0,8,,,ATP,2,NEUTRAL,ELITE,1,,,0.95,1.9,28,8.5,0.58,-0.4198,8.4772504,0.95,0.07840000000000003,8.05338788,?,0.95,0.839,OVER,distance,distance,B,,2383,8.5,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,10,6.6533
14115515,Arthur Fery,ARTHUR FERY,Total Games,18.5,2026-08-25T16:00:00.000-04:00,Tennis,ATP / HARD,Goblin,20.5,,,14115515,243642,182438,Arthur Fery,18.5,Player,CRUZ HEWITT,,,https://www.atptour.com/-/media/alias/player-headshot/F0DM,,2026-08-25T01:35:16.221-04:00,2026-08-25T13:00:49-04:00,match_total_games,0,8621,ATP,sibling_or_pp,1,,N/A,,OK,,,0.6175726138587707,,,,,25,31,31,29,21,30,32,23,14,32,27.4,26.8,26.8,,hard,0,4,0.75,0.6207422586520946,0.4,5,0,0,,,OK,5,5,0,0,1,0,1,0,5,0,5,0,0,10,9,1,0,0.9,0.1,0.9,0.1,,0,37,250.0,-213,ATP,2,NEUTRAL,FIELD,1,,,0.95,1.85,27.4,8.899999999999999,0.58,-0.4199,8.252412231578948,0.95,0.07840000000000003,7.83979162,?,0.95,0.839,OVER,distance,distance,B,,8621,8.899999999999999,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,10,5.9591
14083720,Nikola Bartunkova,NIKOLA BARTUNKOVA,Total Games,18.5,2026-08-25T22:40:00.000-04:00,Tennis,WTA / HARD,Goblin,21.5,,,14083720,261471,182334,Nikola Bartunkova,18.5,Player,ANASTASIA POTAPOVA,,,https://static.flashscore.com/res/image/data/U1bZs9e5-SUaUoUDh.png,,2026-08-25T01:35:16.221-04:00,2026-08-25T13:00:49-04:00,match_total_games,0,7804,WTA,sibling_or_pp,1,,N/A,,OK,,,0.5313678295707619,,,,,19,22,29,25,19,22,35,26,21,18,22.8,23.6,23.6,,hard,0,3.428571428571428,5.357142857142857,0.6713286206914747,0.5714285714285714,14,0,0,,,OK,5,5,0,0,1,0,1,0,5,0,5,0,0,10,9,1,0,0.9,0.1,0.9,0.1,,0,38,25.0,13,WTA,2,NEUTRAL,FIELD,1,,,0.95,1.9,22.8,4.300000000000001,0.58,-0.4066,8.4772504,0.95,0.07840000000000003,8.05338788,?,0.95,0.839,OVER,distance,distance,B,,7804,4.300000000000001,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,10,5.2957
14117890,Maya Joint,MAYA JOINT,Total Games,17.5,2026-08-25T18:40:00.000-04:00,Tennis,WTA / HARD,Goblin,20.5,,,14117890,203793,182486,Maya Joint,17.5,Player,PANNA UDVARDY,,,https://static.prizepicks.com/images/manual/MayaJoint.webp,,2026-08-25T01:35:16.221-04:00,2026-08-25T13:00:49-04:00,match_total_games,0,14146,WTA,sibling_or_pp,1,,N/A,,OK,,,0.6403430393710771,,,,,22,18,25,33,20,26,34,27,17,22,23.6,24.4,24.4,,hard,0,1.291666666666667,3.145833333333333,0.5937369964941172,0.48,50,0,0,,,OK,5,5,0,0,1,0,1,0,5,0,5,0,0,10,9,1,0,0.9,0.1,0.9,0.1,,0,75,76.0,-1,WTA,2,NEUTRAL,FIELD,1,,,0.95,1.9,23.6,6.100000000000001,0.58,-0.4178,8.4772504,0.95,0.07840000000000003,8.05338788,?,0.95,0.839,OVER,distance,distance,B,,14146,6.100000000000001,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,10,5.7966
14083930,Darja Vidmanova,DARJA VIDMANOVA,Total Games,17.5,2026-08-25T17:30:00.000-04:00,Tennis,WTA / HARD,Goblin,21.5,,,14083930,245478,182300,Darja Vidmanova,17.5,Player,KIMBERLY BIRRELL,,,https://static.prizepicks.com/images/manual/Darja Vidmanova.png,,2026-08-25T01:35:16.221-04:00,2026-08-25T13:00:49-04:00,match_total_games,0,6488,WTA,sibling_or_pp,3,,N/A,,OK,,,0.6292172739541161,,,,,27,22,28,23,18,30,18,27,30,16,23.6,23.9,23.9,,hard,0,1.6,2.6,0.6260195852534562,0.2,5,0,0,,,OK,5,5,0,0,1,0,1,0,5,0,5,0,0,10,9,1,0,0.9,0.1,0.9,0.1,,0,90,69.0,21,WTA,2,NEUTRAL,FIELD,1,,,0.95,1.9,23.6,6.100000000000001,0.58,-0.4178,8.4772504,0.95,0.07840000000000003,8.05338788,?,0.95,0.839,OVER,distance,distance,A,,6488,6.100000000000001,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,10,5.2377
14080223,Julia Riera,JULIA RIERA,Total Games,20.5,2026-08-25T13:10:00.000-04:00,Tennis,WTA / HARD,Goblin,22,,,14080223,201871,182235,Julia Riera,20.5,Player,VIKTORIA HRUNCAKOVA,,,https://img0.aiscore.com/v2/team/3c1c168165c80929eebc4c441bf795e0.png!w80,,2026-08-25T12:53:28.274-04:00,2026-08-25T13:00:49-04:00,match_total_games,0,5749,WTA,offset_estimate,1,,N/A,,OK,,,,,,,,29,33,24,30,26,17,23,30,,,28.4,26.5,26.5,,hard,0,,,,,,,,,,OK,5,5,0,0,1,0,1,0,5,0,5,0,0,8,7,1,0,0.875,0.125,0.875,0.125,,0,147,250.0,-103,WTA,2,NEUTRAL,FIELD,1,,,0.9375,1.825,28.4,7.899999999999999,0.58,-0.4196,8.124300055263157,0.9375,0.07840000000000003,7.718085052499999,?,0.95,0.8302,OVER,distance,distance,C,,5749,7.899999999999999,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,8,5.099
14086977,Julia Riera,JULIA RIERA,Total Games,19.5,2026-08-25T13:10:00.000-04:00,Tennis,WTA / HARD,Goblin,21.5,,,14086977,201871,182235,Julia Riera,19.5,Player,VIKTORIA HRUNCAKOVA,,,https://img0.aiscore.com/v2/team/3c1c168165c80929eebc4c441bf795e0.png!w80,,2026-08-25T12:59:49.495-04:00,2026-08-25T13:00:49-04:00,match_total_games,0,5749,WTA,offset_estimate,2,,N/A,,OK,,,,,,,,29,33,24,30,26,17,23,30,,,28.4,26.5,26.5,,hard,0,,,,,,,,,,OK,5,5,0,0,1,0,1,0,5,0,5,0,0,8,7,1,0,0.875,0.125,0.875,0.125,,0,147,250.0,-103,WTA,2,NEUTRAL,FIELD,1,,,0.9375,1.825,28.4,8.899999999999999,0.58,-0.4199,8.124300055263157,0.9375,0.07840000000000003,7.718085052499999,?,0.95,0.8302,OVER,distance,distance,B,,5749,8.899999999999999,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,8,5.099
14115159,Arthur Fery,ARTHUR FERY,Total Games,20.5,2026-08-25T16:00:00.000-04:00,Tennis,ATP / HARD,Standard,20.5,,,14115159,243642,182438,Arthur Fery,20.5,Player,CRUZ HEWITT,,,https://www.atptour.com/-/media/alias/player-headshot/F0DM,,2026-08-25T08:51:33.353-04:00,2026-08-25T13:00:49-04:00,match_total_games,0,8621,ATP,pp_or_step1,0,,N/A,,OK,,,0.6175726138587707,,,,,25,31,31,29,21,30,32,23,14,32,27.4,26.8,26.8,,hard,0,4,0.75,0.6207422586520946,0.4,5,0,0,,,OK,5,5,0,0,1,0,1,0,5,0,5,0,0,10,9,1,0,0.9,0.1,0.9,0.1,,0,37,250.0,-213,ATP,2,NEUTRAL,FIELD,1,,,0.95,1.85,27.4,6.899999999999999,0.58,-0.419,8.252412231578948,0.95,0.07840000000000003,7.83979162,?,0.95,0.839,OVER,ml_prob,ml_prob,B,,8621,6.899999999999999,OVER,OVER,STANDARD_L5AVG_OVER,OVER,ml_prob_unified,10,5.9591
14073788,Julia Riera,JULIA RIERA,Total Sets,2.5,2026-08-25T13:10:00.000-04:00,Tennis,WTA / HARD,Demon,,,,14073788,201871,182235,Julia Riera,2.5,Player,VIKTORIA HRUNCAKOVA,,,https://img0.aiscore.com/v2/team/3c1c168165c80929eebc4c441bf795e0.png!w80,,2026-08-25T12:53:28.274-04:00,2026-08-25T13:00:49-04:00,total_sets,0,5749,WTA,,1,,N/A,,OK,,,,,,,,3,3,3,3,3,2,3,3,,,3,2.875,2.875,,hard,0,,,,,,,,,,OK,5,5,0,0,1,0,1,0,5,0,5,0,0,8,7,1,0,0.875,0.125,0.875,0.125,,0,147,250.0,-103,WTA,2,NEUTRAL,FIELD,1,,,0.9375,1.825,3,0.5,0.2843,-0.3381,8.124300055263157,0.9375,0.07840000000000003,7.718085052499999,?,0.95,0.7415,OVER,ml_prob_fallback,ml_prob_fallback,B,,5749,0.5,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,8,0.3536
14115099,Janice Tjen,JANICE TJEN,Total Games,18.5,2026-08-25T18:10:00.000-04:00,Tennis,WTA / HARD,Goblin,21.5,,,14115099,254331,182478,Janice Tjen,18.5,Player,UNKNOWN_OPP,,,https://static.flashscore.com/res/image/data/IXqmtWg5-KrylHcC5.png,,2026-08-25T01:35:16.221-04:00,2026-08-25T13:00:49-04:00,match_total_games,0,6368,WTA,sibling_or_pp,1,,N/A,,OK,,,0.5869241643879483,,,,,30,20,37,25,29,18,30,20,34,17,28.2,26,26,,hard,0,3.851851851851852,3.925925925925926,0.6863242206757619,0.5555555555555556,27,0,0,,,OK,5,5,0,0,1,0,1,0,5,0,5,0,0,10,8,2,0,0.8,0.2,0.8,0.2,,0,35,,,WTA,2,NEUTRAL,FIELD,1,,,0.9,1.8,28.2,9.7,0.58,-0.4199,7.967700378947369,0.9,0.07840000000000003,7.56931536,?,0.95,0.804,OVER,distance,distance,B,,6368,9.7,OVER,OVER,FORCED_OVER_ONLY_GOB_DEM,OVER,ml_prob_unified,10,7.0238
