PLAYER_NAME,PLAYER_NORM,TEAM,season_avg,games,category,team_slate,team_def_key,rank_on_team,leader_side,PLAYER_NAME_split,n_games,n_elite,n_weak,avg_delta_all,avg_delta_vs_elite,avg_delta_vs_weak,avg_delta_vs_mid,def_rank_corr,weak_over_rate,elite_over_rate,def_boost,overperform_vs_weak,fades_vs_elite,player,team,opp_team,prop_norm,line,bet_direction,final_bet_direction,rank_score,edge,tier,slate_opp_def_rank,slate_opp_def_tier,line_hit_rate_over_ou_5,stat_last5_avg,player_norm,on_slate,slate_edge_signal
Ben Saraf,ben saraf,BKN,1.5263157894736843,19,reb,BKN,BKN,1,bottom,Ben Saraf,16,4,7,0.2041847858024329,-0.7508928571428573,0.7642813535670678,0.18411170528817591,0.5198688437921023,0.5714285714285714,0.25,1.515174210709925,True,True,,,,,,,,,,,,,,,,False,False
Drake Powell,drake powell,BKN,1.6551724137931034,29,reb,BKN,BKN,2,bottom,Drake Powell,26,7,9,0.40262559327803893,-0.1634078884078884,0.8995587258745155,0.35160921112135946,0.19118390267123103,0.6666666666666666,0.2857142857142857,1.062966614282404,True,False,,,,,,,,,,,,,,,,False,False
Nolan Traore,nolan traore,BKN,1.7941176470588236,34,reb,BKN,BKN,3,bottom,Nolan Traore,31,8,13,0.16586494766926185,-0.12740748834498833,0.16559307412594687,0.4008363320869715,0.03303161408131819,0.6153846153846154,0.375,0.2930005624709352,False,False,,,,,,,,,,,,,,,,False,False
Day'Ron Sharpe,day'ron sharpe,BKN,7.636363636363637,33,reb,BKN,BKN,1,top,Day'Ron Sharpe,30,7,13,-0.42736600481628517,-1.0806805662520953,-0.39738894927415763,-0.009015984015984024,0.05812977075574057,0.46153846153846156,0.2857142857142857,0.6832916169779377,False,True,,,,,,,,,,,,,,,,False,False
Michael Porter Jr.,michael porter jr.,BKN,6.615384615384615,26,reb,BKN,BKN,2,top,Michael Porter Jr.,23,8,7,-0.2109581202499964,-0.45223214285714286,-0.4113548976903015,0.20566308261741706,0.04096861781071364,0.2857142857142857,0.375,0.04087724516684138,False,True,,,,,,,,,,,,,,,,False,False
Nic Claxton,nic claxton,BKN,6.3,30,reb,BKN,BKN,3,top,Nic Claxton,27,8,12,-0.24225537931572394,-1.408082165419122,0.5516439246263808,-0.270852144812591,0.35309678562459185,0.5833333333333334,0.25,1.959726090045503,True,True,,,,,,,,,,,,,,,,False,False
Cam Thomas,cam thomas,BKN,0.0,14,stl,BKN,BKN,1,bottom,Cam Thomas,11,4,5,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,False,False,,,,,,,,,,,,,,,,False,False
Drake Powell,drake powell,BKN,0.3448275862068966,29,stl,BKN,BKN,2,bottom,Drake Powell,26,7,9,0.02006828793157319,0.09011544011544013,-0.06296724717777348,0.045767263001278355,-0.14357265503180608,0.2222222222222222,0.2857142857142857,-0.15308268729321362,False,False,,,,,,,,,,,,,,,,False,False
Ochai Agbaji,ochai agbaji,BKN,0.36363636363636365,11,stl,BKN,BKN,3,bottom,Ochai Agbaji,11,3,5,0.13819050095662633,-0.22983164983164983,0.5787012263099219,-0.2279718905105902,0.5878743993289218,0.6,0.0,0.8085328761415718,True,False,,,,,,,,,,,,,,,,False,False
Ziaire Williams,ziaire williams,BKN,1.5909090909090908,22,stl,BKN,BKN,1,top,Ziaire Williams,19,6,5,-0.5342516051290697,-1.1219298245614036,0.5446761734997029,-0.7678228021978022,0.664432410198134,1.0,0.0,1.6666059980611063,True,True,,,,,,,,,,,,,,,,False,False
Day'Ron Sharpe,day'ron sharpe,BKN,1.2424242424242424,33,stl,BKN,BKN,2,top,Day'Ron Sharpe,30,7,13,-0.27870576926552487,0.02917999485320661,-0.7275654293780429,0.08929175399763634,-0.19844994334727856,0.3076923076923077,0.5714285714285714,-0.7567454242312496,False,False,,,,,,,,,,,,,,,,False,False
Michael Porter Jr.,michael porter jr.,BKN,1.1923076923076923,26,stl,BKN,BKN,3,top,Michael Porter Jr.,23,8,7,-0.290739115724265,0.2311755952380952,-0.8139953214487375,-0.3548046466777117,-0.28814295487254393,0.14285714285714285,0.625,-1.0451709166868328,False,False,,,,,,,,,,,,,,,,False,False
Cam Thomas,cam thomas,BKN,0.07142857142857142,14,stocks,BKN,BKN,1,bottom,Cam Thomas,11,4,5,-0.1527394322848868,-0.10486111111111111,-0.1700865800865801,-0.20512820512820512,-0.21057447472958632,0.0,0.0,-0.06522546897546898,False,False,,,,,,,,,,,,,,,,False,False
Tyrese Martin,tyrese martin,BKN,0.5,10,stocks,BKN,BKN,2,bottom,Tyrese Martin,7,3,2,-0.5040249433106576,-0.39629629629629637,-0.5,-0.6696428571428572,-0.1318167659833822,0.0,0.3333333333333333,-0.10370370370370363,False,True,,,,,,,,,,,,,,,,False,False
