PLAYER_NAME,PLAYER_NORM,TEAM,season_avg,games,category,team_slate,team_def_key,rank_on_team,leader_side,PLAYER_NAME_split,n_games,n_elite,n_weak,avg_delta_all,avg_delta_vs_elite,avg_delta_vs_weak,avg_delta_vs_mid,def_rank_corr,weak_over_rate,elite_over_rate,def_boost,overperform_vs_weak,fades_vs_elite,player,team,opp_team,prop_norm,line,bet_direction,final_bet_direction,rank_score,edge,tier,slate_opp_def_rank,slate_opp_def_tier,line_hit_rate_over_ou_5,stat_last5_avg,player_norm,on_slate,slate_edge_signal
Asa Newell,asa newell,ATL,3.8666666666666667,15,pts,ATL,ATL,3,bottom,Asa Newell,12,4,3,1.4464338901838907,1.507357226107226,2.4814814814814814,0.7766666666666667,0.09732340536941347,0.6666666666666666,0.75,0.9741242553742555,True,False,,,,,,,,,,,,,,,,False,False
Jalen Johnson,jalen johnson,ATL,21.82758620689655,29,pts,ATL,ATL,1,top,Jalen Johnson,26,5,9,0.7939672797926836,-0.20482540335481544,0.7612776112776116,1.2346481491571122,0.1349151076890892,0.5555555555555556,0.4,0.9661030146324271,True,False,,,,,,,,,,,,,,,,False,False
Nickeil Alexander-Walker,nickeil alexander-walker,ATL,19.64516129032258,31,pts,ATL,ATL,2,top,Nickeil Alexander-Walker,28,6,9,-1.0302704062177137,-4.64559237059237,-0.7274845796904622,0.4287187743594155,0.18084503027577586,0.5555555555555556,0.16666666666666666,3.9181077909019075,True,True,,,,,,,,,,,,,,,,False,False
CJ McCollum,cj mccollum,ATL,18.59259259259259,27,pts,ATL,ATL,3,top,CJ McCollum,27,6,9,-0.31158322400211,-2.650595757871299,-1.485853183316952,1.7386255124186158,-0.05536689678830555,0.4444444444444444,0.3333333333333333,1.1647425745543472,False,True,,,,,,,,,,,,,,,,False,False
Keaton Wallace,keaton wallace,ATL,0.625,16,reb,ATL,ATL,1,bottom,Keaton Wallace,13,3,5,-0.1818194625886934,-0.1357142857142857,-0.29727272727272724,-0.09402930402930401,-0.07829491457476428,0.4,0.3333333333333333,-0.16155844155844154,False,False,,,,,,,,,,,,,,,,False,False
Gabe Vincent,gabe vincent,ATL,1.0,10,reb,ATL,ATL,2,bottom,Gabe Vincent,10,0,3,-0.01513630089717044,,-0.35185185185185186,0.129170363797693,-0.22200044507370412,0.3333333333333333,,,False,False,,,,,,,,,,,,,,,,False,False
Asa Newell,asa newell,ATL,1.8666666666666667,15,reb,ATL,ATL,3,bottom,Asa Newell,12,4,3,0.5532458282458282,1.0849358974358974,-0.2629629629629629,0.6176190476190475,-0.22884360519468308,0.6666666666666666,0.5,-1.3478988603988602,False,False,,,,,,,,,,,,,,,,False,False
Jalen Johnson,jalen johnson,ATL,10.379310344827585,29,reb,ATL,ATL,1,top,Jalen Johnson,26,5,9,-0.03198165078614112,2.00741464417935,-0.24555398305398335,-0.7215508578208808,-0.17563008390500645,0.5555555555555556,0.6,-2.2529686272333334,False,False,,,,,,,,,,,,,,,,False,False
Onyeka Okongwu,onyeka okongwu,ATL,7.777777777777778,27,reb,ATL,ATL,2,top,Onyeka Okongwu,24,5,6,-0.15182933690257186,-2.7491941391941395,0.8296455264721517,0.39416872703662,0.4525525991545416,0.8333333333333334,0.0,3.5788396656662913,True,True,,,,,,,,,,,,,,,,False,False
Dyson Daniels,dyson daniels,ATL,6.758620689655173,29,reb,ATL,ATL,3,top,Dyson Daniels,26,5,10,0.1272683933852225,-1.085424836601307,-0.60990113348809,1.34864670417302,0.08790069012356196,0.5,0.2,0.475523703113217,False,True,,,,,,,,,,,,,,,,False,False
