dominant_def_tier,n,cashes,avg_net_10,cash_rate
avg,26,17.0,3.746153846153846,0.6538461538461539
elite,24,12.0,0.09583333333333337,0.5
weak,25,12.0,4.488,0.48
above avg,7,2.0,-4.0,0.2857142857142857
(missing),27,7.0,-0.19999999999999996,0.25925925925925924
good/solid,3,0.0,-10.0,0.0
