dominant_min_tier,n,cashes,avg_net_10,cash_rate
high,15,13.0,11.020000000000001,0.8666666666666667
1,14,7.0,-4.914285714285714,0.5
(missing),60,24.0,1.1566666666666665,0.4
dnp risk,7,2.0,-1.4285714285714286,0.2857142857142857
medium,16,4.0,-0.4624999999999999,0.25
