minutes_tier,n,hits,hit_rate
spot,6,4.0,0.6666666666666666
1,2538,1535.0,0.6048069345941687
medium,42194,24601.0,0.583044982698962
med,90,50.0,0.5555555555555556
2,1508,806.0,0.5344827586206896
high,39519,21121.0,0.5344517826868089
3,1505,778.0,0.5169435215946844
(missing),354706,166367.0,0.469027870969197
unknown,13424,6000.0,0.4469606674612634
0,20615,8894.0,0.43143342226534076
low,31163,10733.0,0.344414850945031
dnp risk,7094,1887.0,0.26599943614321964
