rank,tier,player,team,opp,is_home,player_role,position_group,prop_display,prop_type,line,direction,composite_hr,hit_rate,hr_L5,hr_L10,hr_L20,hr_season,sample_L5,hit_L5,sample_L10,hit_L10,sample_L20,sample_season,avg_L5,avg_L10,avg_L20,avg_season,gap_vs_line_L5,gap_vs_line_L10,projection,over_L5_raw,under_L5_raw,over_L10_raw,under_L10_raw,last1_raw,last2_raw,last3_raw,games_played,scoring_tier,pp_tier,def_tier,def_rank,opp_gaa,implied_team_total,game_total,opp_saa,opp_shots_allowed_avg,opp_pk_pct,player_avg_shots_L5,player_avg_shots_L10,pts_per_game,pp_pts_per_game,toi_avg_L10,toi_per_game_api,prop_score,edge,abs_edge,ml_prob,edge_score,blended_score,pick_type,Game Date,game_date,Game Time,game_start,game_script_mult,game_script_note,open_line,line_movement,line_direction_shift,rest_days,back_to_back,goalie_name,goalie_sv_pct,line_combo,line_combo_toi_pct,on_pp1_line,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10
12,D,Seth Jarvis,CAR,NJ,0,SKATER,F,Shots On Goal,shots_on_goal,1.5,OVER,0.94,0.94,1.0,0.9,0.9,0.9,5,5/5,10,9/10,20,30,,,,,,,,5,0,9,1,,,,,ELITE,PP_REGULAR,SOLID,12,3.029,,,0.000,0.0,0.000,2.80,3.20,0.930,0.296,,18.88,0.69409,-1.5000,1.5000,0.3855,,0.6941,goblin,2026-03-28,2026-03-28,5:00 PM,2026-03-28T17:00:00.000-04:00,1.000,"CAR +1.5 pt margin vs NJ, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)",2.50,0.000,stable,,0,,,,,0,2.00,2.00,2.00,6.00,2.00,1.00,5.00,3.00,5.00,4.00
21,D,Nick Schmaltz,UTA,LA,0,SKATER,F,Shots On Goal,shots_on_goal,1.5,OVER,0.8483,0.8483,1.0,0.8,0.7,0.6333,5,5/5,10,8/10,20,30,,,,,,,,5,0,8,2,,,,,ELITE,PP_REGULAR,SOLID,11,3.015,,,0.000,0.0,0.000,3.00,3.10,0.902,0.244,,19.72,0.57230,-1.5000,1.5000,0.2388,,0.5723,goblin,2026-03-28,2026-03-28,9:00 PM,2026-03-28T21:00:00.000-04:00,0.980,"UTA -1.5 pt margin vs ?, shots_on_goal: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)",1.50,0.000,stable,,0,,,,,0,3.00,3.00,2.00,4.00,3.00,4.00,1.00,4.00,0.00,7.00
22,D,Rickard Rakell,PIT,DAL,0,SKATER,F,Shots On Goal,shots_on_goal,1.5,OVER,0.8867,0.8867,1.0,0.9,0.7,0.6667,5,5/5,10,9/10,20,30,,,,,,,,5,0,9,1,,,,,SECONDARY,PP_REGULAR,ELITE,2,2.721,,,0.000,0.0,0.000,4.00,3.50,0.800,0.267,,18.95,0.56122,-1.5000,1.5000,0.2388,,0.5612,goblin,2026-03-28,2026-03-28,5:00 PM,2026-03-28T17:00:00.000-04:00,0.980,"PIT -1.5 pt margin vs DAL, shots_on_goal: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)",1.50,0.000,stable,,0,,,,,0,2.00,2.00,8.00,3.00,5.00,3.00,2.00,3.00,1.00,6.00
26,D,Wyatt Johnston,DAL,PIT,0,SKATER,F,Shots On Goal,shots_on_goal,1.5,OVER,0.7575,0.7575,0.8,0.7,0.75,0.8,5,4/5,10,7/10,20,30,,,,,,,,4,1,7,3,,,,,ELITE,PP1_STAR,SOLID,15,3.101,,,0.000,0.0,0.000,2.80,2.20,1.049,0.512,,20.12,0.53630,-1.5000,1.5000,0.2388,,0.5363,goblin,2026-03-28,2026-03-28,5:00 PM,2026-03-28T17:00:00.000-04:00,1.000,"DAL +1.5 pt margin vs PIT, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)",1.50,0.000,stable,,0,,,,,0,2.00,3.00,5.00,3.00,1.00,1.00,2.00,0.00,2.00,3.00
30,D,Nikolaj Ehlers,CAR,NJ,0,SKATER,F,Shots On Goal,shots_on_goal,1.5,OVER,0.7967,0.7967,0.8,0.8,0.8,0.7667,5,4/5,10,8/10,20,30,,,,,,,,4,1,8,2,,,,,SECONDARY,PP_REGULAR,SOLID,12,3.029,,,0.000,0.0,0.000,2.00,2.30,0.866,0.354,,16.60,0.52559,-1.5000,1.5000,0.2388,,0.5256,goblin,2026-03-28,2026-03-28,5:00 PM,2026-03-28T17:00:00.000-04:00,1.000,"CAR +1.5 pt margin vs NJ, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)",2.50,0.000,stable,,0,,,,,0,2.00,0.00,2.00,3.00,3.00,0.00,3.00,3.00,2.00,5.00
31,D,Dylan Larkin,DET,PHI,0,SKATER,F,Shots On Goal,shots_on_goal,2.5,OVER,0.74,0.74,0.8,0.7,0.7,0.7,5,4/5,10,7/10,20,30,,,,,,,,4,1,7,3,,,,,ELITE,PP_REGULAR,SOLID,14,3.088,,,0.000,0.0,0.000,4.40,3.70,0.905,0.324,,20.18,0.50331,-2.5000,2.5000,0.2388,,0.5033,goblin,2026-03-28,2026-03-28,8:00 PM,2026-03-28T20:00:00.000-04:00,1.000,"DET +1.5 pt margin vs PHI, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)",2.50,0.000,stable,,0,,,,,0,4.00,4.00,5.00,1.00,8.00,4.00,2.00,3.00,1.00,5.00
34,D,Dylan Guenther,UTA,LA,0,SKATER,F,Shots On Goal,shots_on_goal,1.5,OVER,0.7433,0.7433,0.8,0.7,0.7,0.7333,5,4/5,10,7/10,20,30,,,,,,,,4,1,7,3,,,,,ELITE,PP_REGULAR,SOLID,11,3.015,,,0.000,0.0,0.000,2.80,2.90,0.924,0.304,,17.40,0.49566,-1.5000,1.5000,0.2388,,0.4957,goblin,2026-03-28,2026-03-28,9:00 PM,2026-03-28T21:00:00.000-04:00,0.980,"UTA -1.5 pt margin vs ?, shots_on_goal: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)",1.50,0.000,stable,,0,,,,,0,1.00,4.00,3.00,4.00,2.00,3.00,2.00,8.00,1.00,1.00
37,D,Nico Hischier,NJ,CAR,0,SKATER,F,Shots On Goal,shots_on_goal,1.5,OVER,0.7467,0.7467,0.8,0.7,0.7,0.7667,5,4/5,10,7/10,20,30,,,,,,,,4,1,7,3,,,,,SECONDARY,PP_REGULAR,SOLID,10,2.971,,,0.000,0.0,0.000,2.80,2.50,0.805,0.280,,20.72,0.47858,-1.5000,1.5000,0.2388,,0.4786,goblin,2026-03-28,2026-03-28,5:00 PM,2026-03-28T17:00:00.000-04:00,0.980,"NJ -1.5 pt margin vs CAR, shots_on_goal: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)",1.50,0.000,stable,,0,,,,,0,5.00,3.00,0.00,3.00,3.00,3.00,0.00,1.00,2.00,5.00
42,D,Timo Meier,NJ,CAR,0,SKATER,F,Shots On Goal,shots_on_goal,2.5,OVER,0.7433,0.7433,0.8,0.7,0.7,0.7333,5,4/5,10,7/10,20,30,,,,,,,,4,1,7,3,,,,,SECONDARY,PP_OCC,SOLID,10,2.971,,,0.000,0.0,0.000,2.80,3.40,0.571,0.130,,18.52,0.46959,-2.5000,2.5000,0.2388,,0.4696,goblin,2026-03-28,2026-03-28,5:00 PM,2026-03-28T17:00:00.000-04:00,0.980,"NJ -1.5 pt margin vs CAR, shots_on_goal: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)",2.50,0.000,stable,,0,,,,,0,3.00,4.00,3.00,3.00,1.00,7.00,0.00,1.00,9.00,3.00
44,D,Nick Schmaltz,UTA,LA,0,SKATER,F,Shots On Goal,shots_on_goal,2.5,OVER,0.6975,0.6975,0.8,0.7,0.55,0.5,5,4/5,10,7/10,20,30,,,,,,,,4,1,7,3,,,,,ELITE,PP_REGULAR,SOLID,11,3.015,,,0.000,0.0,0.000,3.00,3.10,0.902,0.244,,19.72,0.46222,-2.5000,2.5000,0.2388,,0.4622,demon,2026-03-28,2026-03-28,9:00 PM,2026-03-28T21:00:00.000-04:00,0.980,"UTA -1.5 pt margin vs ?, shots_on_goal: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)",2.50,0.000,stable,,0,,,,,0,3.00,3.00,2.00,4.00,3.00,4.00,1.00,4.00,0.00,7.00
