projection_id,player_id,player_name,team,position,stat_type,line_score,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,pp_toi_per_game,pp_toi_pct,pp_toi_total_sec,pp_goals_season,pp_points_season,pp_unit_tier,line_combo,line_combo_toi_pct,line_combo_cf_pct,line_combo_xgf_pct,line_sit,on_pp1_line,nst_data_source,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,l10_over,l10_under,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,recommended_side,edge,l10_over_pct,l10_games_played,line_hits_over_10,line_hits_under_10,l10_streak,player_avg_shots_L5,player_avg_shots_L10,open_line,line_movement,line_direction_shift,implied_team_total,game_total
10875478,218218,Rasmus Dahlin,BUF,D,Time On Ice,24.0,standard,False,DET,DET,BUF,2026-03-27T19:00:00.000-04:00,139235,2026-03-27T18:56:27Z,time_on_ice,SKATER,DET,1,8480839,False,,2.957,0.0,0.0,2.942,0.0,0.0,69.0,9.0,SOLID,19.78333333333333,24.5,23.016666666666666,22.466666666666665,22.616666666666667,23.23333333333333,25.166666666666668,23.5,23.75,25.3,,,,,,,,,,,,UNSUPPORTED_PROP,3.47,0.694,16032.0,6.0,22.0,PP1,,,,,,True,nhl_api_pp,0.2,1,4,5,0.3,3,7,3,7,10,0.35,7,13,20,0.5333,30,0.2908,UNDER,0.2092,0.3,10.0,3.0,7.0,COLD,,,24.0,0.0,stable,,
10875475,180376,Patrick Kane,DET,F,Time On Ice,19.5,standard,False,BUF,DET,BUF,2026-03-27T19:00:00.000-04:00,139235,2026-03-27T18:56:27Z,time_on_ice,SKATER,BUF,0,8474141,False,,2.899,0.0,0.0,3.507,0.0,0.0,69.0,7.0,ELITE,18.15,17.433333333333334,20.78333333333333,15.15,16.8,19.15,23.1,17.45,17.683333333333334,20.666666666666668,,,,,,,,,,,,UNSUPPORTED_PROP,3.177,0.63,12772.0,2.0,19.0,PP1,,,,,,True,nhl_api_pp,0.2,1,4,5,0.3,3,7,3,7,10,0.35,7,13,20,0.3,30,0.2675,UNDER,0.2325,0.3,10.0,3.0,7.0,COLD,,,19.5,0.0,stable,,
10875477,218270,Tage Thompson,BUF,F,Time On Ice,19.25,standard,False,DET,DET,BUF,2026-03-27T19:00:00.000-04:00,139235,2026-03-27T18:56:27Z,time_on_ice,SKATER,DET,1,8479420,False,,2.957,0.0,0.0,2.942,0.0,0.0,69.0,9.0,SOLID,16.783333333333335,22.3,17.933333333333334,19.33333333333333,17.2,21.516666666666666,24.35,21.266666666666666,18.73333333333333,22.03333333333333,,,,,,,,,,,,UNSUPPORTED_PROP,3.506,0.703,17038.0,6.0,24.0,PP1,,,,,,True,nhl_api_pp,0.4,2,3,5,0.6,6,4,6,4,10,0.55,11,9,20,0.5667,30,0.5092,OVER,0.0092,0.6,10.0,6.0,4.0,NEUTRAL,,,19.25,0.0,stable,,
10883328,218570,Dylan Larkin,DET,F,Faceoffs Won,12.5,standard,False,BUF,DET,BUF,2026-03-27T19:00:00.000-04:00,139235,2026-03-27T18:56:27Z,faceoffs_won,SKATER,BUF,0,8477946,False,,2.899,0.0,0.0,3.507,0.0,0.0,69.0,7.0,ELITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,NO_DATA,3.265,0.661,14496.0,14.0,24.0,PP1,,,,,,True,nhl_api_pp,0.0,0,5,5,0.0,0,10,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,0.0,10.0,0.0,10.0,COLD,,,12.5,0.0,stable,,
10883329,215149,Ryan McLeod,BUF,F,Faceoffs Won,7.5,standard,False,DET,DET,BUF,2026-03-27T19:00:00.000-04:00,139235,2026-03-27T18:56:27Z,faceoffs_won,SKATER,DET,1,8480802,False,,2.957,0.0,0.0,2.942,0.0,0.0,69.0,9.0,SOLID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,NO_DATA,1.585,0.318,7704.0,0.0,7.0,PP2,,,,,,False,nhl_api_pp,0.0,0,5,5,0.0,0,10,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,0.0,10.0,0.0,10.0,COLD,,,7.5,0.0,stable,,
10883330,87159,Andrew Copp,DET,F,Faceoffs Won,7.5,standard,False,BUF,DET,BUF,2026-03-27T19:00:00.000-04:00,139235,2026-03-27T18:56:27Z,faceoffs_won,SKATER,BUF,0,8477429,False,,2.899,0.0,0.0,3.507,0.0,0.0,69.0,7.0,ELITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,NO_DATA,1.353,0.272,6414.0,1.0,8.0,PP2,,,,,,False,nhl_api_pp,0.0,0,5,5,0.0,0,10,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,0.0,10.0,0.0,10.0,COLD,,,7.5,0.0,stable,,
10883322,218294,Beck Malenstyn,BUF,F,Hits,3.5,standard,False,DET,DET,BUF,2026-03-27T19:00:00.000-04:00,139235,2026-03-27T18:56:27Z,hits,SKATER,DET,1,8479359,False,,2.957,0.0,0.0,2.942,0.0,0.0,69.0,9.0,SOLID,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,NO_DATA,,,,,,,,,,,,False,,0.0,0,5,5,0.0,0,10,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,0.0,10.0,0.0,10.0,COLD,,,3.5,0.0,stable,,
10883323,87157,David Perron,DET,F,Hits,1.5,standard,False,BUF,DET,BUF,2026-03-27T19:00:00.000-04:00,139235,2026-03-27T18:56:27Z,hits,SKATER,BUF,0,8474102,False,,2.899,0.0,0.0,3.507,0.0,0.0,69.0,7.0,ELITE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,NO_DATA,1.887,0.357,7360.0,3.0,8.0,PP2,,,,,,False,nhl_api_pp,0.0,0,5,5,0.0,0,10,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,0.0,10.0,0.0,10.0,COLD,,,1.5,0.0,stable,,
10888123,218707,Arvid Soderblom,CHI,G,Goalie Saves,24.5,standard,False,NYR,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,goalie_saves,GOALIE,NYR,0,8482821,False,,3.203,0.0,0.0,2.841,0.0,0.0,69.0,22.0,AVERAGE,23.0,25.0,4.0,32.0,44.0,45.0,27.0,16.0,22.0,39.0,,,,,,,,,,,,UNSUPPORTED_PROP,,,,,,,,,,,,,goalie_skip,0.6,3,2,5,0.6,6,4,6,4,10,0.55,11,9,20,0.5,26,0.5825,OVER,0.0825,0.6,10.0,6.0,4.0,NEUTRAL,,,24.5,0.0,stable,,
10886461,309284,Dylan Garand,NYR,G,Goalie Saves,22.5,standard,False,CHI,CHI,NYR,2026-03-27T19:00:00.000-04:00,139236,2026-03-27T18:56:27Z,goalie_saves,GOALIE,CHI,1,8482193,False,,3.217,0.0,0.0,2.623,0.0,0.0,69.0,23.0,AVERAGE,29.0,27.0,35.0,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,,,,,,,,,,,,,goalie_skip,1.0,3,0,3,1.0,3,0,3,0,3,1.0,3,0,3,1.0,3,1.0,OVER,0.5,1.0,3.0,3.0,0.0,NEUTRAL,,,22.5,0.0,stable,,
