nba_player_id,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,opp_team_1,opp_team_2,OPP_PTS_DEF_1,OPP_FGA_DEF_1,OPP_FGM_DEF_1,OPP_FG3A_DEF_1,OPP_FG3M_DEF_1,OPP_FTA_DEF_1,OPP_TOV_DEF_1,OPP_2PA_DEF_1,OPP_2PM_DEF_1,OPP_2PTS_DEF_1,OPP_PTS_RANK_DEF_1,OPP_FG3M_RANK_DEF_1,OPP_FG3A_RANK_DEF_1,OPP_FGA_RANK_DEF_1,OPP_FGM_RANK_DEF_1,OPP_2PA_RANK_DEF_1,OPP_2PM_RANK_DEF_1,OPP_2PTS_RANK_DEF_1,OPP_FTA_RANK_DEF_1,OPP_TOV_FORCED_RANK_DEF_1,OVERALL_DEF_SCORE_DEF_1,OVERALL_DEF_RANK_DEF_1,DEF_TIER_DEF_1,OPP_PTS_DEF_2,OPP_FGA_DEF_2,OPP_FGM_DEF_2,OPP_FG3A_DEF_2,OPP_FG3M_DEF_2,OPP_FTA_DEF_2,OPP_TOV_DEF_2,OPP_2PA_DEF_2,OPP_2PM_DEF_2,OPP_2PTS_DEF_2,OPP_PTS_RANK_DEF_2,OPP_FG3M_RANK_DEF_2,OPP_FG3A_RANK_DEF_2,OPP_FGA_RANK_DEF_2,OPP_FGM_RANK_DEF_2,OPP_2PA_RANK_DEF_2,OPP_2PM_RANK_DEF_2,OPP_2PTS_RANK_DEF_2,OPP_FTA_RANK_DEF_2,OPP_TOV_FORCED_RANK_DEF_2,OVERALL_DEF_SCORE_DEF_2,OVERALL_DEF_RANK_DEF_2,DEF_TIER_DEF_2,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5
1627742,Brandon Ingram,F,TOR,SAS,36.5,Pts+Rebs+Asts,pra,Demon,10109088,10109088,269517,130706,2026-02-25T19:30:00.000-05:00,,,31.5,2,https://static.prizepicks.com/images/manual/Brandon_Ingramm.png,,,,,OK,112.2,90.4,41.2,36.4,13.2,21.1,13.5,54.00000000000001,28.000000000000004,56.00000000000001,7.0,15.0,13.0,21.0,10.0,24.0,11.0,11.0,2.0,23.0,10.225806451612902,9.0,Above Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,27.0,30.0,45.0,3.0,1.0,13.0,21.0,45.0,35.0,27.0,21.2,24.7,26.933,1.0,4.0,0.0,0.2,0.2,0.8,0.2,0.8,OK,OK,5.0,1.0,4.0,0.0,0.2,0.8
1641705,Victor Wembanyama,F-C,SAS,TOR,36.5,Pts+Rebs+Asts,pra,Goblin,10109390,10109390,173819,130706,2026-02-25T19:30:00.000-05:00,,,38.0,1,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,,,,,OK,112.3,86.5,39.9,37.1,12.8,24.5,15.8,49.4,27.1,54.2,8.0,10.0,17.0,4.0,4.0,6.0,6.0,6.0,20.0,7.0,7.634408602150537,7.0,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42.0,49.0,32.0,20.0,21.0,39.0,54.0,28.0,46.0,38.0,32.8,36.9,36.733,2.0,3.0,0.0,0.4,0.4,0.6,0.6,0.4,OK,OK,5.0,2.0,3.0,0.0,0.4,0.6
1630567,Scottie Barnes,F-G,TOR,SAS,35.5,Pts+Rebs+Asts,pra,Demon,10109349,10109349,188002,130706,2026-02-25T19:30:00.000-05:00,,,30.5,2,https://static.prizepicks.com/images/players/NBA/Scottie_Barnes_NBA_player_CA6jRIM1PBTqp5mxIeLVkhys.webp,,,,,OK,112.2,90.4,41.2,36.4,13.2,21.1,13.5,54.00000000000001,28.000000000000004,56.00000000000001,7.0,15.0,13.0,21.0,10.0,24.0,11.0,11.0,2.0,23.0,10.225806451612902,9.0,Above Avg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25.0,28.0,11.0,10.0,4.0,29.0,45.0,26.0,40.0,27.0,15.6,24.5,27.0,0.0,5.0,0.0,0.0,0.0,1.0,0.2,0.8,OK,OK,5.0,0.0,5.0,0.0,0.0,1.0
1641705,Victor Wembanyama,F-C,SAS,TOR,35.5,Pts+Rebs+Asts,pra,Goblin,10113860,10113860,173819,130706,2026-02-25T19:30:00.000-05:00,,,38.0,2,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,,,,,OK,112.3,86.5,39.9,37.1,12.8,24.5,15.8,49.4,27.1,54.2,8.0,10.0,17.0,4.0,4.0,6.0,6.0,6.0,20.0,7.0,7.634408602150537,7.0,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42.0,49.0,32.0,20.0,21.0,39.0,54.0,28.0,46.0,38.0,32.8,36.9,36.733,2.0,3.0,0.0,0.4,0.4,0.6,0.6,0.4,OK,OK,5.0,2.0,3.0,0.0,0.4,0.6
1641705,Victor Wembanyama,F-C,SAS,TOR,35.0,Pts+Rebs,pr,Standard,10103843,10103843,173819,130706,2026-02-25T19:30:00.000-05:00,,,35.0,0,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,,,,,OK,112.3,86.5,39.9,37.1,12.8,24.5,15.8,49.4,27.1,54.2,8.0,10.0,17.0,4.0,4.0,6.0,6.0,6.0,20.0,7.0,7.634408602150537,7.0,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,38.0,43.0,28.0,20.0,21.0,35.0,52.0,27.0,40.0,36.0,30.0,34.0,34.2,2.0,3.0,0.0,0.4,0.4,0.6,0.556,0.444,OK,OK,5.0,2.0,3.0,0.0,0.4,0.6
1641705,Victor Wembanyama,F-C,SAS,TOR,34.5,Points,pts,Demon,10103840,10103840,173819,130706,2026-02-25T19:30:00.000-05:00,,,22.5,2,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,,,,,OK,112.3,86.5,39.9,37.1,12.8,24.5,15.8,49.4,27.1,54.2,8.0,10.0,17.0,4.0,4.0,6.0,6.0,6.0,20.0,7.0,7.634408602150537,7.0,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,21.0,28.0,17.0,14.0,19.0,26.0,40.0,16.0,29.0,22.0,19.8,23.2,22.867,0.0,5.0,0.0,0.0,0.0,1.0,0.1,0.9,OK,OK,5.0,0.0,5.0,0.0,0.0,1.0
1628368,De'Aaron Fox,G,SAS,TOR,34.5,Pts+Rebs+Asts,pra,Demon,10108084,10108084,226913,130706,2026-02-25T19:30:00.000-05:00,,,26.5,3,https://static.prizepicks.com/images/players/NBA/De'Aaron_Fox_NBA_player_ey65igBBNutBRz0ibXh85IuZ.webp,,,,,OK,112.3,86.5,39.9,37.1,12.8,24.5,15.8,49.4,27.1,54.2,8.0,10.0,17.0,4.0,4.0,6.0,6.0,6.0,20.0,7.0,7.634408602150537,7.0,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24.0,25.0,26.0,5.0,6.0,0.0,35.0,16.0,22.0,27.0,17.2,18.6,22.188,0.0,5.0,0.0,0.0,0.0,1.0,0.1,0.9,OK,OK,5.0,0.0,5.0,0.0,0.0,1.0
1642264,Stephon Castle,G,SAS,TOR,34.5,Pts+Rebs+Asts,pra,Demon,10108146,10108146,217804,130706,2026-02-25T19:30:00.000-05:00,,,26.5,3,https://static.prizepicks.com/images/players/NBA/Stephon_Castle_NBA_player_3nImU3v39rqjCKdKG1wdfekq.webp,,,,,OK,112.3,86.5,39.9,37.1,12.8,24.5,15.8,49.4,27.1,54.2,8.0,10.0,17.0,4.0,4.0,6.0,6.0,6.0,20.0,7.0,7.634408602150537,7.0,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,31.0,29.0,26.0,16.0,10.0,64.0,31.0,21.0,30.0,27.0,22.4,28.5,27.417,0.0,5.0,0.0,0.0,0.0,1.0,0.1,0.9,OK,OK,5.0,0.0,5.0,0.0,0.0,1.0
1641705,Victor Wembanyama,F-C,SAS,TOR,34.5,Pts+Asts,pa,Demon,10108152,10108152,173819,130706,2026-02-25T19:30:00.000-05:00,,,26.5,2,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,,,,,OK,112.3,86.5,39.9,37.1,12.8,24.5,15.8,49.4,27.1,54.2,8.0,10.0,17.0,4.0,4.0,6.0,6.0,6.0,20.0,7.0,7.634408602150537,7.0,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25.0,34.0,21.0,14.0,19.0,30.0,42.0,17.0,35.0,24.0,22.6,26.1,25.4,0.0,5.0,0.0,0.0,0.0,1.0,0.2,0.8,OK,OK,5.0,0.0,5.0,0.0,0.0,1.0
1641705,Victor Wembanyama,F-C,SAS,TOR,34.5,Pts+Rebs+Asts,pra,Goblin,10108157,10108157,173819,130706,2026-02-25T19:30:00.000-05:00,,,38.0,3,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,,,,,OK,112.3,86.5,39.9,37.1,12.8,24.5,15.8,49.4,27.1,54.2,8.0,10.0,17.0,4.0,4.0,6.0,6.0,6.0,20.0,7.0,7.634408602150537,7.0,Elite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,42.0,49.0,32.0,20.0,21.0,39.0,54.0,28.0,46.0,38.0,32.8,36.9,36.733,2.0,3.0,0.0,0.4,0.4,0.6,0.6,0.4,OK,OK,5.0,2.0,3.0,0.0,0.4,0.6
