team_id,team_abbr,team_name,season,points_allowed_pg,pa_rank,opp_pass_ypg,pass_def_rank,opp_rush_ypg,rush_def_rank,sacks,sacks_rank,turnovers_forced,to_rank,updated_at
22,ARI,Arizona Cardinals,2025,28.705882352941178,29,230.76471,24,126.941,25,30.0,28,21.0,14,2026-06-01T16:53:40Z
1,ATL,Atlanta Falcons,2025,23.58823529411765,19,200.41176,13,126.235,24,57.0,2,18.0,19,2026-06-01T16:53:40Z
33,BAL,Baltimore Ravens,2025,23.41176470588235,18,247.94118,30,106.647,10,30.0,28,23.0,7,2026-06-01T16:53:40Z
2,BUF,Buffalo Bills,2025,21.470588235294116,12,156.94118,1,136.176,28,36.0,20,19.0,17,2026-06-01T16:53:40Z
29,CAR,Carolina Panthers,2025,22.352941176470587,15,203.94118,15,123.294,20,30.0,28,23.0,7,2026-06-01T16:53:40Z
3,CHI,Chicago Bears,2025,24.41176470588235,23,227.23529,22,134.529,27,35.0,22,11.0,32,2026-06-01T16:53:40Z
4,CIN,Cincinnati Bengals,2025,28.941176470588236,30,233.82353,26,147.059,32,34.0,26,24.0,4,2026-06-01T16:53:40Z
5,CLE,Cleveland Browns,2025,22.294117647058822,14,167.23529,3,116.412,16,53.0,3,25.0,3,2026-06-01T16:53:40Z
6,DAL,Dallas Cowboys,2025,30.058823529411764,32,251.52942,32,125.471,23,35.0,22,21.0,14,2026-06-01T16:53:40Z
7,DEN,Denver Broncos,2025,18.294117647058822,3,187.17647,7,91.059,2,68.0,1,17.0,21,2026-06-01T16:53:40Z
8,DET,Detroit Lions,2025,24.294117647058822,22,217.35294,20,114.529,14,49.0,4,15.0,25,2026-06-01T16:53:40Z
9,GB,Green Bay Packers,2025,21.176470588235293,11,194.11765,11,117.706,18,36.0,20,13.0,30,2026-06-01T16:53:40Z
34,HOU,Houston Texans,2025,17.352941176470587,2,183.52942,6,93.706,4,47.0,7,12.0,31,2026-06-01T16:53:40Z
11,IND,Indianapolis Colts,2025,24.235294117647058,21,247.94118,30,101.882,7,39.0,15,23.0,7,2026-06-01T16:53:40Z
30,JAX,Jacksonville Jaguars,2025,19.764705882352942,8,218.05882,21,85.588,1,32.0,27,18.0,19,2026-06-01T16:53:40Z
12,KC,Kansas City Chiefs,2025,19.294117647058822,6,195.82353,12,105.706,9,35.0,22,15.0,25,2026-06-01T16:53:40Z
13,LV,Las Vegas Raiders,2025,25.41176470588235,25,201.0,14,116.824,17,37.0,18,23.0,7,2026-06-01T16:53:40Z
24,LAC,Los Angeles Chargers,2025,20.0,9,179.88235,5,105.353,8,45.0,10,21.0,14,2026-06-01T16:53:40Z
14,LAR,Los Angeles Rams,2025,20.352941176470587,10,216.70589,19,110.824,12,47.0,7,15.0,25,2026-06-01T16:53:40Z
15,MIA,Miami Dolphins,2025,24.941176470588236,24,216.35294,18,132.412,26,39.0,15,24.0,4,2026-06-01T16:53:40Z
16,MIN,Minnesota Vikings,2025,19.58823529411765,7,158.47058,2,124.118,21,49.0,4,30.0,1,2026-06-01T16:53:40Z
17,NE,New England Patriots,2025,18.823529411764707,4,193.52942,9,101.706,6,35.0,22,16.0,23,2026-06-01T16:53:40Z
18,NO,New Orleans Saints,2025,22.529411764705884,16,179.17647,4,120.588,19,45.0,10,24.0,4,2026-06-01T16:53:40Z
19,NYG,New York Giants,2025,25.823529411764707,26,214.23529,16,145.294,31,39.0,15,17.0,21,2026-06-01T16:53:40Z
20,NYJ,New York Jets,2025,29.58823529411765,31,216.11765,17,139.471,29,26.0,31,23.0,7,2026-06-01T16:53:40Z
21,PHI,Philadelphia Eagles,2025,19.11764705882353,5,189.76471,8,124.412,22,42.0,12,15.0,25,2026-06-01T16:53:40Z
23,PIT,Pittsburgh Steelers,2025,22.764705882352942,17,243.88235,29,113.059,13,48.0,6,15.0,25,2026-06-01T16:53:40Z
25,SF,San Francisco 49ers,2025,21.823529411764707,13,232.41176,25,107.824,11,20.0,32,22.0,13,2026-06-01T16:53:40Z
26,SEA,Seattle Seahawks,2025,17.176470588235293,1,193.94118,10,91.941,3,47.0,7,28.0,2,2026-06-01T16:53:40Z
27,TB,Tampa Bay Buccaneers,2025,24.176470588235293,20,238.17647,27,99.059,5,37.0,18,16.0,23,2026-06-01T16:53:40Z
10,TEN,Tennessee Titans,2025,28.11764705882353,28,230.52942,23,114.588,15,42.0,12,19.0,17,2026-06-01T16:53:40Z
28,WSH,Washington Commanders,2025,26.529411764705884,27,242.47058,28,141.824,30,42.0,12,23.0,7,2026-06-01T16:53:40Z
