rank,tier,player,team,opp,is_home,player_role,position_group,prop_display,prop_type,line,direction,composite_hr,hit_rate,hr_L5,hr_L10,hr_L20,hr_season,sample_L5,hit_L5,sample_L10,hit_L10,sample_L20,sample_season,avg_L5,avg_L10,avg_L20,avg_season,gap_vs_line_L5,gap_vs_line_L10,projection,over_L5_raw,under_L5_raw,over_L10_raw,under_L10_raw,last1_raw,last2_raw,last3_raw,games_played,scoring_tier,pp_tier,def_tier,def_rank,opp_gaa,opp_saa,opp_pk_pct,pts_per_game,pp_pts_per_game,toi_avg_L10,toi_per_game_api,prop_score,edge,abs_edge,ml_prob,edge_score,blended_score,pick_type,Game Date,game_date,Game Time,game_start,game_script_mult,game_script_note
1,D,Rasmus Dahlin,BUF,MTL,1,SKATER,D,Shots On Goal,shots_on_goal,2.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,10,10,0.00,0.00,,0.00,,,0.00,0,5,0,10,,,,,ELITE,PP_REGULAR,Avg,18,3.122,0.000,0.000,0.961,0.286,,24.18,0.86108,-2.5000,2.5000,0.7447,,0.8611,standard,2026-05-14,2026-05-14,7:00 PM,2026-05-14T19:00:00.000-04:00,1.000,"BUF +1.5 pt margin vs MTL, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
2,D,Lane Hutson,MTL,BUF,0,SKATER,D,Shots On Goal,shots_on_goal,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,10,10,0.00,0.00,,0.00,,,0.00,0,5,0,10,,,,,ELITE,PP_REGULAR,Elite,7,2.939,0.000,0.000,0.951,0.244,,23.77,0.83494,-1.5000,1.5000,0.6194,,0.8349,standard,2026-05-14,2026-05-14,7:00 PM,2026-05-14T19:00:00.000-04:00,0.980,"MTL -1.5 pt margin vs BUF, shots_on_goal: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
3,D,Alex Tuch,BUF,MTL,1,SKATER,F,Shots On Goal,shots_on_goal,2.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,10,10,0.00,0.00,,0.00,,,0.00,0,5,0,10,,,,,SECONDARY,PP_OCC,Avg,18,3.122,0.000,0.000,0.835,0.114,,19.00,0.83448,-2.5000,2.5000,0.7447,,0.8345,standard,2026-05-14,2026-05-14,7:00 PM,2026-05-14T19:00:00.000-04:00,1.000,"BUF +1.5 pt margin vs MTL, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
4,D,Jason Zucker,BUF,MTL,1,SKATER,F,Shots On Goal,shots_on_goal,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,10,10,0.00,0.00,,0.00,,,0.00,0,5,0,10,,,,,SECONDARY,PP_REGULAR,Avg,18,3.122,0.000,0.000,0.726,0.258,,15.62,0.80543,-1.5000,1.5000,0.6194,,0.8054,standard,2026-05-14,2026-05-14,7:00 PM,2026-05-14T19:00:00.000-04:00,1.000,"BUF +1.5 pt margin vs MTL, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
5,D,Jackson LaCombe,ANA,VGK,1,SKATER,D,Shots On Goal,shots_on_goal,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,10,10,0.00,0.00,,0.00,,,0.00,0,5,0,10,,,,,SECONDARY,PP_REGULAR,Above Avg,13,3.049,0.000,0.000,0.707,0.207,,24.25,0.80236,-1.5000,1.5000,0.6194,,0.8024,standard,2026-05-14,2026-05-14,9:30 PM,2026-05-14T21:30:00.000-04:00,0.980,"ANA -1.5 pt margin vs VGK, shots_on_goal: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
6,D,Pavel Dorofeyev,VGK,ANA,0,SKATER,F,Shots On Goal,shots_on_goal,2.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,10,10,0.00,0.00,,0.00,,,0.00,0,5,0,10,,,,,SECONDARY,PP_REGULAR,Weak,29,3.512,0.000,0.000,0.780,0.366,,17.60,0.79815,-2.5000,2.5000,0.7105,,0.7981,standard,2026-05-14,2026-05-14,9:30 PM,2026-05-14T21:30:00.000-04:00,1.000,"VGK +1.5 pt margin vs ANA, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
7,D,Bowen Byram,BUF,MTL,1,SKATER,D,Shots On Goal,shots_on_goal,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,10,10,0.00,0.00,,0.00,,,0.00,0,5,0,10,,,,,DEPTH,PP_OCC,Avg,18,3.122,0.000,0.000,0.512,0.085,,22.33,0.77218,-1.5000,1.5000,0.6194,,0.7722,standard,2026-05-14,2026-05-14,7:00 PM,2026-05-14T19:00:00.000-04:00,1.000,"BUF +1.5 pt margin vs MTL, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
8,D,Mason McTavish,ANA,VGK,1,SKATER,F,Shots On Goal,shots_on_goal,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,10,10,0.00,0.00,,0.00,,,0.00,0,5,0,10,,,,,DEPTH,PP_OCC,Above Avg,13,3.049,0.000,0.000,0.547,0.147,,15.32,0.76977,-1.5000,1.5000,0.6194,,0.7698,standard,2026-05-14,2026-05-14,9:30 PM,2026-05-14T21:30:00.000-04:00,0.980,"ANA -1.5 pt margin vs VGK, shots_on_goal: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
9,D,Zachary Bolduc,MTL,BUF,0,SKATER,F,Hits,hits,2.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,DEPTH,PP_OCC,Elite,7,2.939,0.000,0.000,0.385,0.077,,13.63,0.76497,-2.5000,2.5000,0.7105,,0.7650,standard,2026-05-14,2026-05-14,7:00 PM,2026-05-14T19:00:00.000-04:00,0.983,"MTL -1.5 pt margin vs BUF, hits: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
10,D,Ross Johnston,ANA,VGK,1,SKATER,F,Hits,hits,4.0,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,20,30,,,,,,,,0,5,0,10,,,,,SHUTDOWN,NO_PP,Above Avg,13,3.049,0.000,0.000,0.226,0.000,,9.75,0.74185,-4.0000,4.0000,0.7447,,0.7419,standard,2026-05-14,2026-05-14,9:30 PM,2026-05-14T21:30:00.000-04:00,0.983,"ANA -1.5 pt margin vs VGK, hits: 0.98x game script (pick; spread_risk 0.98, total_risk 1.00)"
11,D,Noah Hanifin,VGK,ANA,0,SKATER,D,Shots On Goal,shots_on_goal,1.5,UNDER,0.0,0.0,1.0,1.0,1.0,1.0,5,5/5,10,10/10,10,10,0.00,0.00,,0.00,,,0.00,0,5,0,10,,,,,DEPTH,PP_OCC,Weak,29,3.512,0.000,0.000,0.394,0.099,,22.60,0.73893,-1.5000,1.5000,0.6194,,0.7389,standard,2026-05-14,2026-05-14,9:30 PM,2026-05-14T21:30:00.000-04:00,1.000,"VGK +1.5 pt margin vs ANA, shots_on_goal: 1.00x game script (pick; spread_risk 1.00, total_risk 1.00)"
