projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,delta_pct,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids
12077782,218322,Nick Suzuki,MTL,F,Hits,1.5,1.5,standard,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,hits,SKATER,BUF,0,8480018,False,
12077783,268183,Josh Doan,BUF,F,Hits,1.5,,goblin,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,hits,SKATER,MTL,1,8482659,False,
12077784,218237,Juraj Slafkovský,MTL,F,Hits,1.5,,goblin,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,hits,SKATER,BUF,0,8483515,False,
12077785,218267,Lane Hutson,MTL,D,Hits,0.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,hits,SKATER,BUF,0,8483457,False,
12085421,223068,Jakub Dobes,MTL,G,Goalie Saves,34.5,25.5,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.352941,goalie_saves,GOALIE,BUF,0,8482487,False,
12085420,223068,Jakub Dobes,MTL,G,Goalie Saves,32.5,25.5,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.27451,goalie_saves,GOALIE,BUF,0,8482487,False,
12085426,218332,Ukko-Pekka Luukkonen,BUF,G,Goalie Saves,32.5,23.5,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.382979,goalie_saves,GOALIE,MTL,1,8480045,False,
12085419,223068,Jakub Dobes,MTL,G,Goalie Saves,29.5,25.5,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.156863,goalie_saves,GOALIE,BUF,0,8482487,False,
12085425,218332,Ukko-Pekka Luukkonen,BUF,G,Goalie Saves,29.5,23.5,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.255319,goalie_saves,GOALIE,MTL,1,8480045,False,
12085424,218332,Ukko-Pekka Luukkonen,BUF,G,Goalie Saves,27.5,23.5,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.170213,goalie_saves,GOALIE,MTL,1,8480045,False,
12084040,223068,Jakub Dobes,MTL,G,Goalie Saves,25.5,25.5,standard,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,goalie_saves,GOALIE,BUF,0,8482487,False,
12085423,223068,Jakub Dobes,MTL,G,Goalie Saves,24.5,25.5,goblin,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,0.960784,goalie_saves,GOALIE,BUF,0,8482487,False,
12084041,218332,Ukko-Pekka Luukkonen,BUF,G,Goalie Saves,23.5,23.5,standard,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0,goalie_saves,GOALIE,MTL,1,8480045,False,
12085422,223068,Jakub Dobes,MTL,G,Goalie Saves,22.5,25.5,goblin,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,0.882353,goalie_saves,GOALIE,BUF,0,8482487,False,
12085428,218332,Ukko-Pekka Luukkonen,BUF,G,Goalie Saves,22.5,23.5,goblin,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,0.957447,goalie_saves,GOALIE,MTL,1,8480045,False,
12085427,218332,Ukko-Pekka Luukkonen,BUF,G,Goalie Saves,19.5,23.5,goblin,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,0.829787,goalie_saves,GOALIE,MTL,1,8480045,False,
12076689,218266,Cole Caufield,MTL,F,Shots On Goal,5.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8481540,False,
12076751,218270,Tage Thompson,BUF,F,Shots On Goal,5.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,MTL,1,8479420,False,
12076670,218653,Alex Tuch,BUF,F,Shots On Goal,4.5,2.5,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.8,shots_on_goal,SKATER,MTL,1,8477949,False,
12076688,218266,Cole Caufield,MTL,F,Shots On Goal,4.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8481540,False,
12076694,92751,Jack Quinn,BUF,F,Shots On Goal,4.5,,demon,False,MTL,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,MTL,1,8482097,False,
12076722,218237,Juraj Slafkovský,MTL,F,Shots On Goal,4.5,2.5,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.8,shots_on_goal,SKATER,BUF,0,8483515,False,
12076738,218322,Nick Suzuki,MTL,F,Shots On Goal,4.5,,demon,False,BUF,MTL,BUF,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,,shots_on_goal,SKATER,BUF,0,8480018,False,
