projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,delta_pct
12085424,218332,Ukko-Pekka Luukkonen,BUF,G,Goalie Saves,27.5,23.5,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.170213
12084040,223068,Jakub Dobes,MTL,G,Goalie Saves,25.5,25.5,standard,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12085423,223068,Jakub Dobes,MTL,G,Goalie Saves,24.5,25.5,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,0.960784
12084041,218332,Ukko-Pekka Luukkonen,BUF,G,Goalie Saves,23.5,23.5,standard,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.0
12085422,223068,Jakub Dobes,MTL,G,Goalie Saves,22.5,25.5,goblin,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,0.882353
12085428,218332,Ukko-Pekka Luukkonen,BUF,G,Goalie Saves,22.5,23.5,goblin,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,0.957447
12085427,218332,Ukko-Pekka Luukkonen,BUF,G,Goalie Saves,19.5,23.5,goblin,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,0.829787
12076689,218266,Cole Caufield,MTL,F,Shots On Goal,5.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076751,218270,Tage Thompson,BUF,F,Shots On Goal,5.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076670,218653,Alex Tuch,BUF,F,Shots On Goal,4.5,2.5,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.8
12076688,218266,Cole Caufield,MTL,F,Shots On Goal,4.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076694,92751,Jack Quinn,BUF,F,Shots On Goal,4.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076722,218237,Juraj Slafkovský,MTL,F,Shots On Goal,4.5,2.5,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.8
12076738,218322,Nick Suzuki,MTL,F,Shots On Goal,4.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076746,218218,Rasmus Dahlin,BUF,D,Shots On Goal,4.5,2.5,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.8
12076750,218270,Tage Thompson,BUF,F,Shots On Goal,4.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076668,171835,Alex Newhook,MTL,F,Shots On Goal,3.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076669,218653,Alex Tuch,BUF,F,Shots On Goal,3.5,2.5,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.4
12076687,218266,Cole Caufield,MTL,F,Shots On Goal,3.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076692,235084,Ivan Demidov,MTL,F,Shots On Goal,3.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076693,92751,Jack Quinn,BUF,F,Shots On Goal,3.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076704,220168,Jason Zucker,BUF,F,Shots On Goal,3.5,1.5,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,2.333333
12076712,268183,Josh Doan,BUF,F,Shots On Goal,3.5,,demon,False,MTL,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
12076721,218237,Juraj Slafkovský,MTL,F,Shots On Goal,3.5,2.5,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,1.4
12076726,218267,Lane Hutson,MTL,D,Shots On Goal,3.5,1.5,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,2.333333
12076737,218322,Nick Suzuki,MTL,F,Shots On Goal,3.5,,demon,False,BUF,,,2026-05-14T19:00:00.000-04:00,158508,2026-05-14T11:41:24Z,
