player_norm,mlb_player_id
ivan herrera,671056
jake mccarthy,664983
andrew mccutchen,457705
cal raleigh,663728
luke raley,670042
angel martinez,682657
casey schmitt,669477
shea langeliers,669127
jacob wilson,805779
heliot ramos,671218
cj kayfus,692216
carlos correa,621043
jarren duran,680776
matthew liberatore,669461
jake burger,669394
ben williamson,810938
paul goldschmidt,502671
royce lewis,668904
julio rodriguez,677594
oswald peraza,672724
trea turner,607208
adolis garcia,666969
justin crawford,702222
jose soriano,667755
freddie freeman,518692
isaac collins,686555
hunter brown,686613
michael harris ii,671739
carlos narvaez,665966
alec bohm,664761
tj friedl,670770
kerry carpenter,681481
kevin gausman,592332
austin riley,663586
kyle freeland,607536
spencer steer,668715
lawrence butler,671732
brayan rocchio,677587
luis arraez,650333
ramon laureano,657656
kyle manzardo,700932
drew rasmussen,656876
yandy diaz,650490
brenton doyle,686668
colton cowser,681297
nathan church,701675
jose ramirez,608070
addison barger,680718
mauricio dubon,643289
colt keith,690993
mike trout,545361
yainer diaz,673237
brandon marsh,669016
christopher morel,666624
chris sale,519242
alex freeland,690976
josh lowe,666139
agustin ramirez,682663
ryan vilade,668723
jorge soler,624585
nick pivetta,601713
cody bellinger,641355
noelvi marte,682622
vinnie pasquantino,686469
javier baez,595879
amed rosario,642708
nick fortes,663743
kyle schwarber,656941
logan gilbert,669302
ceddanne rafaela,678882
cam schlittler,693645
joey loperfido,694388
leo rivas,660844
matt olson,621566
manny machado,592518
samuel basallo,694212
josh naylor,647304
aaron judge,592450
jonathan india,663697
yoan moncada,660162
masyn winn,691026
starling marte,516782
austin wells,669224
drake baldwin,686948
salvador perez,521692
zach neto,687263
ke'bryan hayes,663647
nolan gorman,669357
brendan donovan,680977
logan o'hoppe,681351
eli white,642201
teoscar hernandez,606192
dominic canzone,686527
byron buxton,621439
brent rooker,667670
j.t. realmuto,592663
blaze alexander,677942
danny jansen,643376
brooks lee,686797
corbin carroll,682998
pete alonso,624413
carter jensen,695600
adley rutschman,668939
trent grisham,663757
tj rumfield,681198
fernando tatis jr.,665487
gabriel moreno,672515
jakob marsee,805300
shohei ohtani,660271
giancarlo stanton,519317
javier sanoja,691594
jesus sanchez,660821
trevor rogers,669432
tanner bibee,676440
lane thomas,657041
taylor ward,621493
carlos santana,467793
coby mayo,691723
harrison bader,664056
ketel marte,606466
alec burleson,676475
jordan lawlar,691783
eugenio suarez,553993
gavin sheets,657757
gunnar henderson,683002
tarik skubal,669373
andres gimenez,665926
garrett crochet,676979
austin slater,596103
alek thomas,677950
gabriel arias,672356
andrew abbott,671096
jonny deluca,676356
daulton varsho,662139
geraldo perdomo,672695
alejandro kirk,672386
nathan eovaldi,543135
victor caratini,605170
cole ragans,666142
carson williams,700246
ryan jeffers,680777
cedric mullins,656775
zac gallen,668678
jazz chisholm jr.,665862
joe ryan,657746
chase delauter,800050
jonah heim,641680
kyle tucker,663656
ezequiel tovar,678662
victor scott ii,687363
gleyber torres,650402
nolan arenado,571448
otto lopez,672640
andy pages,681624
jj wetherholt,802139
bryson stott,681082
cam smith,701358
matt mclain,680574
miguel andujar,609280
austin martin,668885
kevin mcgonigle,805808
christian walker,572233
jo adell,666176
brandon nimmo,607043
robbie ray,592662
kyle isbel,664728
josh smith,669701
freddy fermin,666023
jake cronenworth,630105
hunter goodman,696100
nick kurtz,701762
caleb durbin,702332
rafael devers,646240
willy adames,642715
randy arozarena,668227
patrick bailey,672275
pavin smith,656976
denzel clarke,672016
heriberto hernandez,681715
cristopher sanchez,650911
mickey moniak,666160
kyle karros,691720
jordan beck,687597
will smith,669257
rhys hoskins,656555
pedro pages,686780
riley greene,682985
tyler stephenson,663886
miguel rojas,500743
jose altuve,514888
jonathan aranda,666018
xavier edwards,669364
josh jung,673962
luke keaschall,807712
corey seager,608369
sam haggerty,664059
tyler o'neill,641933
luis severino,622663
josh bell,605137
willi castro,650489
maikel garcia,672580
george springer,543807
matt chapman,656305
steven kwan,680757
trevor story,596115
jordan walker,691023
matt wallner,670242
sal stewart,701398
cole young,702284
wilyer abreu,677800
ozzie albies,645277
wyatt langford,694671
nolan schanuel,694384
parker meadows,678009
junior caminero,691406
mookie betts,605141
sandy alcantara,645261
isiah kiner-falefa,643396
bryce harper,547180
spencer torkelson,679529
willson contreras,575929
jose caballero,676609
xander bogaerts,593428
j.p. crawford,641487
bobby witt jr.,677951
bo naylor,666310
jake meyers,676694
dillon dingler,693307
jackson merrill,701538
tyler soderstrom,691016
isaac paredes,670623
connor norby,681393
roman anthony,701350
jeff mcneil,643446
yordan alvarez,670541
ernie clement,676391
kazuma okamoto,672960
max muncy,571970
