section,metric,value
totals,user_entries,7455
totals,entry_legs,228
totals,member_transactions,8406
month_coverage,0-UNKNOWN,1177
month_coverage,2025-April,1140
month_coverage,2025-December,198
month_coverage,2025-February,368
month_coverage,2025-July,24
month_coverage,2025-June,228
month_coverage,2025-March,780
month_coverage,2025-May,522
month_coverage,2025-November,246
month_coverage,2026-February,1092
month_coverage,2026-January,1206
month_coverage,2026-March,1425
