date,sport,player,prop,std_dir,gob_dir,same_direction,pair_kind,std_line,gob_line,delta_pct,distance_bucket,gob_factor,std_hit,gob_hit,std_tier,gob_tier,std_ml_prob,gob_ml_prob,prior_std_n,prior_std_hr,high_std_consistent,std_ev_realized,gob_ev_realized,ev_uplift_realized
2026-05-31,MLB,A.J. Ewing,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,0,1,B,C,0.5708,1.0,0,,False,-1.0,0.35,1.35
2026-06-10,MLB,A.J. Ewing,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,0,1,B,C,0.5599,0.5996,1,0.0,False,-1.0,0.35,1.35
2026-06-11,MLB,A.J. Ewing,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,0,1,B,C,0.5599,0.5996,2,0.0,False,-1.0,0.35,1.35
2026-06-16,MLB,A.J. Ewing,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,0,0,B,C,0.555,0.555,3,0.0,False,-1.0,-1.0,0.0
2026-06-18,MLB,A.J. Ewing,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,1,1,B,C,0.555,0.555,4,0.0,False,1.0,0.35,-0.65
2026-07-03,MLB,A.J. Ewing,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,0,1,B,C,0.555,0.555,5,0.2,False,-1.0,0.35,1.35
2026-07-06,MLB,A.J. Ewing,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,0,0,B,C,0.555,0.555,6,0.1667,False,-1.0,-1.0,0.0
2026-07-07,MLB,A.J. Ewing,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,1,1,B,C,0.555,0.555,7,0.1429,False,1.0,0.35,-0.65
2026-07-12,MLB,A.J. Ewing,Hits+Runs+RBIs,OVER,OVER,True,same_over,1.5,0.5,0.3333,<0.65,0.35,1,1,B,C,0.555,0.555,8,0.25,False,1.0,0.35,-0.65
2026-06-23,MLB,A.J. Ewing,Hitter Fantasy Score,OVER,OVER,True,same_over,5.0,2.5,0.5,<0.65,0.5,0,0,A,B,0.7436,0.8313,0,,False,-1.0,-1.0,0.0
