team,opp_pts,opp_reb,opp_ast,opp_stl,opp_blk,opp_tov,opp_fg3m,opp_pra,opp_pr,opp_pa,opp_ra,opp_bs,games,team_id,pts_rank,pts_tier,reb_rank,reb_tier,ast_rank,ast_tier,stl_rank,stl_tier,blk_rank,blk_tier,tov_rank,tov_tier,fg3m_rank,fg3m_tier,pra_rank,pra_tier,pr_rank,pr_tier,pa_rank,pa_tier,ra_rank,ra_tier,bs_rank,bs_tier,n_teams,overall_rank,stat_source
2674,81.0,46.0,19.0,10.0,0.0,13.0,8.0,146.0,127.0,100.0,65.0,10.0,1,2674,214.0,EASY,222.0,EASY,212.0,EASY,171.0,EASY_MID,1.0,HARD,85.0,HARD_MID,178.0,EASY_MID,225.0,EASY,224.0,EASY,219.0,EASY,225.0,EASY,66.0,HARD_MID,228,214.0,box
2681,54.0,42.0,7.0,8.0,2.0,15.0,5.0,103.0,96.0,61.0,49.0,10.0,1,2681,10.0,HARD,210.0,EASY,2.0,HARD,104.0,MID,32.0,HARD,136.0,MID,76.0,HARD_MID,43.0,HARD,85.0,HARD_MID,5.0,HARD,156.0,EASY_MID,66.0,HARD_MID,228,10.0,box
27,61.5,31.0,13.0,5.5,4.0,18.0,4.0,105.5,92.5,74.5,44.0,9.5,2,27,57.0,HARD_MID,84.0,HARD_MID,105.0,MID,23.0,HARD,138.0,EASY_MID,189.0,EASY,34.0,HARD,62.0,HARD_MID,57.0,HARD_MID,66.0,HARD_MID,84.0,HARD_MID,54.0,HARD_MID,228,57.0,box
2710,82.0,42.0,12.0,10.0,4.0,13.0,10.0,136.0,124.0,94.0,54.0,14.0,1,2710,218.0,EASY,210.0,EASY,82.0,HARD_MID,171.0,EASY_MID,138.0,EASY_MID,85.0,HARD_MID,215.0,EASY,212.0,EASY,218.0,EASY,209.0,EASY,192.0,EASY,175.0,EASY_MID,228,218.0,box
2729,58.0,36.0,11.5,7.0,1.5,13.5,8.0,105.5,94.0,69.5,47.5,8.5,2,2729,26.0,HARD,170.0,EASY_MID,73.0,HARD_MID,58.0,HARD_MID,22.0,HARD,106.0,MID,178.0,EASY_MID,62.0,HARD_MID,70.0,HARD_MID,32.0,HARD,143.0,EASY_MID,30.0,HARD,228,26.0,box
2739,57.333333333333336,30.333333333333332,13.0,7.666666666666667,5.0,14.0,5.0,100.66666666666667,87.66666666666667,70.33333333333333,43.333333333333336,12.666666666666666,3,2739,25.0,HARD,76.0,HARD_MID,105.0,MID,98.0,MID,188.0,EASY,112.0,MID,76.0,HARD_MID,31.0,HARD,21.0,HARD,38.0,HARD,79.0,HARD_MID,143.0,EASY_MID,228,25.0,box
275,62.75,32.5,13.75,7.75,2.0,14.25,8.0,109.0,95.25,76.5,46.25,9.75,4,275,79.0,HARD_MID,105.0,MID,134.0,MID,101.0,MID,32.0,HARD,127.0,MID,178.0,EASY_MID,88.0,HARD_MID,79.0,HARD_MID,87.0,HARD_MID,126.0,MID,62.0,HARD_MID,228,79.0,box
2754,56.5,33.25,10.0,9.25,3.5,12.25,3.75,99.75,89.75,66.5,43.25,12.75,4,2754,22.0,HARD,119.0,MID,32.0,HARD,156.0,EASY_MID,115.0,MID,74.0,HARD_MID,32.0,HARD,24.0,HARD,37.0,HARD,21.0,HARD,78.0,HARD_MID,148.0,EASY_MID,228,22.0,box
2755,56.0,40.0,12.0,9.0,3.0,24.0,3.0,108.0,96.0,68.0,52.0,12.0,1,2755,20.0,HARD,200.0,EASY,82.0,HARD_MID,137.0,EASY_MID,80.0,HARD_MID,226.0,EASY,14.0,HARD,80.0,HARD_MID,85.0,HARD_MID,24.0,HARD,180.0,EASY_MID,120.0,MID,228,20.0,box
276,53.4,27.2,10.6,7.2,4.2,15.8,6.0,91.2,80.6,64.0,37.8,11.4,5,276,7.0,HARD,29.0,HARD,53.0,HARD_MID,81.0,HARD_MID,167.0,EASY_MID,152.0,EASY_MID,105.0,MID,7.0,HARD,4.0,HARD,12.0,HARD,19.0,HARD,104.0,MID,228,7.0,box
277,64.0,30.5,13.0,4.0,4.0,14.0,6.0,107.5,94.5,77.0,43.5,8.0,2,277,87.0,HARD_MID,78.0,HARD_MID,105.0,MID,8.0,HARD,138.0,EASY_MID,112.0,MID,105.0,MID,78.0,HARD_MID,74.0,HARD_MID,91.0,HARD_MID,81.0,HARD_MID,16.0,HARD,228,87.0,box
2771,68.0,33.0,12.0,5.0,5.0,17.0,3.0,113.0,101.0,80.0,45.0,10.0,1,2771,126.0,MID,112.0,MID,82.0,HARD_MID,15.0,HARD,188.0,EASY,172.0,EASY_MID,14.0,HARD,120.0,MID,131.0,MID,119.0,MID,104.0,MID,66.0,HARD_MID,228,126.0,box
28,71.0,40.333333333333336,17.0,4.666666666666667,6.0,13.333333333333334,9.0,128.33333333333334,111.33333333333333,88.0,57.333333333333336,10.666666666666666,3,28,158.0,EASY_MID,203.0,EASY,191.0,EASY,13.0,HARD,209.0,EASY,102.0,MID,203.0,EASY,198.0,EASY,194.0,EASY,180.0,EASY_MID,210.0,EASY,86.0,HARD_MID,228,158.0,box
282,87.0,36.5,12.5,6.0,2.0,14.5,6.0,136.0,123.5,99.5,49.0,8.0,2,282,224.0,EASY,173.0,EASY_MID,96.0,MID,33.0,HARD,32.0,HARD,128.0,MID,105.0,MID,212.0,EASY,217.0,EASY,218.0,EASY,156.0,EASY_MID,16.0,HARD,228,224.0,box
2837,69.0,45.0,12.0,6.0,2.0,17.0,5.0,126.0,114.0,81.0,57.0,8.0,1,2837,143.0,EASY_MID,218.0,EASY,82.0,HARD_MID,33.0,HARD,32.0,HARD,172.0,EASY_MID,76.0,HARD_MID,190.0,EASY,203.0,EASY,123.0,MID,207.0,EASY,16.0,HARD,228,143.0,box
284,70.0,22.0,11.0,11.0,4.0,11.0,7.0,103.0,92.0,81.0,33.0,15.0,1,284,151.0,EASY_MID,1.0,HARD,55.0,HARD_MID,193.0,EASY,138.0,EASY_MID,36.0,HARD,154.0,EASY_MID,43.0,HARD,46.0,HARD_MID,123.0,MID,1.0,HARD,194.0,EASY,228,151.0,box
2856,71.33333333333333,39.666666666666664,14.0,5.666666666666667,2.6666666666666665,11.666666666666666,6.0,125.0,111.0,85.33333333333333,53.666666666666664,8.333333333333334,3,2856,163.0,EASY_MID,199.0,EASY,137.0,EASY_MID,29.0,HARD,72.0,HARD_MID,50.0,HARD_MID,105.0,MID,183.0,EASY,185.0,EASY,157.0,EASY_MID,191.0,EASY,27.0,HARD,228,163.0,box
2870,76.0,34.333333333333336,18.666666666666668,12.0,2.0,19.666666666666668,11.0,129.0,110.33333333333333,94.66666666666667,53.0,14.0,3,2870,193.0,EASY,141.0,EASY_MID,211.0,EASY,208.0,EASY,32.0,HARD,213.0,EASY,222.0,EASY,199.0,EASY,184.0,EASY,213.0,EASY,186.0,EASY,175.0,EASY_MID,228,193.0,box
