ΓåÆ Loading Step3: Sports/MLB/step3_mlb_with_defense.csv
  Loaded cache: 109957 rows from mlb_stats_cache.csv

ΓåÆ Attaching stats | rows=3550
[MLB step4] cache miss after refresh: Konnor Griffin | stolen_bases | id=804606
[MLB step4] cache miss after refresh: Konnor Griffin | total_bases | id=804606
[MLB step4] cache miss after refresh: Billy Cook | hitter_strikeouts | id=695257
[MLB step4] cache miss after refresh: Konnor Griffin | hitter_strikeouts | id=804606
[MLB step4] cache miss after refresh: Konnor Griffin | walks | id=804606
[MLB step4] cache miss after refresh: Luis Campusano | hitter_strikeouts | id=669134
[MLB step4] cache miss after refresh: Luis Campusano | hitter_strikeouts | id=669134
[pipeline] Dated copy -> H:\halek\ProfileFromC\Desktop\PropORACLE\outputs\2026-05-05\step4_mlb_with_stats.csv
[pipeline] Dated copy -> H:\halek\ProfileFromC\Desktop\PropORACLE\Sports\MLB\outputs\2026-05-05\step4_mlb_with_stats.csv

Γ£à Saved ΓåÆ Sports/MLB/step4_mlb_with_stats.csv
Cache updates: 0

stat_status breakdown:
stat_status
OK               3383
NO_CACHE_DATA     167
[MLB step4] stat_attach: OK=3383 | NO_CACHE_DATA=167 | NO_MLB_PLAYER_ID=0 | total=3550
