wnba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,id_status,player_1,player_2,team_1,team_2,is_combo_player
315793,11816164,11816164,315793,149151,2026-05-03T15:00:00.000-04:00,,,Angel Reese,F,ATL,,0.5,Double-Double,doubledouble,Demon,,1,https://static.prizepicks.com/images/manual/AngeelesReese.png,OK,,,,,0
237847,11717382,11717382,237847,150439,2026-05-08T19:30:00.000-04:00,,,Breanna Stewart,F,NYL,,24.5,Points,pts,Demon,,2,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,OK,,,,,0
237848,11717394,11717394,237848,150439,2026-05-08T19:30:00.000-04:00,,,Sabrina Ionescu,G,NYL,,24.5,Points,pts,Demon,,2,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,OK,,,,,0
237847,11717381,11717381,237847,150439,2026-05-08T19:30:00.000-04:00,,,Breanna Stewart,F,NYL,,19.5,Points,pts,Demon,,1,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,OK,,,,,0
237848,11717395,11717395,237848,150439,2026-05-08T19:30:00.000-04:00,,,Sabrina Ionescu,G,NYL,,19.5,Points,pts,Demon,,1,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,OK,,,,,0
237847,11717380,11717380,237847,150439,2026-05-08T19:30:00.000-04:00,,,Breanna Stewart,F,NYL,,14.5,Points,pts,Goblin,,1,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,OK,,,,,0
237848,11717393,11717393,237848,150439,2026-05-08T19:30:00.000-04:00,,,Sabrina Ionescu,G,NYL,,14.5,Points,pts,Goblin,,1,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,OK,,,,,0
237847,11717385,11717385,237847,150439,2026-05-08T19:30:00.000-04:00,,,Breanna Stewart,F,NYL,,9.5,Rebounds,reb,Demon,,2,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,OK,,,,,0
237848,11717391,11717391,237848,150439,2026-05-08T19:30:00.000-04:00,,,Sabrina Ionescu,G,NYL,,9.5,Assists,ast,Demon,,2,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,OK,,,,,0
237847,11717384,11717384,237847,150439,2026-05-08T19:30:00.000-04:00,,,Breanna Stewart,F,NYL,,7.5,Rebounds,reb,Demon,,1,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,OK,,,,,0
237848,11717390,11717390,237848,150439,2026-05-08T19:30:00.000-04:00,,,Sabrina Ionescu,G,NYL,,7.5,Assists,ast,Demon,,1,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,OK,,,,,0
