wnba_player_id,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,image_url,game_date,id_status,player_1,player_2,team_1,team_2,TEAM_NAME,TEAM_ID,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,is_combo_player,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,unsupported_prop,unsupported_reason,espn_athlete_id,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,min_player_avg,fga_player_avg,pts_player_avg,minutes_tier,shot_role,usage_role,game_total,spread
237840,Kelsey Plum,G,LAS,,3.5,Assists,ast,Demon,11844622,11844622,237840,155440,2026-05-03T19:00:00.000-04:00,,,,1,https://static.prizepicks.com/images/players/NBA/Kelsey_Plum_WNBA_player_1TLFqKeRDxvOfPzSxhKC31Yi.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:ast,3065570.0,UNSUPPORTED_PROP,,,,,,,,3.5,3.5,UNKNOWN,LOW_VOL,SUPPORT,,
237836,Paige Bueckers,G,DAL,LVA,19.5,Points,pts,Demon,11853506,11853506,237836,149152,2026-05-03T19:00:00.000-04:00,,,14.5,1,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:pts,4433730.0,UNSUPPORTED_PROP,,,,,,,,19.5,19.5,UNKNOWN,HIGH_VOL,PRIMARY,175.5,2.5
237843,A'ja Wilson,C,LVA,DAL,15.5,Points,pts,Standard,11844263,11844263,237843,149152,2026-05-03T19:00:00.000-04:00,,,15.5,0,https://static.prizepicks.com/images/players/NBA/A'ja_Wilson_WNBA_player_e1fzWnin9JBoRKYaugxyyP08.webp,2026-05-03,OK,,,,,Dallas Wings,3.0,,4.0,Above Avg,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:pts,3149391.0,UNSUPPORTED_PROP,,,,,,,,15.5,15.5,UNKNOWN,HIGH_VOL,PRIMARY,175.5,2.5
237836,Paige Bueckers,G,DAL,LVA,14.5,Points,pts,Standard,11844261,11844261,237836,149152,2026-05-03T19:00:00.000-04:00,,,14.5,0,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:pts,4433730.0,UNSUPPORTED_PROP,,,,,,,,14.5,14.5,UNKNOWN,HIGH_VOL,PRIMARY,175.5,2.5
315762,Azzi Fudd,G,DAL,LVA,9.5,Points,pts,Standard,11844262,11844262,315762,149152,2026-05-03T19:00:00.000-04:00,,,9.5,0,https://static.prizepicks.com/images/manual/Azzi.png,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:pts,4433790.0,UNSUPPORTED_PROP,,,,,,,,9.5,9.5,UNKNOWN,MID_VOL,SECONDARY,175.5,2.5
237844,Jewell Loyd,G,LVA,DAL,9.5,Points,pts,Standard,11844268,11844268,237844,149152,2026-05-03T19:00:00.000-04:00,,,9.5,0,https://static.prizepicks.com/images/players/NBA/Jewell_Loyd_WNBA_player_kl6eTaXsduFI7E6eDj4QuueY.webp,2026-05-03,OK,,,,,Dallas Wings,3.0,,4.0,Above Avg,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:pts,2987869.0,UNSUPPORTED_PROP,,,,,,,,9.5,9.5,UNKNOWN,MID_VOL,SECONDARY,175.5,2.5
237836,Paige Bueckers,G,DAL,LVA,9.5,Points,pts,Goblin,11853505,11853505,237836,149152,2026-05-03T19:00:00.000-04:00,,,14.5,2,https://static.prizepicks.com/images/players/NBA/Paige_Bueckers_WNBA_player_9Y8nnqPB9PRhUk1Zb4Mlsb5c.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:pts,4433730.0,UNSUPPORTED_PROP,,,,,,,,9.5,9.5,UNKNOWN,MID_VOL,SECONDARY,175.5,2.5
237840,Kelsey Plum,G,LAS,,12.5,Points,pts,Standard,11844266,11844266,237840,155440,2026-05-03T19:00:00.000-04:00,,,12.5,0,https://static.prizepicks.com/images/players/NBA/Kelsey_Plum_WNBA_player_1TLFqKeRDxvOfPzSxhKC31Yi.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:pts,3065570.0,UNSUPPORTED_PROP,,,,,,,,12.5,12.5,UNKNOWN,MID_VOL,SECONDARY,,
197034,Cameron Brink,F,LAS,,6.5,Points,pts,Standard,11844264,11844264,197034,155440,2026-05-03T19:00:00.000-04:00,,,6.5,0,https://static.prizepicks.com/images/players/NBA/Cameron_Brink_WNBA_player_iXX6g2ZznhNde3uQhZhdBbZ.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:pts,4433404.0,UNSUPPORTED_PROP,,,,,,,,6.5,6.5,UNKNOWN,LOW_VOL,SUPPORT,,
237847,Breanna Stewart,F,NYL,,24.5,Points,pts,Demon,11717382,11717382,237847,150439,2026-05-08T19:30:00.000-04:00,,,,2,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,2026-05-03,OK,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,1,UNSUPPORTED_PROP:pts,2998928.0,UNSUPPORTED_PROP,,,,,,,,24.5,24.5,UNKNOWN,HIGH_VOL,PRIMARY,,
