projection_id,pp_projection_id,player_id,pp_game_id,start_time,player,image_url,pos,team,opp_team,pp_home_team,pp_away_team,prop_type,line,pick_type
11717380,11717380,237847,150439,2026-05-08T19:30:00.000-04:00,Breanna Stewart,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,F,NYL,,,,Points,14.5,Goblin
11717393,11717393,237848,150439,2026-05-08T19:30:00.000-04:00,Sabrina Ionescu,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,G,NYL,,,,Points,14.5,Goblin
11717385,11717385,237847,150439,2026-05-08T19:30:00.000-04:00,Breanna Stewart,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,F,NYL,,,,Rebounds,9.5,Demon
11717391,11717391,237848,150439,2026-05-08T19:30:00.000-04:00,Sabrina Ionescu,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,G,NYL,,,,Assists,9.5,Demon
11717384,11717384,237847,150439,2026-05-08T19:30:00.000-04:00,Breanna Stewart,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,F,NYL,,,,Rebounds,7.5,Demon
11717390,11717390,237848,150439,2026-05-08T19:30:00.000-04:00,Sabrina Ionescu,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,G,NYL,,,,Assists,7.5,Demon
11717398,11717398,237848,150439,2026-05-08T19:30:00.000-04:00,Sabrina Ionescu,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,G,NYL,,,,Rebounds,7.5,Demon
11717378,11717378,237847,150439,2026-05-08T19:30:00.000-04:00,Breanna Stewart,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,F,NYL,,,,Assists,5.5,Demon
11717383,11717383,237847,150439,2026-05-08T19:30:00.000-04:00,Breanna Stewart,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,F,NYL,,,,Rebounds,5.5,Goblin
11717389,11717389,237848,150439,2026-05-08T19:30:00.000-04:00,Sabrina Ionescu,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,G,NYL,,,,Assists,5.5,Goblin
11717397,11717397,237848,150439,2026-05-08T19:30:00.000-04:00,Sabrina Ionescu,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,G,NYL,,,,Rebounds,5.5,Demon
11717377,11717377,237847,150439,2026-05-08T19:30:00.000-04:00,Breanna Stewart,https://static.prizepicks.com/images/players/NBA/Breanna_Stewart_WNBA_player_0QbcmrMWR4KgqkSDi1fYPEeZ.webp,F,NYL,,,,Assists,3.5,Demon
11717387,11717387,237848,150439,2026-05-08T19:30:00.000-04:00,Sabrina Ionescu,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,G,NYL,,,,3-PT Made,3.5,Demon
11717396,11717396,237848,150439,2026-05-08T19:30:00.000-04:00,Sabrina Ionescu,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,G,NYL,,,,Rebounds,3.5,Goblin
11717388,11717388,237848,150439,2026-05-08T19:30:00.000-04:00,Sabrina Ionescu,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,G,NYL,,,,3-PT Made,2.5,Demon
11717386,11717386,237848,150439,2026-05-08T19:30:00.000-04:00,Sabrina Ionescu,https://static.prizepicks.com/images/players/NBA/Sabrina_Ionescu_WNBA_player_P26gx0GUbxv35lMVCUU4z5Q5.webp,G,NYL,,,,3-PT Made,1.5,Goblin
