espn_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,league,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,game_date,player_1,player_2,team_1,team_2,id_status,is_combo_player
377768,12074193,12074193,254115,151607,2026-05-14T13:00:00.000-04:00,,,David Otorbi,Attacker,VALENCIA,,SOCCER,0.5,Shots On Target,shots_on_target,Goblin,,1,https://static.prizepicks.com/images/manual/David Otorbi Ejedewawe.png,2026-05-14,,,,,OK,0
389447,12074194,12074194,252171,151607,2026-05-14T13:00:00.000-04:00,,,Marco de Las Sias,Defender,RAYO,,SOCCER,0.5,Shots,shots,Demon,,1,https://static.prizepicks.com/images/manual/Marco_Sias.png,2026-05-14,,,,,OK,0
389447,12074196,12074196,252171,151607,2026-05-14T13:00:00.000-04:00,,,Marco de Las Sias,Defender,RAYO,,SOCCER,0.5,Shots On Target,shots_on_target,Demon,,1,https://static.prizepicks.com/images/manual/Marco_Sias.png,2026-05-14,,,,,OK,0
165334,12086020,12086020,222140,151607,2026-05-14T13:00:00.000-04:00,,,Stole Dimitrievski,Goalkeeper,VALENCIA,,SOCCER,0.5,Goals Allowed,goals_allowed,Goblin,,1,https://static.prizepicks.com/images/players/soccer/5dfvefxvwj8kixbajluw25mtx.webp,2026-05-14,,,,,OK,0
,12091442,12091442,298953,151612,2026-05-14T14:00:00.000-04:00,,,Youssef En-Nesyri,Attacker,ITTIHAD,,SOCCER,2.5,Shots,shots,Standard,2.5,0,https://static.prizepicks.com/images/manual/Youssef_En-Nesyri.png,2026-05-14,,,,,UNRESOLVED_SINGLE,0
212231|318063,12086063,12086063,317919,151614,2026-05-14T14:00:00.000-04:00,,,Viktor Tsygankov + Jon Aramburu,Attacker,GIRONA/REAL SOCIEDAD,,SOCCER,71.5,Passes Attempted (Combo),passes attempted (combo),Standard,71.5,0,https://static.prizepicks.com/images/players/CMBO_group_X8R5EOpVNq9CtAFsg09VOp1.webp,2026-05-14,Viktor Tsygankov,Jon Aramburu,GIRONA,REAL SOCIEDAD,OK,1
164469|217319,12086064,12086064,317459,151614,2026-05-14T14:00:00.000-04:00,,,Paulo Gazzaniga + Álex Remiro,Goalkeeper,GIRONA/REAL SOCIEDAD,,SOCCER,65.5,Passes Attempted (Combo),passes attempted (combo),Standard,65.5,0,https://static.prizepicks.com/images/players/CMBO_group_vG8Uv6LdhxccNJmwxd2rBPr5.webp,2026-05-14,Paulo Gazzaniga,Álex Remiro,GIRONA,REAL SOCIEDAD,OK,1
361434,12012386,12012386,252179,151614,2026-05-14T14:00:00.000-04:00,,,Vitor Reis,Defender,GIRONA,,SOCCER,57.5,Passes Attempted,passes,Standard,57.5,0,https://static.prizepicks.com/images/players/soccer/bh4p6egq7e7htivuu0qdjqiac.webp,2026-05-14,,,,,OK,0
318063,12012343,12012343,213764,151614,2026-05-14T14:00:00.000-04:00,,,Jon Aramburu,Defender,REAL SOCIEDAD,,SOCCER,37.5,Passes Attempted,passes,Standard,37.5,0,https://static.prizepicks.com/images/players/soccer/ezbplvktzcvzh5kwur32110mi.webp,2026-05-14,,,,,OK,0
217319,12043607,12043607,200380,151614,2026-05-14T14:00:00.000-04:00,,,Álex Remiro,Goalkeeper,REAL SOCIEDAD,,SOCCER,35.5,Passes Attempted,passes,Standard,35.5,0,https://static.prizepicks.com/images/players/soccer/w503zyr8ipyobglth281uklx.webp,2026-05-14,,,,,OK,0
212231,12012381,12012381,148623,151614,2026-05-14T14:00:00.000-04:00,,,Viktor Tsygankov,Attacker,GIRONA,,SOCCER,33.5,Passes Attempted,passes,Standard,33.5,0,https://static.prizepicks.com/images/players/soccer/3auwtiburdxrp2i5me2d97f11.webp,2026-05-14,,,,,OK,0
164469,12043743,12043743,148633,151614,2026-05-14T14:00:00.000-04:00,,,Paulo Gazzaniga,Goalkeeper,GIRONA,,SOCCER,29.5,Passes Attempted,passes,Standard,29.5,0,https://static.prizepicks.com/images/players/soccer/eavhyxb9dfjh0jp5yzg8p8udx.webp,2026-05-14,,,,,OK,0
361434|366885,12086065,12086065,317920,151614,2026-05-14T14:00:00.000-04:00,,,Vitor Reis + Jon Martín,Defender,GIRONA/REAL SOCIEDAD,,SOCCER,11.5,Clearances (Combo),clearances (combo),Standard,11.5,0,https://static.prizepicks.com/images/players/placeholder.png,2026-05-14,Vitor Reis,Jon Martín,GIRONA,REAL SOCIEDAD,OK,1
361434,12085819,12085819,252179,151614,2026-05-14T14:00:00.000-04:00,,,Vitor Reis,Defender,GIRONA,,SOCCER,5.5,Clearances,clearances,Standard,5.5,0,https://static.prizepicks.com/images/players/soccer/bh4p6egq7e7htivuu0qdjqiac.webp,2026-05-14,,,,,OK,0
366885,12085820,12085820,210607,151614,2026-05-14T14:00:00.000-04:00,,,Jon Martín,Defender,REAL SOCIEDAD,,SOCCER,5.5,Clearances,clearances,Standard,5.5,0,https://static.prizepicks.com/images/manual/Jon Martín.png,2026-05-14,,,,,OK,0
217319,12043604,12043604,200380,151614,2026-05-14T14:00:00.000-04:00,,,Álex Remiro,Goalkeeper,REAL SOCIEDAD,,SOCCER,4.5,Goalie Saves,saves,Demon,3.0,1,https://static.prizepicks.com/images/players/soccer/w503zyr8ipyobglth281uklx.webp,2026-05-14,,,,,OK,0
