player_name,team,prop_type,pp_game_id
Mourad Batna,FATEH,Shots,151610
Matías Vargas,FATEH,Shots,151610
Bilal Boutobba,NAJMA,Shots,151610
Zaydou Youssouf,FATEH,Passes Attempted,151610
Jorge Fernandes,FATEH,Passes Attempted,151610
Samir,NAJMA,Passes Attempted,151610
Matías Vargas,FATEH,Passes Attempted,151610
Mourad Batna,FATEH,Passes Attempted,151610
Fernando Pacheco,FATEH,Passes Attempted,151610
Jorge Fernandes,FATEH,Clearances,151610
Samir,NAJMA,Clearances,151610
Matías Vargas,FATEH,Crosses,151610
Matías Vargas,FATEH,Shots On Target,151610
Mourad Batna,FATEH,Shots On Target,151610
Fernando Pacheco,FATEH,Goalie Saves,151610
Zaydou Youssouf,FATEH,Tackles,151610
Saeed Baattia,FATEH,Tackles,151610
Matías Vargas,FATEH,Attempted Dribbles,151610
Matías Vargas,FATEH,Goals,151610
Mourad Batna,FATEH,Goals,151610
Saad Al Sharfa,FATEH,Goals,151610
Bilal Boutobba,NAJMA,Shots On Target,151610
Sofiane Bendebka,FATEH,Shots On Target,151610
Ali Al Masoud,FATEH,Goals,151610
Sofiane Bendebka,FATEH,Goals,151610
Zaydou Youssouf,FATEH,Attempted Dribbles,151610
Matías Vargas,FATEH,Shots Assisted,151610
Bilal Boutobba,NAJMA,Goals,151610
David Tijanic,NAJMA,Goals,151610
Zaydou Youssouf,FATEH,Goals,151610
Mehdi Al Aboud,FATEH,Goals,151610
Mohammed Al Aqel,NAJMA,Goals,151610
David Tijanic,NAJMA,Shots On Target,151610
Fahad Al Abdulrazzaq,NAJMA,Shots On Target,151610
Samir,NAJMA,Shots On Target,151610
Zaydou Youssouf,FATEH,Shots On Target,151610
Abdulaziz Al Harabi,NAJMA,Goals,151610
Abdullah Al Anazi,FATEH,Goals,151610
Hussain Qassem,FATEH,Goals,151610
Majed Dawran,NAJMA,Goals,151610
Mohammed Al Sarnoukh,FATEH,Goals,151610
Mohammed Mile,NAJMA,Goals,151610
Marwane Saâdane,FATEH,Goals,151610
Abdulaziz Al Fawaz,FATEH,Goals,151610
Muntathir Al Shaqaq,FATEH,Goals,151610
Omar Al Ruwaili,NAJMA,Goals,151610
Abdulaziz Al Suwailem,FATEH,Goals,151610
Fawaz Al Hamad,FATEH,Goals,151610
Marin Prekodravac,NAJMA,Goals,151610
Rakan Al Tulayhi,NAJMA,Goals,151610
Alemão,RAYO,Shots,151607
Alemão,RAYO,Shots On Target,151607
Alemão,RAYO,Tackles,151607
Alemão,RAYO,Goals,151607
Alemão,RAYO,Goal + Assist,151607
Youssef En-Nesyri,ITTIHAD,Shots,151612
Gibi,GIRONA,Goals,151614
Julián Quiñones,QADSIAH,Shots On Target,151603
Julián Quiñones,QADSIAH,Goals,151603
Mateo Retegui,QADSIAH,Shots On Target,151603
Mateo Retegui,QADSIAH,Goals,151603
Abdullah Al Muhaysin,QADSIAH,Goals,151603
Omar Al Somah,HAZEM,Shots On Target,151603
Nahitan Nández,QADSIAH,Shots On Target,151603
Amar Al Yuhaybi,QADSIAH,Goals,151603
Abdulhadi Al Harajin,HAZEM,Goals,151603
Ali Abdullah Hazazi,QADSIAH,Goals,151603
Amir Sayoud,HAZEM,Goals,151603
Elias Mokwana,HAZEM,Goals,151603
Fábio Martins,HAZEM,Goals,151603
Julian Weigl,QADSIAH,Goals,151603
Nahitan Nández,QADSIAH,Goals,151603
Omar Al Somah,HAZEM,Goals,151603
Amadou Bamba Dieng,HAZEM,Goals,151603
Musab Al Juwayr,QADSIAH,Goals,151603
Youssouf Oumarou,HAZEM,Goals,151603
Abdelmounaim Boutouil,HAZEM,Shots On Target,151603
Abdulhadi Al Harajin,HAZEM,Shots On Target,151603
Ahmed Al Nakhli,HAZEM,Shots On Target,151603
Ali Abdullah Hazazi,QADSIAH,Shots On Target,151603
Amir Sayoud,HAZEM,Shots On Target,151603
Elias Mokwana,HAZEM,Shots On Target,151603
Fábio Martins,HAZEM,Shots On Target,151603
Julian Weigl,QADSIAH,Shots On Target,151603
Sultan Tanker,HAZEM,Shots On Target,151603
Abdulrazzaq Awaji,HAZEM,Goals,151603
Mohammed Al Saedi,HAZEM,Goals,151603
Mohammed Abu Al Shamat,QADSIAH,Goals,151603
Eyad Houssa,QADSIAH,Goals,151603
Álvaro Medrán,ETTIFAQ,Passes Attempted,151612
Houssem Aouar,ITTIHAD,Passes Attempted,151612
Jack Hendry,ETTIFAQ,Passes Attempted,151612
Steven Bergwijn,ITTIHAD,Passes Attempted,151612
Moussa Diaby,ITTIHAD,Passes Attempted,151612
Marek Rodák,ETTIFAQ,Passes Attempted,151612
Predrag Rajkovic,ITTIHAD,Passes Attempted,151612
Georginio Wijnaldum,ETTIFAQ,Passes Attempted,151612
Youssef En-Nesyri,ITTIHAD,Passes Attempted,151612
Moussa Dembélé,ETTIFAQ,Passes Attempted,151612
Álvaro Medrán,ETTIFAQ,Crosses,151612
Jack Hendry,ETTIFAQ,Clearances,151612
Marek Rodák,ETTIFAQ,Goalie Saves,151612
Moussa Diaby,ITTIHAD,Attempted Dribbles,151612
Steven Bergwijn,ITTIHAD,Attempted Dribbles,151612
Predrag Rajkovic,ITTIHAD,Goalie Saves,151612
Álvaro Medrán,ETTIFAQ,Attempted Dribbles,151612
Álvaro Medrán,ETTIFAQ,Shots Assisted,151612
Mario Mitaj,ITTIHAD,Tackles,151612
Houssem Aouar,ITTIHAD,Shots,151612
Steven Bergwijn,ITTIHAD,Shots,151612
Georginio Wijnaldum,ETTIFAQ,Shots,151612
Youssef En-Nesyri,ITTIHAD,Goals,151612
Georginio Wijnaldum,ETTIFAQ,Shots On Target,151612
Moussa Dembélé,ETTIFAQ,Shots On Target,151612
Steven Bergwijn,ITTIHAD,Shots On Target,151612
Youssef En-Nesyri,ITTIHAD,Shots On Target,151612
Talal Haji,ITTIHAD,Goals,151612
Moussa Diaby,ITTIHAD,Shots,151612
Moussa Dembélé,ETTIFAQ,Shots,151612
Moussa Diaby,ITTIHAD,Shots Assisted,151612
Faris Al Ghamdi,ETTIFAQ,Goals,151612
Francisco Calvo,ETTIFAQ,Goals,151612
George Ilenikhena,ITTIHAD,Goals,151612
Georginio Wijnaldum,ETTIFAQ,Goals,151612
Houssem Aouar,ITTIHAD,Goals,151612
Moussa Dembélé,ETTIFAQ,Goals,151612
Moussa Diaby,ITTIHAD,Goals,151612
Ondrej Duda,ETTIFAQ,Goals,151612
Roger Fernandes,ITTIHAD,Goals,151612
Steven Bergwijn,ITTIHAD,Goals,151612
Álvaro Medrán,ETTIFAQ,Goals,151612
Mohau Nkota,ETTIFAQ,Goals,151612
Mohammed Fallatah,ITTIHAD,Goals,151612
Faris Al Ghamdi,ETTIFAQ,Shots On Target,151612
Francisco Calvo,ETTIFAQ,Shots On Target,151612
George Ilenikhena,ITTIHAD,Shots On Target,151612
Houssem Aouar,ITTIHAD,Shots On Target,151612
Jack Hendry,ETTIFAQ,Shots On Target,151612
Jan-Carlo Simic,ITTIHAD,Shots On Target,151612
Mario Mitaj,ITTIHAD,Shots On Target,151612
Mohau Nkota,ETTIFAQ,Shots On Target,151612
Moussa Diaby,ITTIHAD,Shots On Target,151612
Ondrej Duda,ETTIFAQ,Shots On Target,151612
Radhi Al Otaibi,ETTIFAQ,Shots On Target,151612
Álvaro Medrán,ETTIFAQ,Shots On Target,151612
Abdulaziz Al Bishi,ITTIHAD,Goals,151612
Matija Gluscevic,ETTIFAQ,Goals,151612
Abdulhakim Maghfori,ETTIFAQ,Goals,151612
Abdulrahman Nabza,ETTIFAQ,Goals,151612
Abdulrahman Sahhari,ETTIFAQ,Goals,151612
Hassan Al Musallam,ETTIFAQ,Goals,151612
Ondrej Duda,ETTIFAQ,Shots,151612
Lucas Ahijado,OVIEDO,Fouls,151602
Lucas Ahijado,OVIEDO,Shots,151602
Lucas Ahijado,OVIEDO,Shots On Target,151602
Lucas Ahijado,OVIEDO,Goal + Assist,151602
Jorge Fernandes + Samir,FATEH/NAJMA,Clearances (Combo),151610
Jorge Fernandes + Samir,FATEH/NAJMA,Passes Attempted (Combo),151610
Fernando Pacheco + Victor Braga,FATEH/NAJMA,Passes Attempted (Combo),151610
Mourad Batna + Felippe Cardoso,FATEH/NAJMA,Passes Attempted (Combo),151610
Fernando Pacheco + Victor Braga,FATEH/NAJMA,Goalie Saves (Combo),151610
Mourad Batna + Matías Vargas,FATEH,Shots On Target (Combo),151610
Alemão + Jorge de Frutos,RAYO,Shots On Target (Combo),151607
Danilo Pereira + Jack Hendry,ITTIHAD/ETTIFAQ,Passes Attempted (Combo),151612
Álvaro Medrán + Houssem Aouar,ETTIFAQ/ITTIHAD,Passes Attempted (Combo),151612
Predrag Rajkovic + Marek Rodák,ITTIHAD/ETTIFAQ,Passes Attempted (Combo),151612
Georginio Wijnaldum + Moussa Diaby,ETTIFAQ/ITTIHAD,Passes Attempted (Combo),151612
Youssef En-Nesyri + Moussa Dembélé,ITTIHAD/ETTIFAQ,Passes Attempted (Combo),151612
Danilo Pereira + Jack Hendry,ITTIHAD/ETTIFAQ,Clearances (Combo),151612
Predrag Rajkovic + Marek Rodák,ITTIHAD/ETTIFAQ,Goalie Saves (Combo),151612
Youssef En-Nesyri + Moussa Dembélé,ITTIHAD/ETTIFAQ,Shots On Target (Combo),151612
Georginio Wijnaldum + Moussa Diaby,ETTIFAQ/ITTIHAD,Shots On Target (Combo),151612
Steven Bergwijn + Moussa Diaby,ITTIHAD,Shots On Target (Combo),151612
Moussa Dembélé + Georginio Wijnaldum,ETTIFAQ,Shots On Target (Combo),151612
Steven Bergwijn + Moussa Diaby,ITTIHAD,Goals (Combo),151612
Georginio Wijnaldum + Moussa Diaby,ETTIFAQ/ITTIHAD,Goals (Combo),151612
