projection_id,pp_projection_id,player_id,pp_game_id,league,start_time,player,image_url,pos,team,opp_team,pp_home_team,pp_away_team,prop_type,line,standard_line,pick_type,game_date
12012377,12012377,252177,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Thomas Lemar,https://static.prizepicks.com/images/manual/Thomas_Benoît_Lemar.png,Midfielder,GIRONA,,,,Goals,0.5,,Demon,2026-05-14
12012379,12012379,148623,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Viktor Tsygankov,https://static.prizepicks.com/images/players/soccer/3auwtiburdxrp2i5me2d97f11.webp,Attacker,GIRONA,,,,Assists,0.5,,Demon,2026-05-14
12012380,12012380,148623,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Viktor Tsygankov,https://static.prizepicks.com/images/players/soccer/3auwtiburdxrp2i5me2d97f11.webp,Attacker,GIRONA,,,,Goal + Assist,0.5,,Demon,2026-05-14
12012382,12012382,148623,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Viktor Tsygankov,https://static.prizepicks.com/images/players/soccer/3auwtiburdxrp2i5me2d97f11.webp,Attacker,GIRONA,,,,Goals,0.5,,Demon,2026-05-14
12012384,12012384,252179,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Vitor Reis,https://static.prizepicks.com/images/players/soccer/bh4p6egq7e7htivuu0qdjqiac.webp,Defender,GIRONA,,,,Goal + Assist,0.5,,Demon,2026-05-14
12012385,12012385,252179,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Vitor Reis,https://static.prizepicks.com/images/players/soccer/bh4p6egq7e7htivuu0qdjqiac.webp,Defender,GIRONA,,,,Shots On Target,0.5,,Demon,2026-05-14
12012389,12012389,297984,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Wesley,https://static.prizepicks.com/images/manual/Real Sociedad - Wesley.png,Attacker,REAL SOCIEDAD,,,,Goals,0.5,,Demon,2026-05-14
12012391,12012391,263205,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Yangel Herrera,https://static.prizepicks.com/images/manual/Yangel Herrera.png,Midfielder,REAL SOCIEDAD,,,,Assists,0.5,,Demon,2026-05-14
12012393,12012393,263205,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Yangel Herrera,https://static.prizepicks.com/images/manual/Yangel Herrera.png,Midfielder,REAL SOCIEDAD,,,,Goal + Assist,0.5,,Demon,2026-05-14
12012394,12012394,263205,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Yangel Herrera,https://static.prizepicks.com/images/manual/Yangel Herrera.png,Midfielder,REAL SOCIEDAD,,,,Goals,0.5,,Demon,2026-05-14
12012395,12012395,263205,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Yangel Herrera,https://static.prizepicks.com/images/manual/Yangel Herrera.png,Midfielder,REAL SOCIEDAD,,,,Shots On Target,0.5,,Demon,2026-05-14
12014767,12014767,252920,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Papa Dame Ba,https://static.prizepicks.com/images/manual/Papa Dame Ba.png,Attacker,GIRONA,,,,Goals,0.5,,Demon,2026-05-14
12040006,12040006,270397,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Javier Sarasa,,Attacker,GIRONA,,,,Goals,0.5,,Demon,2026-05-14
12040008,12040008,274277,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Pol Arnau,https://static.prizepicks.com/images/manual/Pol Arnau.png,Defender,GIRONA,,,,Goals,0.5,,Demon,2026-05-14
12043602,12043602,213284,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Alejandro Francés,https://static.prizepicks.com/images/players/soccer/8nxr373i7g1m2ch2lk6k03ckq.webp,Defender,GIRONA,,,,Shots,0.5,,Goblin,2026-05-14
12043614,12043614,174854,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Aritz Elustondo,https://static.prizepicks.com/images/players/soccer/e35v2pspdgl7t769d57e67ob9.webp,Defender,REAL SOCIEDAD,,,,Shots,0.5,,Demon,2026-05-14
12043617,12043617,148629,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Arnau Martínez,https://static.prizepicks.com/images/players/soccer/2nq5nzq35tfwc7po29dtwqp78.webp,Defender,GIRONA,,,,Shots,0.5,,Goblin,2026-05-14
12043642,12043642,261705,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Carlos Soler,https://static.prizepicks.com/images/manual/Carlos Soler Barragán.png,Midfielder,REAL SOCIEDAD,,,,Shots,0.5,,Goblin,2026-05-14
12043656,12043656,148630,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Daley Blind,https://static.prizepicks.com/images/players/soccer/3kx4mltrob4yta5g6kr2u8ic5.webp,Defender,GIRONA,,,,Shots,0.5,,Demon,2026-05-14
12043660,12043660,210713,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Donny van de Beek,https://static.prizepicks.com/images/players/soccer/6gruusc463fdln5uz1uzhne8l.webp,Midfielder,GIRONA,,,,Shots,0.5,,Goblin,2026-05-14
12043663,12043663,252400,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Duje Caleta-Car,https://static.prizepicks.com/images/manual/Duje Ćaleta-Car.png,Defender,REAL SOCIEDAD,,,,Shots,0.5,,Demon,2026-05-14
12043679,12043679,284546,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Gorka Carrera,,Attacker,REAL SOCIEDAD,,,,Shots On Target,0.5,,Goblin,2026-05-14
12043681,12043681,252162,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Hugo Rincón,https://static.prizepicks.com/images/manual/Hugo_Rincón_Lumbreras.png,Defender,GIRONA,,,,Assists,0.5,,Demon,2026-05-14
12043684,12043684,290758,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Ibai Aguirre,https://static.prizepicks.com/images/manual/Ibai Aguirre.png,Midfielder,REAL SOCIEDAD,,,,Assists,0.5,,Demon,2026-05-14
12043687,12043687,290758,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Ibai Aguirre,https://static.prizepicks.com/images/manual/Ibai Aguirre.png,Midfielder,REAL SOCIEDAD,,,,Shots,0.5,,Goblin,2026-05-14
12043689,12043689,290758,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Ibai Aguirre,https://static.prizepicks.com/images/manual/Ibai Aguirre.png,Midfielder,REAL SOCIEDAD,,,,Shots On Target,0.5,,Demon,2026-05-14
12043691,12043691,148620,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Igor Zubeldia,https://static.prizepicks.com/images/players/soccer/48gjuou5eashpj8wbwd18iju1.webp,Defender,REAL SOCIEDAD,,,,Shots,0.5,,Demon,2026-05-14
12043695,12043695,151332,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Iván Martín,https://static.prizepicks.com/images/players/soccer/9um7x9zd0e000zt57l3yearqh.webp,Midfielder,GIRONA,,,,Shots,0.5,,Goblin,2026-05-14
12043697,12043697,295703,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Job Ochieng,https://static.prizepicks.com/images/manual/Job Ochieng.png,Attacker,REAL SOCIEDAD,,,,Assists,0.5,,Demon,2026-05-14
12043711,12043711,210607,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Jon Martín,https://static.prizepicks.com/images/manual/Jon Martín.png,Defender,REAL SOCIEDAD,,,,Shots On Target,0.5,,Demon,2026-05-14
12043715,12043715,207282,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Luka Sucic,https://static.prizepicks.com/images/players/soccer/9x5uo2wkxp9fk1arygbkl6u0a.webp,Midfielder,REAL SOCIEDAD,,,,Assists,0.5,,Demon,2026-05-14
12043716,12043716,207282,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Luka Sucic,https://static.prizepicks.com/images/players/soccer/9x5uo2wkxp9fk1arygbkl6u0a.webp,Midfielder,REAL SOCIEDAD,,,,Goal + Assist,0.5,,Demon,2026-05-14
12043718,12043718,207282,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Luka Sucic,https://static.prizepicks.com/images/players/soccer/9x5uo2wkxp9fk1arygbkl6u0a.webp,Midfielder,REAL SOCIEDAD,,,,Shots,0.5,,Goblin,2026-05-14
12043722,12043722,270917,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Luken Beitia,https://static.prizepicks.com/images/manual/Luken Beitia.webp,Defender,REAL SOCIEDAD,,,,Shots,0.5,,Demon,2026-05-14
12043725,12043725,270917,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Luken Beitia,https://static.prizepicks.com/images/manual/Luken Beitia.webp,Defender,REAL SOCIEDAD,,,,Shots On Target,0.5,,Demon,2026-05-14
12043732,12043732,194262,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Pablo Marín,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/soc/low-res/90050536.png,Midfielder,REAL SOCIEDAD,,,,Assists,0.5,,Demon,2026-05-14
12043733,12043733,194262,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Pablo Marín,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/soc/low-res/90050536.png,Midfielder,REAL SOCIEDAD,,,,Goal + Assist,0.5,,Demon,2026-05-14
12043736,12043736,194262,151614,SOCCER,2026-05-14T14:00:00.000-04:00,Pablo Marín,https://s3-us-west-2.amazonaws.com/static.fantasydata.com/headshots/soc/low-res/90050536.png,Midfielder,REAL SOCIEDAD,,,,Shots,0.5,,Goblin,2026-05-14
