nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,is_combo_player,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,ESPN_ATHLETE_ID,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,min_last5_avg,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5
1628368,10796548,10796548,226914,138259,2026-03-23T19:00:00.000-04:00,,,De'Aaron Fox,G,SAS,MIA,14.0,Pts+Rebs+Asts,pra,Standard,14.0,0,https://static.prizepicks.com/images/players/NBA/De'Aaron_Fox_NBA_player_ey65igBBNutBRz0ibXh85IuZ.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.9,57.8,19.0,20.0,27.0,28.0,21.0,22.0,15.0,15.0,7.0,8.0,18.827956989247312,20.0,Avg,4066259,24.0,33.0,26.0,27.0,27.0,39.0,37.0,32.0,30.0,37.0,27.4,31.2,31.2,5,0,0,1.0,1.0,0.0,1.0,0.0,OK,29.0,OK,5.0,5.0,0.0,0.0,1.0,0.0
1641705,10796566,10796566,173820,138259,2026-03-23T19:00:00.000-04:00,,,Victor Wembanyama,F-C,SAS,MIA,13.5,Points,pts,Standard,13.5,0,https://static.prizepicks.com/images/players/NBA/Victor_Wembanyama_NBA_player_2EsUEdOt5xmywxPr6qxPdHNs.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.9,57.8,19.0,20.0,27.0,28.0,21.0,22.0,15.0,15.0,7.0,8.0,18.827956989247312,20.0,Avg,5104157,20.0,34.0,18.0,21.0,32.0,39.0,29.0,27.0,38.0,10.0,25.0,26.8,26.8,5,0,0,1.0,1.0,0.0,0.9,0.1,OK,29.6,OK,5.0,5.0,0.0,0.0,1.0,0.0
203952,10806665,10806665,227726,138259,2026-03-23T19:00:00.000-04:00,,,Andrew Wiggins,F,MIA,SAS,13.5,Fantasy Score,fantasy,Standard,13.5,0,https://static.prizepicks.com/images/players/NBA/Andrew_Wiggins_NBA_player_yKQK0gmYfGjWuANzVD4ek19k.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7.0,12.0,13.0,25.0,8.0,25.0,11.0,11.0,2.0,24.0,9.903225806451612,9.0,Above Avg,3059319,20.3,40.9,38.7,30.9,51.6,49.9,32.9,44.0,47.0,45.7,36.48,40.19,40.19,5,0,0,1.0,1.0,0.0,1.0,0.0,OK,29.0,OK,5.0,5.0,0.0,0.0,1.0,0.0
1631170,10806675,10806675,177663,138259,2026-03-23T19:00:00.000-04:00,,,Jaime Jaquez,G,MIA,SAS,12.5,Fantasy Score,fantasy,Standard,12.5,0,https://static.prizepicks.com/images/players/NBA/Jaime_Jaquez_NBA_player_93WtzdYg1jI8Uxy2vKBQ4a6X.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7.0,12.0,13.0,25.0,8.0,25.0,11.0,11.0,2.0,24.0,9.903225806451612,9.0,Above Avg,4432848,15.7,47.9,21.3,24.7,44.2,34.9,40.4,43.0,25.6,36.8,30.76,33.45,33.45,5,0,0,1.0,1.0,0.0,1.0,0.0,OK,27.8,OK,5.0,5.0,0.0,0.0,1.0,0.0
1630170,10806682,10806682,56348,138259,2026-03-23T19:00:00.000-04:00,,,Devin Vassell,G-F,SAS,MIA,12.5,Fantasy Score,fantasy,Standard,12.5,0,https://static.prizepicks.com/images/players/NBA/Devin_Vassell_NBA_player_1FsPF0NOGQH4fepI0eeG7MYw.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.9,57.8,19.0,20.0,27.0,28.0,21.0,22.0,15.0,15.0,7.0,8.0,18.827956989247312,20.0,Avg,4395630,21.9,39.1,19.5,35.7,27.9,18.0,28.8,19.1,45.5,38.9,28.82,29.44,29.44,5,0,0,1.0,1.0,0.0,1.0,0.0,OK,33.2,OK,5.0,5.0,0.0,0.0,1.0,0.0
1626181,10797227,10797227,271925,138259,2026-03-23T19:00:00.000-04:00,,,Norman Powell,G,MIA,SAS,12.0,Pts+Rebs+Asts,pra,Standard,12.0,0,https://static.prizepicks.com/images/players/NBA/Norman_Powell_NBA_player_iZ2Zi8YLXUk9dnKXL0euVv1I.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7.0,12.0,13.0,25.0,8.0,25.0,11.0,11.0,2.0,24.0,9.903225806451612,9.0,Above Avg,2595516,25.0,26.0,24.0,8.0,32.0,33.0,20.0,8.0,1.0,25.0,23.0,20.2,20.2,4,1,0,0.8,0.8,0.2,0.7,0.3,OK,27.0,OK,5.0,4.0,1.0,0.0,0.8,0.2
1630558,10806670,10806670,228081,138259,2026-03-23T19:00:00.000-04:00,,,Davion Mitchell,G,MIA,SAS,11.5,Fantasy Score,fantasy,Standard,11.5,0,https://static.prizepicks.com/images/players/NBA/Davion_Mitchell_NBA_player_ZoDFOmDX207i6ik62UoG3uK.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7.0,12.0,13.0,25.0,8.0,25.0,11.0,11.0,2.0,24.0,9.903225806451612,9.0,Above Avg,4278053,40.7,39.6,14.6,27.4,35.5,33.9,19.4,31.4,16.4,18.6,31.56,27.75,27.75,5,0,0,1.0,1.0,0.0,1.0,0.0,OK,29.6,OK,5.0,5.0,0.0,0.0,1.0,0.0
1641796,10806678,10806678,233792,138259,2026-03-23T19:00:00.000-04:00,,,Pelle Larsson,G,MIA,SAS,11.5,Fantasy Score,fantasy,Standard,11.5,0,https://static.prizepicks.com/images/players/NBA/Pelle_Larsson_NBA_player_Jx5ZqeLyqZECGQziJT6zXdNr.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7.0,12.0,13.0,25.0,8.0,25.0,11.0,11.0,2.0,24.0,9.903225806451612,9.0,Above Avg,4601025,34.0,23.4,19.4,34.1,52.2,26.9,28.0,22.3,28.2,12.9,32.62,28.14,28.14,5,0,0,1.0,1.0,0.0,1.0,0.0,OK,33.0,OK,5.0,5.0,0.0,0.0,1.0,0.0
1630577,10806683,10806683,127858,138259,2026-03-23T19:00:00.000-04:00,,,Julian Champagnie,F,SAS,MIA,11.5,Fantasy Score,fantasy,Standard,11.5,0,https://static.prizepicks.com/images/players/NBA/Julian_Champagnie_NBA_player_wWXts7QJavucRoRUsMbfxn9.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.9,57.8,19.0,20.0,27.0,28.0,21.0,22.0,15.0,15.0,7.0,8.0,18.827956989247312,20.0,Avg,4592479,28.4,31.4,25.7,25.6,26.3,18.4,5.5,38.0,38.3,31.9,27.48,26.95,26.95,5,0,0,1.0,1.0,0.0,0.9,0.1,OK,29.4,OK,5.0,5.0,0.0,0.0,1.0,0.0
1629640,10806684,10806684,55148,138259,2026-03-23T19:00:00.000-04:00,,,Keldon Johnson,F-G,SAS,MIA,11.5,Fantasy Score,fantasy,Standard,11.5,0,https://static.prizepicks.com/images/players/NBA/Keldon_Johnson_NBA_player_ytnN6jT7zYkcukGvVWoYp2zk.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.9,57.8,19.0,20.0,27.0,28.0,21.0,22.0,15.0,15.0,7.0,8.0,18.827956989247312,20.0,Avg,4395723,40.3,12.3,26.2,13.0,24.0,21.4,16.2,30.7,22.7,14.3,23.16,22.11,22.11,5,0,0,1.0,1.0,0.0,1.0,0.0,OK,21.6,OK,5.0,5.0,0.0,0.0,1.0,0.0
1628389,10797220,10797220,55283,138259,2026-03-23T19:00:00.000-04:00,,,Bam Adebayo,C-F,MIA,SAS,11.0,Points,pts,Standard,11.0,0,https://static.prizepicks.com/images/players/NBA/Bam_Adebayo_NBA_player_k5AKrt98DD5x7VKXQ6GPiPz1.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7.0,12.0,13.0,25.0,8.0,25.0,11.0,11.0,2.0,24.0,9.903225806451612,9.0,Above Avg,4066261,32.0,28.0,20.0,21.0,83.0,24.0,24.0,21.0,23.0,24.0,36.8,30.0,30.0,5,0,0,1.0,1.0,0.0,1.0,0.0,OK,39.6,OK,5.0,5.0,0.0,0.0,1.0,0.0
1630170,10796553,10796553,56348,138259,2026-03-23T19:00:00.000-04:00,,,Devin Vassell,G-F,SAS,MIA,10.5,Pts+Rebs+Asts,pra,Standard,10.5,0,https://static.prizepicks.com/images/players/NBA/Devin_Vassell_NBA_player_1FsPF0NOGQH4fepI0eeG7MYw.webp,,,,,OK,0,116.6,93.0,42.6,39.3,13.7,22.1,15.7,53.7,28.9,57.8,19.0,20.0,27.0,28.0,21.0,22.0,15.0,15.0,7.0,8.0,18.827956989247312,20.0,Avg,4395630,16.0,27.0,17.0,22.0,18.0,13.0,18.0,14.0,28.0,28.0,20.0,20.1,20.1,5,0,0,1.0,1.0,0.0,1.0,0.0,OK,33.2,OK,5.0,5.0,0.0,0.0,1.0,0.0
1629639,10797235,10797235,55298,138259,2026-03-23T19:00:00.000-04:00,,,Tyler Herro,G,MIA,SAS,10.5,Points,pts,Standard,10.5,0,https://static.prizepicks.com/images/players/NBA/Tyler_Herro_NBA_player_Bz7r2msPv6LxaUBsQ7Zgi8st.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7.0,12.0,13.0,25.0,8.0,25.0,11.0,11.0,2.0,24.0,9.903225806451612,9.0,Above Avg,4395725,25.0,21.0,20.0,10.0,25.0,33.0,25.0,22.0,18.0,25.0,20.2,22.4,22.4,4,1,0,0.8,0.8,0.2,0.9,0.1,OK,32.8,OK,5.0,4.0,1.0,0.0,0.8,0.2
1631170,10800335,10800335,177663,138259,2026-03-23T19:00:00.000-04:00,,,Jaime Jaquez,G,MIA,SAS,10.5,Pts+Rebs+Asts,pra,Standard,10.5,0,https://static.prizepicks.com/images/players/NBA/Jaime_Jaquez_NBA_player_93WtzdYg1jI8Uxy2vKBQ4a6X.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7.0,12.0,13.0,25.0,8.0,25.0,11.0,11.0,2.0,24.0,9.903225806451612,9.0,Above Avg,4432848,13.0,31.0,17.0,19.0,32.0,27.0,32.0,29.0,20.0,25.0,22.4,24.5,24.5,5,0,0,1.0,1.0,0.0,1.0,0.0,OK,27.8,OK,5.0,5.0,0.0,0.0,1.0,0.0
203952,10797217,10797217,227726,138259,2026-03-23T19:00:00.000-04:00,,,Andrew Wiggins,F,MIA,SAS,10.0,Pts+Rebs+Asts,pra,Standard,10.0,0,https://static.prizepicks.com/images/players/NBA/Andrew_Wiggins_NBA_player_yKQK0gmYfGjWuANzVD4ek19k.webp,,,,,OK,0,111.8,90.9,41.0,36.5,12.9,21.3,13.3,54.400000000000006,28.1,56.2,7.0,12.0,13.0,25.0,8.0,25.0,11.0,11.0,2.0,24.0,9.903225806451612,9.0,Above Avg,3059319,13.0,24.0,22.0,22.0,29.0,38.0,22.0,33.0,23.0,32.0,22.0,25.8,25.8,5,0,0,1.0,1.0,0.0,1.0,0.0,OK,29.0,OK,5.0,5.0,0.0,0.0,1.0,0.0
