nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,is_combo_player,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,ESPN_ATHLETE_ID,data_source,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,min_last5_avg
1631157,11140444,11140444,232691,141626,2026-04-05T15:30:00.000-04:00,,,Ryan Rollins,G,MIL,MEM,11.5,Points,pts,Standard,11.5,0,https://static.prizepicks.com/images/players/NBA/Ryan_Rollins_NBA_player_IPpG6WGpDyZfnDShFjrfJveN.webp,,,,,OK,0,119.6,90.7,43.5,38.7,14.0,23.7,15.6,52.0,29.5,59.0,25,23,23,22,23,14,22,22,16,7,22.774193548387096,23,Weak,4591725,nba1h_db,17,8,11,11,9,13,,,,,11.2,11.5,11.5,1,4,0,0.2,0.2,0.8,0.333,0.667,OK,
1642383,11140827,11140827,299443,141626,2026-04-05T15:30:00.000-04:00,,,Walter Clayton,G,MEM,MIL,11.5,Pts+Rebs+Asts,pra,Standard,11.5,0,https://static.prizepicks.com/images/manual/Walter_ClaytonMEM.png,,,,,OK,0,116.9,87.9,41.6,39.6,14.8,24.1,13.1,48.300000000000004,26.8,53.6,21,29,28,9,13,3,5,5,19,25,16.096774193548384,17,Avg,4896372,insufficient_1h_history,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
1641707,11147917,11147917,299553,141626,2026-04-05T15:30:00.000-04:00,,,Taylor Hendricks,F,MEM,MIL,10.5,Pts+Rebs+Asts,pra,Standard,10.5,0,https://static.prizepicks.com/images/manual/Taylor Hendricks .png,,,,,OK,0,116.9,87.9,41.6,39.6,14.8,24.1,13.1,48.300000000000004,26.8,53.6,21,29,28,9,13,3,5,5,19,25,16.096774193548384,17,Avg,4684806,nba1h_db,11,14,,,,,,,,,12.5,12.5,12.5,2,0,0,1,1,0,1,0,OK,
1626167,11147716,11147716,271948,141626,2026-04-05T15:30:00.000-04:00,,,Myles Turner,C-F,MIL,MEM,9.5,Pts+Rebs+Asts,pra,Standard,9.5,0,https://static.prizepicks.com/images/players/NBA/Myles_Turner_NBA_player_m62QTJhZKxz0vSvMk9qKafM.webp,,,,,OK,0,119.6,90.7,43.5,38.7,14.0,23.7,15.6,52.0,29.5,59.0,25,23,23,22,23,14,22,22,16,7,22.774193548387096,23,Weak,3133628,insufficient_1h_history,10,,,,,,,,,,10,10,10,1,0,0,1,1,0,1,0,INSUFFICIENT_GAMES,
1627752,11151687,11151687,217106,141626,2026-04-05T15:30:00.000-04:00,,,Taurean Prince,F,MIL,MEM,9.5,Fantasy Score,fantasy,Standard,9.5,0,https://static.prizepicks.com/images/players/NBA/Taurean_Prince_NBA_player_tmWS9eoeursIip0hQMwzX5JB.webp,,,,,OK,0,119.6,90.7,43.5,38.7,14.0,23.7,15.6,52.0,29.5,59.0,25,23,23,22,23,14,22,22,16,7,22.774193548387096,23,Weak,2990962,insufficient_1h_history,,,,,,,,,,,,,,,,,,,,,,NO_DATA,
1641765,11140688,11140688,288099,141626,2026-04-05T15:30:00.000-04:00,,,Olivier-Maxence Prosper,F,MEM,MIL,8.5,Points,pts,Standard,8.5,0,https://static.prizepicks.com/images/players/NBA/Olivier-Maxence_Prosper_NBA_player_8K3bP8Ie9lvYLAxpixt8u05g.webp,,,,,OK,0,116.9,87.9,41.6,39.6,14.8,24.1,13.1,48.300000000000004,26.8,53.6,21,29,28,9,13,3,5,5,19,25,16.096774193548384,17,Avg,4595400,nba1h_db,6,2,5,9,2,5,5,15,,,4.8,6.125,6.125,1,4,0,0.2,0.2,0.8,0.25,0.75,OK,
1628398,11140434,11140434,227345,141626,2026-04-05T15:30:00.000-04:00,,,Kyle Kuzma,F,MIL,MEM,7.5,Points,pts,Standard,7.5,0,https://static.prizepicks.com/images/players/NBA/Kyle_Kuzma_NBA_player_CzuU40biz9ZDpj2ZXS5rpoIs.webp,,,,,OK,0,119.6,90.7,43.5,38.7,14.0,23.7,15.6,52.0,29.5,59.0,25,23,23,22,23,14,22,22,16,7,22.774193548387096,23,Weak,3134907,nba1h_db,14,16,17,15,,,,,,,15.5,15.5,15.5,4,0,0,1,1,0,1,0,OK,
1631172,11140439,11140439,300653,141626,2026-04-05T15:30:00.000-04:00,,,Ousmane Dieng,F,MIL,MEM,7.5,Points,pts,Standard,7.5,0,https://static.prizepicks.com/images/manual/Ousmane_Dieng.png,,,,,OK,0,119.6,90.7,43.5,38.7,14.0,23.7,15.6,52.0,29.5,59.0,25,23,23,22,23,14,22,22,16,7,22.774193548387096,23,Weak,4997526,nba1h_db,7,16,6,2,7,11,2,5,3,,7.6,6.556,6.556,1,4,0,0.2,0.2,0.8,0.222,0.778,OK,
1627752,11147718,11147718,217106,141626,2026-04-05T15:30:00.000-04:00,,,Taurean Prince,F,MIL,MEM,7.5,Pts+Rebs+Asts,pra,Standard,7.5,0,https://static.prizepicks.com/images/players/NBA/Taurean_Prince_NBA_player_tmWS9eoeursIip0hQMwzX5JB.webp,,,,,OK,0,119.6,90.7,43.5,38.7,14.0,23.7,15.6,52.0,29.5,59.0,25,23,23,22,23,14,22,22,16,7,22.774193548387096,23,Weak,2990962,nba1h_db,14,11,6,,,,,,,,10.333,10.333,10.333,2,1,0,0.667,0.667,0.333,0.667,0.333,OK,
1626167,11140065,11140065,271948,141626,2026-04-05T15:30:00.000-04:00,,,Myles Turner,C-F,MIL,MEM,6.5,Points,pts,Standard,6.5,0,https://static.prizepicks.com/images/players/NBA/Myles_Turner_NBA_player_m62QTJhZKxz0vSvMk9qKafM.webp,,,,,OK,0,119.6,90.7,43.5,38.7,14.0,23.7,15.6,52.0,29.5,59.0,25,23,23,22,23,14,22,22,16,7,22.774193548387096,23,Weak,3133628,nba1h_db,3,5,7,,,,,,,,5,5,5,1,2,0,0.333,0.333,0.667,0.333,0.667,OK,
