team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
MIA,TOR,238.5,4.5,117.0,False,False,FAST,live
TOR/MIA,,238.5,-4.5,121.5,False,False,FAST,live
TOR,MIA,238.5,-4.5,121.5,False,False,FAST,live
CHI,WAS,247.5,-6.5,127.0,False,False,FAST,live
WAS,CHI,247.5,6.5,120.5,False,False,FAST,live
BOS,NYK,215.5,4.5,105.5,False,False,NORMAL,live
NYK,BOS,215.5,-4.5,110.0,False,False,NORMAL,live
IND,BRK,224.5,-3.5,114.0,False,False,NORMAL,live
BKN,IND,224.5,3.5,110.5,False,False,NORMAL,live
HOU/PHI,,225.5,-4.5,115.0,False,False,NORMAL,live
PHI,HOU,225.5,4.5,110.5,False,False,NORMAL,live
HOU,PHI,225.5,-4.5,115.0,False,False,NORMAL,live
LAL,GSW,225.5,4.5,110.5,False,False,NORMAL,live
GSW,LAL,225.5,-4.5,115.0,False,False,NORMAL,live
