team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
ATL,CLE,235.5,1.5,117.0,False,False,FAST,live
CLE/ATL,,235.5,-1.5,118.5,False,False,FAST,live
CLE,ATL,235.5,-1.5,118.5,False,False,FAST,live
ORL,MIN,228.5,-6.5,117.5,False,False,FAST,live
MIN,ORL,228.5,6.5,111.0,False,False,FAST,live
ORL/MIN,,228.5,-6.5,117.5,False,False,FAST,live
DET,MIL,221.5,-18.5,120.0,True,False,NORMAL,live
MIL,DET,221.5,18.5,101.5,True,False,NORMAL,live
DEN,MEM,244.5,-22.5,133.5,True,False,FAST,live
MEM,DEN,244.5,22.5,111.0,True,False,FAST,live
SAS/POR,,231.5,-3.5,117.5,False,False,FAST,live
POR,SAS,231.5,3.5,114.0,False,False,FAST,live
SAS,POR,231.5,-3.5,117.5,False,False,FAST,live
PHX,DAL,230.5,-10.5,120.5,True,False,FAST,live
DAL,PHX,230.5,10.5,110.0,True,False,FAST,live
OKC,LAC,225.5,-7.5,116.5,False,False,NORMAL,live
LAC,OKC,225.5,7.5,109.0,False,False,NORMAL,live
