team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
CHA,MIA,227.5,-5.5,116.5,False,False,NORMAL,live
MIA,CHA,227.5,5.5,111.0,False,False,NORMAL,live
CHA/MIA,,227.5,-5.5,116.5,False,False,NORMAL,live
PHX/POR,,218.5,-4.5,111.5,False,False,NORMAL,live
POR,PHX,218.5,4.5,107.0,False,False,NORMAL,live
PHX,POR,218.5,-4.5,111.5,False,False,NORMAL,live
PHI/ORL,,220.5,-1.5,111.0,False,False,NORMAL,live
PHI,ORL,220.5,-1.5,111.0,False,False,NORMAL,live
ORL,PHI,220.5,1.5,109.5,False,False,NORMAL,live
LAC/GSW,,220.5,-4.5,112.5,False,False,NORMAL,live
LAC,GSW,220.5,-4.5,112.5,False,False,NORMAL,live
GSW,LAC,220.5,4.5,108.0,False,False,NORMAL,live
CLE,TOR,219.5,-7.5,113.5,False,False,NORMAL,live
TOR,CLE,219.5,7.5,106.0,False,False,NORMAL,live
DEN,MIN,230.5,-6.5,118.5,False,False,FAST,live
MIN,DEN,230.5,6.5,112.0,False,False,FAST,live
ATL,NYK,216.5,4.5,106.0,False,False,NORMAL,live
NYK,ATL,216.5,-4.5,110.5,False,False,NORMAL,live
LAL,HOU,208.5,4.5,102.0,False,True,SLOW,live
HOU,LAL,208.5,-4.5,106.5,False,True,SLOW,live
