team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
MIN,IND,231.5,-12.5,122.0,True,False,FAST,live
IND,MIN,231.5,12.5,109.5,True,False,FAST,live
WAS,CHI,249.5,6.5,121.5,False,False,FAST,live
CHI,WAS,249.5,-6.5,128.0,False,False,FAST,live
MIA,TOR,239.5,1.5,119.0,False,False,FAST,live
TOR/MIA,,239.5,-1.5,120.5,False,False,FAST,live
TOR,MIA,239.5,-1.5,120.5,False,False,FAST,live
MIL,BRK,220.5,-2.5,111.5,False,False,NORMAL,live
BKN,MIL,220.5,2.5,109.0,False,False,NORMAL,live
NOP,UTA,242.5,-11.5,127.0,True,False,FAST,live
UTA,NOP,242.5,11.5,115.5,True,False,FAST,live
BOS/CHA,,219.5,-5.5,112.5,False,False,NORMAL,live
BOS,CHA,219.5,-5.5,112.5,False,False,NORMAL,live
CHA,BOS,219.5,5.5,107.0,False,False,NORMAL,live
GSW,SAC,234.5,-15.5,125.0,True,False,FAST,live
SAC,GSW,234.5,15.5,109.5,True,False,FAST,live
LAL/OKC,,223.5,17.5,103.0,True,False,NORMAL,live
LAL,OKC,223.5,17.5,103.0,True,False,NORMAL,live
OKC,LAL,223.5,-17.5,120.5,True,False,NORMAL,live
LAC/DAL,,237.5,-11.5,124.5,True,False,FAST,live
DAL,LAC,237.5,11.5,113.0,True,False,FAST,live
LAC,DAL,237.5,-11.5,124.5,True,False,FAST,live
PHX/HOU,,221.5,-1.5,111.5,False,False,NORMAL,live
PHX,HOU,221.5,-1.5,111.5,False,False,NORMAL,live
HOU,PHX,221.5,1.5,110.0,False,False,NORMAL,live
