team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
OKC,WAS,231.5,-21.5,126.5,True,False,FAST,live
WAS,OKC,231.5,21.5,105.0,True,False,FAST,live
CHA,MEM,233.5,-17.5,125.5,True,False,FAST,live
CLE,NOP,236.5,-4.5,120.5,False,False,FAST,live
NOP,CLE,236.5,4.5,116.0,False,False,FAST,live
LAL,ORL,232.5,-3.5,118.0,False,False,FAST,live
ORL,LAL,232.5,3.5,114.5,False,False,FAST,live
CHA/MEM,,233.5,-17.5,125.5,True,False,FAST,live
MEM,CHA,233.5,17.5,108.0,True,False,FAST,live
NOP/CLE,,236.5,4.5,116.0,False,False,FAST,live
ORL/LAL,,232.5,3.5,114.5,False,False,FAST,live
ATL,GSW,229.5,-10.5,120.0,True,False,FAST,live
GSW,ATL,229.5,10.5,109.5,True,False,FAST,live
SAS,IND,234.5,-17.5,126.0,True,False,FAST,live
IND,SAS,234.5,17.5,108.5,True,False,FAST,live
HOU,MIA,227.5,-2.5,115.0,False,False,NORMAL,live
MIA,HOU,227.5,2.5,112.5,False,False,NORMAL,live
ATL/GSW,,229.5,-10.5,120.0,True,False,FAST,live
SAS/IND,,234.5,-17.5,126.0,True,False,FAST,live
HOU/MIA,,227.5,-2.5,115.0,False,False,NORMAL,live
LAC,DAL,234.5,-7.5,121.0,False,False,FAST,live
DAL,LAC,234.5,7.5,113.5,False,False,FAST,live
DAL/LAC,,234.5,7.5,113.5,False,False,FAST,live
PHI,UTA,229.5,-5.5,117.5,False,False,FAST,live
UTA,PHI,229.5,5.5,112.0,False,False,FAST,live
UTA/PHI,,229.5,5.5,112.0,False,False,FAST,live
PHX,MIL,218.5,-11.5,115.0,True,False,NORMAL,live
MIL,PHX,218.5,11.5,103.5,True,False,NORMAL,live
PHX/MIL,,218.5,-11.5,115.0,True,False,NORMAL,live
