team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
PHI,MIA,246.5,-2.5,124.5,False,False,FAST,live
MIA,PHI,246.5,2.5,122.0,False,False,FAST,live
MIA/PHI,,246.5,2.5,122.0,False,False,FAST,live
ATL,BOS,222.5,-1.5,112.0,False,False,NORMAL,live
BOS,ATL,222.5,1.5,110.5,False,False,NORMAL,live
ATL/BOS,,222.5,-1.5,112.0,False,False,NORMAL,live
SAS,CHI,244.5,-18.5,131.5,True,False,FAST,live
CHI,SAS,244.5,18.5,113.0,True,False,FAST,live
PHX,MEM,229.5,-12.5,121.0,True,False,FAST,live
MEM,PHX,229.5,12.5,108.5,True,False,FAST,live
SAS/CHI,,244.5,-18.5,131.5,True,False,FAST,live
MEM/PHX,,229.5,12.5,108.5,True,False,FAST,live
DAL,MIN,235.5,7.5,114.0,False,False,FAST,live
MIN,DAL,235.5,-7.5,121.5,False,False,FAST,live
DAL/MIN,,235.5,7.5,114.0,False,False,FAST,live
CLE,UTA,242.5,-17.5,130.0,True,False,FAST,live
UTA,CLE,242.5,17.5,112.5,True,False,FAST,live
UTA/CLE,,242.5,17.5,112.5,True,False,FAST,live
OKC,DET,218.5,-11.5,115.0,True,False,NORMAL,live
DET,OKC,218.5,11.5,103.5,True,False,NORMAL,live
OKC/DET,,218.5,-11.5,115.0,True,False,NORMAL,live
LAL,WAS,236.5,-16.5,126.5,True,False,FAST,live
WAS,LAL,236.5,16.5,110.0,True,False,FAST,live
