team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
DET/MIN,,224.5,-3.5,114.0,False,False,NORMAL,live
DET,MIN,224.5,-3.5,114.0,False,False,NORMAL,live
MIN,DET,224.5,3.5,110.5,False,False,NORMAL,live
CHA/PHX,,221.5,-5.5,113.5,False,False,NORMAL,live
PHX,CHA,221.5,5.5,108.0,False,False,NORMAL,live
CHA,PHX,221.5,-5.5,113.5,False,False,NORMAL,live
OKC/LAL,,226.5,-9.5,118.0,True,False,NORMAL,live
LAL,OKC,226.5,9.5,108.5,True,False,NORMAL,live
OKC,LAL,226.5,-9.5,118.0,True,False,NORMAL,live
CLE,,226.5,-10.5,118.5,True,False,NORMAL,live
POR,NOP,232.5,-6.5,119.5,False,False,FAST,live
NOP,POR,232.5,6.5,113.0,False,False,FAST,live
