team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
SAS,MIL,226.5,-18.5,122.5,True,False,NORMAL,live
MIL/SAS,,226.5,18.5,104.0,True,False,NORMAL,live
MIL,SAS,226.5,18.5,104.0,True,False,NORMAL,live
MIN/DET,,223.5,-2.5,113.0,False,False,NORMAL,live
MIN,DET,223.5,-2.5,113.0,False,False,NORMAL,live
DET,MIN,223.5,2.5,110.5,False,False,NORMAL,live
CHA/PHI,,233.5,-6.5,120.0,False,False,FAST,live
PHI,CHA,233.5,6.5,113.5,False,False,FAST,live
CHA,PHI,233.5,-6.5,120.0,False,False,FAST,live
ATL,SAC,236.5,-14.5,125.5,True,False,FAST,live
ATL/SAC,,236.5,-14.5,125.5,True,False,FAST,live
SAC,ATL,236.5,14.5,111.0,True,False,FAST,live
CHI,MEM,245.5,-3.5,124.5,False,False,FAST,live
MEM/CHI,,245.5,3.5,121.0,False,False,FAST,live
MEM,CHI,245.5,3.5,121.0,False,False,FAST,live
PHX,UTA,230.5,-16.5,123.5,True,False,FAST,live
PHX/UTA,,230.5,-16.5,123.5,True,False,FAST,live
UTA,PHX,230.5,16.5,107.0,True,False,FAST,live
OKC,NYK,223.5,-9.5,116.5,True,False,NORMAL,live
NYK,OKC,223.5,9.5,107.0,True,False,NORMAL,live
