team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
MIL,MEM,227.5,-6.5,117.0,False,False,NORMAL,live
MIL/MEM,,227.5,-6.5,117.0,False,False,NORMAL,live
MEM,MIL,227.5,6.5,110.5,False,False,NORMAL,live
PHX,CHI,239.5,-10.5,125.0,True,False,FAST,live
CHI,PHX,239.5,10.5,114.5,True,False,FAST,live
CHI/PHX,,239.5,10.5,114.5,True,False,FAST,live
BOS,TOR,219.5,-9.5,114.5,True,False,NORMAL,live
TOR,BOS,219.5,9.5,105.0,True,False,NORMAL,live
BOS/TOR,,219.5,-9.5,114.5,True,False,NORMAL,live
WAS,BRK,229.5,3.5,113.0,False,False,FAST,live
BKN/WAS,,229.5,-3.5,116.5,False,False,FAST,live
BKN,WAS,229.5,-3.5,116.5,False,False,FAST,live
CLE,IND,238.5,-15.5,127.0,True,False,FAST,live
CLE/IND,,238.5,-15.5,127.0,True,False,FAST,live
IND,CLE,238.5,15.5,111.5,True,False,FAST,live
OKC,UTA,238.5,-23.5,131.0,True,False,FAST,live
OKC/UTA,,238.5,-23.5,131.0,True,False,FAST,live
UTA,OKC,238.5,23.5,107.5,True,False,FAST,live
CHA,MIN,227.5,-2.5,115.0,False,False,NORMAL,live
MIN/CHA,,227.5,2.5,112.5,False,False,NORMAL,live
MIN,CHA,227.5,2.5,112.5,False,False,NORMAL,live
ORL,NOP,236.5,-4.5,120.5,False,False,FAST,live
NOP/ORL,,236.5,4.5,116.0,False,False,FAST,live
NOP,ORL,236.5,4.5,116.0,False,False,FAST,live
LAL,DAL,232.5,-1.5,117.0,False,False,FAST,live
DAL,LAL,232.5,1.5,115.5,False,False,FAST,live
DAL/LAL,,232.5,1.5,115.5,False,False,FAST,live
LAC,SAC,228.5,-12.5,120.5,True,False,FAST,live
SAC/LAC,,228.5,12.5,108.0,True,False,FAST,live
SAC,LAC,228.5,12.5,108.0,True,False,FAST,live
HOU,GSW,226.5,-3.5,115.0,False,False,NORMAL,live
GSW/HOU,,226.5,3.5,111.5,False,False,NORMAL,live
GSW,HOU,226.5,3.5,111.5,False,False,NORMAL,live
ATL,NYK,230.5,-1.5,116.0,False,False,FAST,live
NYK,ATL,230.5,1.5,114.5,False,False,FAST,live
SAS,PHI,234.5,-8.5,121.5,False,False,FAST,live
PHI,SAS,234.5,8.5,113.0,False,False,FAST,live
DEN,POR,239.5,-9.5,124.5,True,False,FAST,live
POR,DEN,239.5,9.5,115.0,True,False,FAST,live
