team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
OKC,WAS,,,,False,False,UNKNOWN,fallback
WAS,OKC,,,,False,False,UNKNOWN,fallback
CHA,MEM,,,,False,False,UNKNOWN,fallback
CLE,NOP,,,,False,False,UNKNOWN,fallback
NOP,CLE,,,,False,False,UNKNOWN,fallback
LAL,ORL,,,,False,False,UNKNOWN,fallback
ORL,LAL,,,,False,False,UNKNOWN,fallback
CHA/MEM,,,,,False,False,UNKNOWN,fallback
MEM,CHA,,,,False,False,UNKNOWN,fallback
NOP/CLE,,,,,False,False,UNKNOWN,fallback
ORL/LAL,,,,,False,False,UNKNOWN,fallback
ATL,GSW,,,,False,False,UNKNOWN,fallback
GSW,ATL,,,,False,False,UNKNOWN,fallback
SAS,IND,,,,False,False,UNKNOWN,fallback
IND,SAS,,,,False,False,UNKNOWN,fallback
MIA,HOU,,,,False,False,UNKNOWN,fallback
ATL/GSW,,,,,False,False,UNKNOWN,fallback
SAS/IND,,,,,False,False,UNKNOWN,fallback
HOU,MIA,,,,False,False,UNKNOWN,fallback
LAC,DAL,,,,False,False,UNKNOWN,fallback
DAL,LAC,,,,False,False,UNKNOWN,fallback
DAL/LAC,,,,,False,False,UNKNOWN,fallback
PHI,UTA,242.5,-9.5,126.0,True,False,FAST,live
UTA,PHI,242.5,9.5,116.5,True,False,FAST,live
UTA/PHI,,242.5,9.5,116.5,True,False,FAST,live
PHX,MIL,211.5,-4.5,108.0,False,True,SLOW,live
MIL,PHX,211.5,4.5,103.5,False,True,SLOW,live
PHX/MIL,,211.5,-4.5,108.0,False,True,SLOW,live
