team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
CHA,DET,,,,False,False,UNKNOWN,fallback
DET,CHA,,,,False,False,UNKNOWN,fallback
MIA,WAS,,,,False,False,UNKNOWN,fallback
WAS,MIA,,,,False,False,UNKNOWN,fallback
ATL,CLE,,,,False,False,UNKNOWN,fallback
ATL/CLE,,242.5,3.5,119.5,False,False,FAST,live
CLE,ATL,,,,False,False,UNKNOWN,fallback
BOS,NOP,,,,False,False,UNKNOWN,fallback
NOP,BOS,,,,False,False,UNKNOWN,fallback
TOR,NYK,,,,False,False,UNKNOWN,fallback
NYK,TOR,,,,False,False,UNKNOWN,fallback
PHI,IND,,,,False,False,UNKNOWN,fallback
IND,PHI,,,,False,False,UNKNOWN,fallback
DAL,SAS,,,,False,False,UNKNOWN,fallback
SAS,DAL,,,,False,False,UNKNOWN,fallback
ORL,CHI,,,,False,False,UNKNOWN,fallback
CHI,ORL,,,,False,False,UNKNOWN,fallback
MIL,BRK,,,,False,False,UNKNOWN,fallback
BKN,MIL,,,,False,False,UNKNOWN,fallback
DEN,OKC,,,,False,False,UNKNOWN,fallback
OKC,DEN,,,,False,False,UNKNOWN,fallback
HOU,MIN,,,,False,False,UNKNOWN,fallback
MIN,HOU,,,,False,False,UNKNOWN,fallback
UTA,MEM,,,,False,False,UNKNOWN,fallback
MEM,UTA,,,,False,False,UNKNOWN,fallback
GSW,SAC,,,,False,False,UNKNOWN,fallback
SAC,GSW,,,,False,False,UNKNOWN,fallback
LAC,POR,,,,False,False,UNKNOWN,fallback
POR/LAC,,228.5,-16.5,122.5,True,False,FAST,live
POR,LAC,,,,False,False,UNKNOWN,fallback
LAL,PHX,,,,False,False,UNKNOWN,fallback
PHX,LAL,,,,False,False,UNKNOWN,fallback
MIL,MEM,,,,False,False,UNKNOWN,fallback
MIL/MEM,,226.5,15.5,105.5,True,False,NORMAL,live
MEM,MIL,,,,False,False,UNKNOWN,fallback
PHX,CHI,,,,False,False,UNKNOWN,fallback
CHI,PHX,,,,False,False,UNKNOWN,fallback
CHI/PHX,,246.5,6.5,120.0,False,False,FAST,live
BOS,TOR,,,,False,False,UNKNOWN,fallback
TOR,BOS,,,,False,False,UNKNOWN,fallback
BOS/TOR,,217.5,11.5,103.0,True,False,NORMAL,live
WAS,BRK,,,,False,False,UNKNOWN,fallback
BKN/WAS,,218.5,22.5,98.0,True,False,NORMAL,live
BKN,WAS,,,,False,False,UNKNOWN,fallback
CLE,IND,,,,False,False,UNKNOWN,fallback
CLE/IND,,235.5,-10.5,123.0,True,False,FAST,live
IND,CLE,,,,False,False,UNKNOWN,fallback
OKC,UTA,,,,False,False,UNKNOWN,fallback
OKC/UTA,,213.5,-5.5,109.5,False,True,SLOW,live
UTA,OKC,,,,False,False,UNKNOWN,fallback
CHA,MIN,,,,False,False,UNKNOWN,fallback
MIN/CHA,,235.5,-6.5,121.0,False,False,FAST,live
MIN,CHA,,,,False,False,UNKNOWN,fallback
ORL,NOP,,,,False,False,UNKNOWN,fallback
NOP/ORL,,235.5,6.5,114.5,False,False,FAST,live
NOP,ORL,,,,False,False,UNKNOWN,fallback
LAL,DAL,,,,False,False,UNKNOWN,fallback
DAL,LAL,,,,False,False,UNKNOWN,fallback
DAL/LAL,,246.5,-6.5,126.5,False,False,FAST,live
LAC,SAC,,,,False,False,UNKNOWN,fallback
SAC/LAC,,228.5,16.5,106.0,True,False,FAST,live
SAC,LAC,,,,False,False,UNKNOWN,fallback
HOU,GSW,,,,False,False,UNKNOWN,fallback
GSW/HOU,,224.5,5.5,109.5,False,False,NORMAL,live
GSW,HOU,,,,False,False,UNKNOWN,fallback
ATL,NYK,,,,False,False,UNKNOWN,fallback
NYK,ATL,,,,False,False,UNKNOWN,fallback
SAS,PHI,,,,False,False,UNKNOWN,fallback
PHI,SAS,,,,False,False,UNKNOWN,fallback
DEN,POR,,,,False,False,UNKNOWN,fallback
POR,DEN,,,,False,False,UNKNOWN,fallback
