team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
CHA,DET,224.5,-4.5,114.5,False,False,NORMAL,live
DET,CHA,224.5,4.5,110.0,False,False,NORMAL,live
MIA,WAS,249.5,-18.5,134.0,True,False,FAST,live
WAS,MIA,249.5,18.5,115.5,True,False,FAST,live
ATL,CLE,233.5,-8.5,121.0,False,False,FAST,live
ATL/CLE,,233.5,-8.5,121.0,False,False,FAST,live
CLE,ATL,233.5,8.5,112.5,False,False,FAST,live
BOS,NOP,224.5,-16.5,120.5,True,False,NORMAL,live
NOP,BOS,224.5,16.5,104.0,True,False,NORMAL,live
NYK,TOR,219.5,-6.5,113.0,False,False,NORMAL,live
TOR,NYK,219.5,6.5,106.5,False,False,NORMAL,live
PHI,IND,234.5,-15.5,125.0,True,False,FAST,live
IND,PHI,234.5,15.5,109.5,True,False,FAST,live
DAL,SAS,236.5,17.5,109.5,True,False,FAST,live
SAS,DAL,236.5,-17.5,127.0,True,False,FAST,live
ORL,CHI,242.5,-14.5,128.5,True,False,FAST,live
CHI,ORL,242.5,14.5,114.0,True,False,FAST,live
MIL,,219.5,-9.5,114.5,True,False,NORMAL,live
DEN,OKC,231.5,-11.5,121.5,True,False,FAST,live
OKC,DEN,231.5,11.5,110.0,True,False,FAST,live
HOU,MIN,221.5,-10.5,116.0,True,False,NORMAL,live
MIN,HOU,221.5,10.5,105.5,True,False,NORMAL,live
UTA,MEM,248.5,-3.5,126.0,False,False,FAST,live
MEM,UTA,248.5,3.5,122.5,False,False,FAST,live
GSW,SAC,229.5,-11.5,120.5,True,False,FAST,live
SAC,GSW,229.5,11.5,109.0,True,False,FAST,live
POR/LAC,,225.5,-2.5,114.0,False,False,NORMAL,live
POR,LAC,225.5,-2.5,114.0,False,False,NORMAL,live
LAC,POR,225.5,2.5,111.5,False,False,NORMAL,live
LAL,PHX,219.5,1.5,109.0,False,False,NORMAL,live
PHX,LAL,219.5,-1.5,110.5,False,False,NORMAL,live
