team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
CHI,PHI,240.5,5.5,117.5,False,False,FAST,live
PHI,CHI,240.5,-5.5,123.0,False,False,FAST,live
ATL,DET,228.5,2.5,113.0,False,False,FAST,live
DET,ATL,228.5,-2.5,115.5,False,False,FAST,live
LAL,IND,239.5,-10.5,125.0,True,False,FAST,live
IND,LAL,239.5,10.5,114.5,True,False,FAST,live
PHI/CHI,,240.5,-5.5,123.0,False,False,FAST,live
DET/ATL,,228.5,-2.5,115.5,False,False,FAST,live
IND/LAL,,239.5,10.5,114.5,True,False,FAST,live
OKC,BOS,218.5,-2.5,110.5,False,False,NORMAL,live
BOS,OKC,218.5,2.5,108.0,False,False,NORMAL,live
BOS/OKC,,218.5,2.5,108.0,False,False,NORMAL,live
CLE,MIA,243.5,-2.5,123.0,False,False,FAST,live
MIA,CLE,243.5,2.5,120.5,False,False,FAST,live
CLE/MIA,,243.5,-2.5,123.0,False,False,FAST,live
SAS,MEM,232.5,-16.5,124.5,True,False,FAST,live
MEM/SAS,,232.5,16.5,108.0,True,False,FAST,live
MEM,SAS,232.5,16.5,108.0,True,False,FAST,live
UTA,WAS,240.5,-4.5,122.5,False,False,FAST,live
UTA/WAS,,240.5,-4.5,122.5,False,False,FAST,live
WAS,UTA,240.5,4.5,118.0,False,False,FAST,live
MIN/HOU,,224.5,1.5,111.5,False,False,NORMAL,live
HOU,MIN,224.5,-1.5,113.0,False,False,NORMAL,live
MIN,HOU,224.5,1.5,111.5,False,False,NORMAL,live
DEN,DAL,244.5,-12.5,128.5,True,False,FAST,live
DAL,DEN,244.5,12.5,116.0,True,False,FAST,live
POR,MIL,225.5,-12.5,119.0,True,False,NORMAL,live
POR/MIL,,225.5,-12.5,119.0,True,False,NORMAL,live
MIL,POR,225.5,12.5,106.5,True,False,NORMAL,live
GSW,BRK,217.5,-11.5,114.5,True,False,NORMAL,live
GSW/BKN,,217.5,-11.5,114.5,True,False,NORMAL,live
BKN,GSW,217.5,11.5,103.0,True,False,NORMAL,live
DEN/DAL,,244.5,-12.5,128.5,True,False,FAST,live
LAC,TOR,226.5,-4.5,115.5,False,False,NORMAL,live
TOR,LAC,226.5,4.5,111.0,False,False,NORMAL,live
LAC/TOR,,226.5,-4.5,115.5,False,False,NORMAL,live
