projection_id,pp_projection_id,player_id,pp_game_id,start_time,player,pos,team,opp_team,prop_type,line,standard_line,pick_type,pp_home_team,pp_away_team,image_url,game_date
11784339,11784339,173790,155968,2026-05-01T19:00:00.000-04:00,Ausar Thompson,G-F,DET,,Pts+Rebs+Asts,9.5,9.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Ausar_Thompson_NBA_player_7Obr7GoiKRNtF8Nj1LYUn3gX.webp,2026-05-01
11784347,11784347,271922,155968,2026-05-01T19:00:00.000-04:00,Desmond Bane,G,ORL,,Points,9.5,9.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Desmond_Bane_NBA_player_9SEjqOvpojg4UyUy0gX8SNQS.webp,2026-05-01
11784364,11784364,216581,155968,2026-05-01T19:00:00.000-04:00,Tobias Harris,F,DET,,Points,8.5,8.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Tobias_Harris_NBA_player_tGwMomg94AAFiXYjH5vFThKq.webp,2026-05-01
11784356,11784356,55147,155968,2026-05-01T19:00:00.000-04:00,Jalen Suggs,G,ORL,,Points,7.0,7.0,Standard,,,https://static.prizepicks.com/images/players/NBA/Jalen_Suggs_NBA_player_I7jpOaNuORX9n8iyAuZi5K2s.webp,2026-05-01
11785330,11785330,91832,155968,2026-05-01T19:00:00.000-04:00,Jalen Duren,C,DET,,Points,7.0,7.0,Standard,,,https://static.prizepicks.com/images/players/NBA/Jalen_Duren_NBA_player_BGtA2SxfIEpqaOA2zn9FJZhp.webp,2026-05-01
11785324,11785324,176104,155968,2026-05-01T19:00:00.000-04:00,Anthony Black,G,ORL,,Points,6.5,6.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Anthony_Black_NBA_player_suwF3Oh8vV0aS9mPHjiv2L8n.webp,2026-05-01
11784369,11784369,55143,155968,2026-05-01T19:00:00.000-04:00,Wendell Carter,C-F,ORL,,Points,5.5,5.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Wendell_Carter_NBA_player_D8fHvKLdHu6fJ37Fbvf4voGd.webp,2026-05-01
11785411,11785411,173790,155968,2026-05-01T19:00:00.000-04:00,Ausar Thompson,G-F,DET,,Points,4.5,4.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Ausar_Thompson_NBA_player_7Obr7GoiKRNtF8Nj1LYUn3gX.webp,2026-05-01
11792589,11792589,87329,155968,2026-05-01T19:00:00.000-04:00,Paolo Banchero,F,ORL,,3-PT Made,0.5,0.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Paolo_Banchero_NBA_player_cSms4hTTjMfoXUcRKPQkTQDA.webp,2026-05-01
11801716,11801716,55062,155967,2026-05-01T19:30:00.000-04:00,Scottie Barnes,F-G,TOR,,Fantasy Score,23.5,23.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Scottie_Barnes_NBA_player_CA6jRIM1PBTqp5mxIeLVkhys.webp,2026-05-01
11801718,11801718,87349,155967,2026-05-01T19:30:00.000-04:00,Donovan Mitchell,G,CLE,,Fantasy Score,20.5,20.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Donovan_Mitchell_NBA_player_0rXe2XnXarwUqJPvhfPBDUy2.webp,2026-05-01
11784981,11784981,55062,155967,2026-05-01T19:30:00.000-04:00,Scottie Barnes,F-G,TOR,,Pts+Rebs+Asts,18.5,18.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Scottie_Barnes_NBA_player_CA6jRIM1PBTqp5mxIeLVkhys.webp,2026-05-01
11801722,11801722,299376,155967,2026-05-01T19:30:00.000-04:00,James Harden,G,CLE,,Fantasy Score,18.5,18.5,Standard,,,https://static.prizepicks.com/images/manual/James Harden CLE.png,2026-05-01
11801725,11801725,55095,155967,2026-05-01T19:30:00.000-04:00,Evan Mobley,C,CLE,,Fantasy Score,18.5,18.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Evan_Mobley_NBA_player_V3d2qMMdbw05huQpocNNRwVe.webp,2026-05-01
11801726,11801726,183186,155967,2026-05-01T19:30:00.000-04:00,RJ Barrett,F-G,TOR,,Fantasy Score,18.5,18.5,Standard,,,https://static.prizepicks.com/images/players/NBA/R.J._Barrett_NBA_player_Xqi7opqaKQcXtcUIWPhwOB6j.webp,2026-05-01
11784973,11784973,87349,155967,2026-05-01T19:30:00.000-04:00,Donovan Mitchell,G,CLE,,Pts+Rebs+Asts,18.0,18.0,Standard,,,https://static.prizepicks.com/images/players/NBA/Donovan_Mitchell_NBA_player_0rXe2XnXarwUqJPvhfPBDUy2.webp,2026-05-01
11784977,11784977,299376,155967,2026-05-01T19:30:00.000-04:00,James Harden,G,CLE,,Pts+Rebs+Asts,16.5,16.5,Standard,,,https://static.prizepicks.com/images/manual/James Harden CLE.png,2026-05-01
11785357,11785357,183186,155967,2026-05-01T19:30:00.000-04:00,RJ Barrett,F-G,TOR,,Pts+Rebs+Asts,16.5,16.5,Standard,,,https://static.prizepicks.com/images/players/NBA/R.J._Barrett_NBA_player_Xqi7opqaKQcXtcUIWPhwOB6j.webp,2026-05-01
11801727,11801727,271928,155967,2026-05-01T19:30:00.000-04:00,Brandon Ingram,F,TOR,,Fantasy Score,15.5,15.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Brandon_Ingram_NBA_player_wQKmpzeMNkdFc6r8uKMWcPCq.webp,2026-05-01
11785340,11785340,55095,155967,2026-05-01T19:30:00.000-04:00,Evan Mobley,C,CLE,,Pts+Rebs+Asts,14.5,14.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Evan_Mobley_NBA_player_V3d2qMMdbw05huQpocNNRwVe.webp,2026-05-01
11801729,11801729,55097,155967,2026-05-01T19:30:00.000-04:00,Jarrett Allen,C,CLE,,Fantasy Score,14.5,14.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Jarrett_Allen_NBA_player_IBSK04adajN6nXaTEpotn53R.webp,2026-05-01
11785335,11785335,87349,155967,2026-05-01T19:30:00.000-04:00,Donovan Mitchell,G,CLE,,Points,13.5,13.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Donovan_Mitchell_NBA_player_0rXe2XnXarwUqJPvhfPBDUy2.webp,2026-05-01
11801731,11801731,274054,155967,2026-05-01T19:30:00.000-04:00,Collin Murray-Boyles,F,TOR,,Fantasy Score,13.5,13.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Collin_Murray-Boyles_NBA_player_5vDHYOLgMDjXl9RpPYPdWwoz.webp,2026-05-01
11791167,11791167,271928,155967,2026-05-01T19:30:00.000-04:00,Brandon Ingram,F,TOR,,Pts+Rebs+Asts,12.5,12.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Brandon_Ingram_NBA_player_wQKmpzeMNkdFc6r8uKMWcPCq.webp,2026-05-01
11785355,11785355,183186,155967,2026-05-01T19:30:00.000-04:00,RJ Barrett,F-G,TOR,,Points,11.5,11.5,Standard,,,https://static.prizepicks.com/images/players/NBA/R.J._Barrett_NBA_player_Xqi7opqaKQcXtcUIWPhwOB6j.webp,2026-05-01
11785349,11785349,299376,155967,2026-05-01T19:30:00.000-04:00,James Harden,G,CLE,,Points,10.5,10.5,Standard,,,https://static.prizepicks.com/images/manual/James Harden CLE.png,2026-05-01
11785360,11785360,55062,155967,2026-05-01T19:30:00.000-04:00,Scottie Barnes,F-G,TOR,,Points,10.5,10.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Scottie_Barnes_NBA_player_CA6jRIM1PBTqp5mxIeLVkhys.webp,2026-05-01
11791169,11791169,274054,155967,2026-05-01T19:30:00.000-04:00,Collin Murray-Boyles,F,TOR,,Pts+Rebs+Asts,10.5,10.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Collin_Murray-Boyles_NBA_player_5vDHYOLgMDjXl9RpPYPdWwoz.webp,2026-05-01
11791177,11791177,55097,155967,2026-05-01T19:30:00.000-04:00,Jarrett Allen,C,CLE,,Pts+Rebs+Asts,10.0,10.0,Standard,,,https://static.prizepicks.com/images/players/NBA/Jarrett_Allen_NBA_player_IBSK04adajN6nXaTEpotn53R.webp,2026-05-01
11785872,11785872,271928,155967,2026-05-01T19:30:00.000-04:00,Brandon Ingram,F,TOR,,Points,9.5,9.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Brandon_Ingram_NBA_player_wQKmpzeMNkdFc6r8uKMWcPCq.webp,2026-05-01
11801732,11801732,217700,155967,2026-05-01T19:30:00.000-04:00,Jamal Shead,G,TOR,,Fantasy Score,9.5,9.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Jamal_Shead_NBA_player_wdIhIJ53LZBgcQP7GDIjNeDO.webp,2026-05-01
11785338,11785338,55095,155967,2026-05-01T19:30:00.000-04:00,Evan Mobley,C,CLE,,Points,7.5,7.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Evan_Mobley_NBA_player_V3d2qMMdbw05huQpocNNRwVe.webp,2026-05-01
11791175,11791175,217700,155967,2026-05-01T19:30:00.000-04:00,Jamal Shead,G,TOR,,Pts+Rebs+Asts,7.5,7.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Jamal_Shead_NBA_player_wdIhIJ53LZBgcQP7GDIjNeDO.webp,2026-05-01
11785352,11785352,55097,155967,2026-05-01T19:30:00.000-04:00,Jarrett Allen,C,CLE,,Points,5.5,5.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Jarrett_Allen_NBA_player_IBSK04adajN6nXaTEpotn53R.webp,2026-05-01
11785875,11785875,274054,155967,2026-05-01T19:30:00.000-04:00,Collin Murray-Boyles,F,TOR,,Points,5.5,5.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Collin_Murray-Boyles_NBA_player_5vDHYOLgMDjXl9RpPYPdWwoz.webp,2026-05-01
11801424,11801424,217700,155967,2026-05-01T19:30:00.000-04:00,Jamal Shead,G,TOR,,Points,3.5,3.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Jamal_Shead_NBA_player_wdIhIJ53LZBgcQP7GDIjNeDO.webp,2026-05-01
11801602,11801602,55718,155971,2026-05-01T21:30:00.000-04:00,Alperen Sengun,C,HOU,,Fantasy Score,22.5,22.5,Standard,,,https://static.prizepicks.com/images/players/NBA/Alperen_Sengun_NBA_player_MDK6kDvHMx5WTOvQ8y4FbDYv.webp,2026-05-01
