team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
PHI,WAS,240.5,-16.5,128.5,True,False,FAST,live
WAS/PHI,,240.5,16.5,112.0,True,False,FAST,live
WAS,PHI,240.5,16.5,112.0,True,False,FAST,live
ATL,ORL,232.5,-4.5,118.5,False,False,FAST,live
ORL,ATL,232.5,4.5,114.0,False,False,FAST,live
ORL/ATL,,232.5,4.5,114.0,False,False,FAST,live
MIA/BOS,,228.5,5.5,111.5,False,False,FAST,live
BOS,MIA,228.5,-5.5,117.0,False,False,FAST,live
MIA,BOS,228.5,5.5,111.5,False,False,FAST,live
NYK,MEM,228.5,-14.5,121.5,True,False,FAST,live
MEM,NYK,228.5,14.5,107.0,True,False,FAST,live
CHI,IND,247.5,-4.5,126.0,False,False,FAST,live
IND,CHI,247.5,4.5,121.5,False,False,FAST,live
DEN,UTA,248.5,-17.5,133.0,True,False,FAST,live
UTA,DEN,248.5,17.5,115.5,True,False,FAST,live
SAS,GSW,226.5,-13.5,120.0,True,False,NORMAL,live
GSW/SAS,,226.5,13.5,106.5,True,False,NORMAL,live
GSW,SAS,226.5,13.5,106.5,True,False,NORMAL,live
