team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
TOR,CLE,216.5,8.5,104.0,False,False,NORMAL,live
CLE,TOR,216.5,-8.5,112.5,False,False,NORMAL,live
DET,ORL,211.5,-9.5,110.5,True,True,SLOW,live
DET/ORL,,211.5,-9.5,110.5,True,True,SLOW,live
ORL,DET,211.5,9.5,101.0,True,True,SLOW,live
CLE/TOR,,216.5,-8.5,112.5,False,False,NORMAL,live
HOU,LAL,207.5,4.5,101.5,False,True,SLOW,live
LAL,HOU,207.5,-4.5,106.0,False,True,SLOW,live
LAL/HOU,,207.5,-4.5,106.0,False,True,SLOW,live
