team,opp_team,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source
LAC,MIL,222.5,-14.5,118.5,True,False,NORMAL,live
MIL,LAC,222.5,14.5,104.0,True,False,NORMAL,live
MIL/LAC,,222.5,14.5,104.0,True,False,NORMAL,live
MIA,IND,245.5,-9.5,127.5,True,False,FAST,live
IND,MIA,245.5,9.5,118.0,True,False,FAST,live
IND/MIA,,245.5,9.5,118.0,True,False,FAST,live
SAC,BRK,221.5,-1.5,111.5,False,False,NORMAL,live
BKN,SAC,221.5,1.5,110.0,False,False,NORMAL,live
POR,WAS,237.5,-16.5,127.0,True,False,FAST,live
WAS,POR,237.5,16.5,110.5,True,False,FAST,live
BKN/SAC,,221.5,1.5,110.0,False,False,NORMAL,live
POR/WAS,,237.5,-16.5,127.0,True,False,FAST,live
BOS,CHA,215.5,1.5,107.0,False,False,NORMAL,live
CHA/BOS,,215.5,-1.5,108.5,False,False,NORMAL,live
CHA,BOS,215.5,-1.5,108.5,False,False,NORMAL,live
ORL,TOR,226.5,2.5,112.0,False,False,NORMAL,live
TOR/ORL,,226.5,-2.5,114.5,False,False,NORMAL,live
TOR,ORL,226.5,-2.5,114.5,False,False,NORMAL,live
NOP/HOU,,225.5,5.5,110.0,False,False,NORMAL,live
HOU,NOP,225.5,-5.5,115.5,False,False,NORMAL,live
NOP,HOU,225.5,5.5,110.0,False,False,NORMAL,live
OKC/NYK,,223.5,-8.5,116.0,False,False,NORMAL,live
OKC,NYK,223.5,-8.5,116.0,False,False,NORMAL,live
NYK,OKC,223.5,8.5,107.5,False,False,NORMAL,live
DEN,GSW,238.5,-12.5,125.5,True,False,FAST,live
DEN/GSW,,238.5,-12.5,125.5,True,False,FAST,live
GSW,DEN,238.5,12.5,113.0,True,False,FAST,live
