team,OVERALL_DEF_RANK,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_wins,opp_gp,def_rank,def_tier,updated_at,sa_ratio,opp_gaa_rank,opp_saa_rank,opp_pk_pct_rank,opp_gf_rank,pace_fast_rank,pace_slow_rank,OVERALL_DEF_SCORE
ANA,29.0,3.512,0.0,0.0,3.329,0.0,0.0,43.0,82.0,29,Weak,2026-05-22T17:42:44.717354+00:00,0.0,29,1,1,10,1,1,12.200000000000001
BOS,13.0,3.049,0.0,0.0,3.317,0.0,0.0,45.0,82.0,13,Above Avg,2026-05-22T17:42:44.717354+00:00,0.0,13,1,1,11,1,1,5.8
BUF,7.0,2.939,0.0,0.0,3.512,0.0,0.0,50.0,82.0,7,Elite,2026-05-22T17:42:44.717354+00:00,0.0,7,1,1,5,1,1,3.4000000000000004
CAR,4.0,2.927,0.0,0.0,3.61,0.0,0.0,53.0,82.0,4,Elite,2026-05-22T17:42:44.717354+00:00,0.0,4,1,1,2,1,1,2.2
CBJ,16.0,3.085,0.0,0.0,3.085,0.0,0.0,40.0,82.0,16,Avg,2026-05-22T17:42:44.717354+00:00,0.0,16,1,1,16,1,1,7.0
CGY,21.0,3.159,0.0,0.0,2.585,0.0,0.0,34.0,82.0,21,Below Avg,2026-05-22T17:42:44.717354+00:00,0.0,21,1,1,32,1,1,9.0
CHI,27.0,3.354,0.0,0.0,2.598,0.0,0.0,29.0,82.0,27,Weak,2026-05-22T17:42:44.717354+00:00,0.0,27,1,1,31,1,1,11.4
COL,1.0,2.476,0.0,0.0,3.683,0.0,0.0,55.0,82.0,1,Elite,2026-05-22T17:42:44.717354+00:00,0.0,1,1,1,1,1,1,1.0
DAL,2.0,2.756,0.0,0.0,3.402,0.0,0.0,50.0,82.0,2,Elite,2026-05-22T17:42:44.717354+00:00,0.0,2,1,1,8,1,1,1.4000000000000001
DET,19.0,3.146,0.0,0.0,2.939,0.0,0.0,41.0,82.0,19,Avg,2026-05-22T17:42:44.717354+00:00,0.0,19,1,1,22,1,1,8.200000000000001
EDM,25.0,3.28,0.0,0.0,3.439,0.0,0.0,41.0,82.0,25,Below Avg,2026-05-22T17:42:44.717354+00:00,0.0,25,1,1,7,1,1,10.6
FLA,28.0,3.366,0.0,0.0,3.061,0.0,0.0,40.0,82.0,28,Weak,2026-05-22T17:42:44.717354+00:00,0.0,28,1,1,18,1,1,11.8
LAK,12.0,3.012,0.0,0.0,2.744,0.0,0.0,35.0,82.0,12,Above Avg,2026-05-22T17:42:44.717354+00:00,0.0,12,1,1,29,1,1,5.4
