player_norm,mlb_player_id
luis garcia jr.,671277
brooks lee,686797
royce lewis,668904
ernie clement,676391
p.j. higgins,664731
bo bichette,666182
jake mangum,663968
victor caratini,605170
kyle isbel,664728
julio rodriguez,677594
jose tena,677588
nick kurtz,701762
joey ortiz,687401
jordan beck,687597
luke raley,670042
carlos cortes,666126
heliot ramos,671218
jack leiter,683004
moises ballesteros,694208
jake burger,669394
graham pauley,688363
nick fortes,663743
freddie freeman,518692
matt chapman,656305
rafael devers,646240
walker buehler,621111
leody taveras,665750
zack gelof,680869
carlos narvaez,665966
hunter goodman,696100
giancarlo stanton,519317
brandon williamson,682227
jeremiah jackson,669236
ivan herrera,671056
ryan jeffers,680777
jac caglianone,695506
nathan lukes,664770
corbin carroll,682998
matt shaw,807713
george valera,671655
dustin harris,687957
andres gimenez,665926
agustin ramirez,682663
daniel schneemann,682177
ceddanne rafaela,678882
michael wacha,608379
bryce harper,547180
patrick bailey,672275
amed rosario,642708
bobby witt jr.,677951
vaughn grissom,687093
garrett mitchell,669003
nasim nunez,683083
will smith,669257
chandler simpson,802415
brett baty,683146
drake baldwin,686948
leo jimenez,677870
seiya suzuki,673548
hyeseong kim,808975
kyle stowers,669065
ranger suarez,624133
dillon dingler,693307
mickey moniak,666160
christian walker,572233
tyler mahle,641816
janson junk,676083
nolan gorman,669357
joc pederson,592626
ke'bryan hayes,663647
felix reyes,694025
jackson merrill,701538
mike trout,545361
konnor griffin,804606
jeff mcneil,643446
jacob wilson,805779
jazz chisholm jr.,665862
zach neto,687263
kyle higashioka,543309
trevor larnach,663616
masyn winn,691026
troy johnston,687859
jose caballero,676609
brandon marsh,669016
austin wells,669224
nathan church,701675
brice matthews,694728
miguel vargas,678246
carlos correa,621043
james wood,695578
javier sanoja,691594
jj wetherholt,802139
otto lopez,672640
dansby swanson,621020
eugenio suarez,553993
daulton varsho,662139
jose ramirez,608070
daylen lile,695734
kyle tucker,663656
joey bart,663698
carson kelly,608348
henry davis,680779
derek hill,656537
yordan alvarez,670541
chase delauter,800050
luis rengifo,650859
edgar quero,700337
jacob young,696285
willi castro,650489
maikel garcia,672580
kody clemens,665019
drew gilbert,687551
bryce teodosio,669326
brady house,691781
xavier edwards,669364
ildemaro vargas,545121
pete crow-armstrong,691718
max fried,608331
everson pereira,677592
jose fernandez,699912
heriberto hernandez,681715
salvador perez,521692
connor prielipp,687570
kyle manzardo,700932
chase meidroth,805367
michael massey,686681
jordan walker,691023
ben rice,700250
matt vierling,663837
blaze alexander,677942
ben williamson,810938
josh naylor,647304
ryan vilade,668723
edouard julien,666397
ramon laureano,657656
michael busch,683737
logan gilbert,669302
carter jensen,695600
braden shewmake,669699
coby mayo,691723
casey schmitt,669477
spencer horwitz,687462
james mccann,543510
jake cronenworth,630105
david hamilton,666152
geraldo perdomo,672695
jonny deluca,676356
samuel basallo,694212
gleyber torres,650402
adley rutschman,668939
tommy pham,502054
gary sanchez,596142
sal stewart,701398
peter lambert,663567
jesus sanchez,660821
eloy jimenez,650391
j.p. crawford,641487
dominic canzone,686527
connor norby,681393
spencer steer,668715
ketel marte,606466
andy pages,681624
yoan moncada,660162
jake mccarthy,664983
tim tawa,694374
mark vientos,668901
freddy fermin,666023
munetaka murakami,808959
shea langeliers,669127
tanner murray,695020
kerry carpenter,681481
max muncy,571970
caleb durbin,702332
anthony kay,641743
tyler stephenson,663886
cal raleigh,663728
xander bogaerts,593428
manny machado,592518
jakob marsee,805300
christian vazquez,543877
pete alonso,624413
teoscar hernandez,606192
tj friedl,670770
william contreras,661388
jose soriano,667755
marcell ozuna,542303
chris bassitt,605135
eduardo rodriguez,593958
lawrence butler,671732
shay whitcomb,694376
rhys hoskins,656555
oswald peraza,672724
daniel johnson,669288
gunnar henderson,683002
javier baez,595879
tyrone taylor,621438
matt mclain,680574
