espn_id,player_name,player_key,tournament_date,tournament_name,round,strokes,birdies,bogeys,pars,birdies_or_better,bogeys_or_worse,holes_played
,Ben James,ben james,2026-06-11,RBC Canadian Open,2,47.0,4.0,0.0,4.0,4.0,1.0,9.0
,Ryan Fox,ryan fox,2026-06-11,RBC Canadian Open,2,62.0,6.0,2.0,1.0,6.0,2.0,9.0
,Brooks Koepka,brooks koepka,2026-06-11,RBC Canadian Open,2,64.0,4.0,2.0,1.0,4.0,4.0,9.0
,Emiliano Grillo,emiliano grillo,2026-06-11,RBC Canadian Open,2,69.0,4.0,3.0,4.0,4.0,3.0,11.0
,Robert MacIntyre,robert macintyre,2026-06-11,RBC Canadian Open,2,58.0,5.0,1.0,4.0,5.0,1.0,10.0
,Harry Hall,harry hall,2026-06-11,RBC Canadian Open,2,59.0,3.0,1.0,8.0,3.0,1.0,12.0
,Austin Eckroat,austin eckroat,2026-06-11,RBC Canadian Open,2,54.0,2.0,1.0,6.0,2.0,2.0,10.0
,Jackson Suber,jackson suber,2026-06-11,RBC Canadian Open,2,51.0,3.0,1.0,6.0,3.0,1.0,10.0
,Aldrich Potgieter,aldrich potgieter,2026-06-11,RBC Canadian Open,2,60.0,4.0,1.0,4.0,4.0,2.0,10.0
,Shane Lowry,shane lowry,2026-06-11,RBC Canadian Open,2,62.0,0.0,2.0,9.0,0.0,3.0,12.0
,Johnny Keefer,johnny keefer,2026-06-11,RBC Canadian Open,2,56.0,3.0,2.0,5.0,3.0,2.0,10.0
,Max Homa,max homa,2026-06-11,RBC Canadian Open,2,63.0,4.0,2.0,5.0,4.0,2.0,11.0
,Chandler Phillips,chandler phillips,2026-06-11,RBC Canadian Open,2,65.0,5.0,2.0,1.0,5.0,3.0,9.0
,Alex Fitzpatrick,alex fitzpatrick,2026-06-11,RBC Canadian Open,2,60.0,4.0,0.0,6.0,4.0,1.0,11.0
,Adam Hadwin,adam hadwin,2026-06-11,RBC Canadian Open,2,68.0,5.0,3.0,2.0,5.0,3.0,10.0
,Christiaan Bezuidenhout,christiaan bezuidenhout,2026-06-11,RBC Canadian Open,2,70.0,2.0,2.0,10.0,2.0,2.0,14.0
,Michael Thorbjornsen,michael thorbjornsen,2026-06-11,RBC Canadian Open,2,64.0,3.0,1.0,9.0,3.0,1.0,13.0
,Wyndham Clark,wyndham clark,2026-06-11,RBC Canadian Open,2,61.0,4.0,3.0,2.0,4.0,3.0,9.0
,Tom Kim,tom kim,2026-06-11,RBC Canadian Open,2,53.0,1.0,1.0,10.0,1.0,1.0,12.0
,Vince Whaley,vince whaley,2026-06-11,RBC Canadian Open,2,71.0,2.0,3.0,8.0,2.0,3.0,13.0
,Nick Taylor,nick taylor,2026-06-11,RBC Canadian Open,2,67.0,2.0,3.0,6.0,2.0,3.0,11.0
,Ben Kohles,ben kohles,2026-06-11,RBC Canadian Open,2,58.0,3.0,2.0,3.0,3.0,3.0,9.0
,Séamus Power,seamus power,2026-06-11,RBC Canadian Open,2,68.0,2.0,0.0,14.0,2.0,0.0,16.0
,Tom Hoge,tom hoge,2026-06-11,RBC Canadian Open,2,69.0,3.0,2.0,8.0,3.0,2.0,13.0
,Keita Nakajima,keita nakajima,2026-06-11,RBC Canadian Open,2,48.0,3.0,1.0,5.0,3.0,1.0,9.0
,Jhonattan Vegas,jhonattan vegas,2026-06-11,RBC Canadian Open,2,68.0,1.0,4.0,7.0,1.0,4.0,12.0
,Rico Hoey,rico hoey,2026-06-11,RBC Canadian Open,2,74.0,1.0,5.0,6.0,1.0,5.0,12.0
,John Parry,john parry,2026-06-11,RBC Canadian Open,2,51.0,2.0,2.0,5.0,2.0,2.0,9.0
,Andrew Putnam,andrew putnam,2026-06-11,RBC Canadian Open,2,68.0,6.0,2.0,0.0,6.0,3.0,9.0
,Mackenzie Hughes,mackenzie hughes,2026-06-11,RBC Canadian Open,2,73.0,1.0,4.0,8.0,1.0,4.0,13.0
,Brian Campbell,brian campbell,2026-06-11,RBC Canadian Open,2,65.0,3.0,3.0,5.0,3.0,3.0,11.0
,Adam Schenk,adam schenk,2026-06-11,RBC Canadian Open,2,66.0,1.0,4.0,4.0,1.0,5.0,10.0
,Joel Dahmen,joel dahmen,2026-06-11,RBC Canadian Open,2,56.0,3.0,2.0,5.0,3.0,2.0,10.0
,Sean O'Hair,sean o'hair,2026-06-11,RBC Canadian Open,2,48.0,1.0,1.0,6.0,1.0,2.0,9.0
,Padraig Harrington,padraig harrington,2026-06-11,RBC Canadian Open,2,70.0,2.0,2.0,10.0,2.0,2.0,14.0
,Chad Ramey,chad ramey,2026-06-11,RBC Canadian Open,2,73.0,4.0,3.0,0.0,4.0,5.0,9.0
,Jordan Smith,jordan smith,2026-06-11,RBC Canadian Open,2,60.0,2.0,3.0,3.0,2.0,4.0,9.0
,Dawson Lew,dawson lew,2026-06-11,RBC Canadian Open,2,54.0,0.0,2.0,7.0,0.0,3.0,10.0
,Nick Dunlap,nick dunlap,2026-06-11,RBC Canadian Open,2,70.0,3.0,3.0,6.0,3.0,3.0,12.0
,Alex Noren,alex noren,2026-06-11,RBC Canadian Open,2,70.0,2.0,5.0,1.0,2.0,6.0,9.0
,Steven Fisk,steven fisk,2026-06-11,RBC Canadian Open,2,71.0,2.0,4.0,1.0,2.0,6.0,9.0
,Cam Davis,cam davis,2026-06-11,RBC Canadian Open,2,72.0,2.0,1.0,6.0,2.0,3.0,11.0
,Mike Weir,mike weir,2026-06-11,RBC Canadian Open,2,77.0,1.0,4.0,4.0,1.0,6.0,11.0
,Ben James,ben james,2026-06-11,RBC Canadian Open,1,67.0,2.0,1.0,10.0,2.0,2.0,14.0
,Ryan Fox,ryan fox,2026-06-11,RBC Canadian Open,1,66.0,5.0,1.0,6.0,5.0,1.0,12.0
,Haotong Li,haotong li,2026-06-11,RBC Canadian Open,1,67.0,5.0,2.0,4.0,5.0,2.0,11.0
,Emiliano Grillo,emiliano grillo,2026-06-11,RBC Canadian Open,1,64.0,7.0,1.0,2.0,7.0,1.0,10.0
,Alejandro Tosti,alejandro tosti,2026-06-11,RBC Canadian Open,1,66.0,6.0,2.0,2.0,6.0,2.0,10.0
,Robert MacIntyre,robert macintyre,2026-06-11,RBC Canadian Open,1,68.0,2.0,0.0,14.0,2.0,0.0,16.0
,Harry Hall,harry hall,2026-06-11,RBC Canadian Open,1,66.0,5.0,1.0,6.0,5.0,1.0,12.0
,Austin Eckroat,austin eckroat,2026-06-11,RBC Canadian Open,1,67.0,5.0,2.0,4.0,5.0,2.0,11.0
,Jackson Suber,jackson suber,2026-06-11,RBC Canadian Open,1,66.0,6.0,2.0,2.0,6.0,2.0,10.0
,Jesper Svensson,jesper svensson,2026-06-11,RBC Canadian Open,1,66.0,5.0,1.0,6.0,5.0,1.0,12.0
,Matthew Anderson,matthew anderson,2026-06-11,RBC Canadian Open,1,64.0,6.0,0.0,6.0,6.0,0.0,12.0
,Sahith Theegala,sahith theegala,2026-06-11,RBC Canadian Open,1,64.0,7.0,1.0,2.0,7.0,1.0,10.0
,Aldrich Potgieter,aldrich potgieter,2026-06-11,RBC Canadian Open,1,66.0,5.0,1.0,6.0,5.0,1.0,12.0
,Shane Lowry,shane lowry,2026-06-11,RBC Canadian Open,1,65.0,5.0,0.0,8.0,5.0,0.0,13.0
,Doug Ghim,doug ghim,2026-06-11,RBC Canadian Open,1,65.0,5.0,0.0,8.0,5.0,0.0,13.0
,Chandler Blanchet,chandler blanchet,2026-06-11,RBC Canadian Open,1,65.0,7.0,2.0,0.0,7.0,2.0,9.0
,Patrick Fishburn,patrick fishburn,2026-06-11,RBC Canadian Open,1,65.0,6.0,1.0,4.0,6.0,1.0,11.0
,Sam Ryder,sam ryder,2026-06-11,RBC Canadian Open,1,65.0,5.0,0.0,8.0,5.0,0.0,13.0
,Ricky Castillo,ricky castillo,2026-06-11,RBC Canadian Open,1,65.0,5.0,2.0,2.0,5.0,3.0,10.0
,Brice Garnett,brice garnett,2026-06-11,RBC Canadian Open,1,65.0,7.0,0.0,2.0,7.0,1.0,10.0
,Adam Svensson,adam svensson,2026-06-11,RBC Canadian Open,1,65.0,5.0,0.0,8.0,5.0,0.0,13.0
,David Skinns,david skinns,2026-06-11,RBC Canadian Open,1,65.0,5.0,0.0,8.0,5.0,0.0,13.0
,Erik van Rooyen,erik van rooyen,2026-06-11,RBC Canadian Open,1,65.0,6.0,1.0,4.0,6.0,1.0,11.0
,Max Homa,max homa,2026-06-11,RBC Canadian Open,1,68.0,3.0,1.0,10.0,3.0,1.0,14.0
,Chandler Phillips,chandler phillips,2026-06-11,RBC Canadian Open,1,67.0,6.0,3.0,0.0,6.0,3.0,9.0
,Alex Fitzpatrick,alex fitzpatrick,2026-06-11,RBC Canadian Open,1,68.0,4.0,0.0,8.0,4.0,1.0,13.0
,Danny Willett,danny willett,2026-06-11,RBC Canadian Open,1,66.0,3.0,1.0,8.0,3.0,2.0,13.0
,Matt Wallace,matt wallace,2026-06-11,RBC Canadian Open,1,66.0,5.0,1.0,2.0,5.0,3.0,10.0
,Max McGreevy,max mcgreevy,2026-06-11,RBC Canadian Open,1,66.0,5.0,1.0,6.0,5.0,1.0,12.0
,Taylor Pendrith,taylor pendrith,2026-06-11,RBC Canadian Open,1,66.0,7.0,1.0,0.0,7.0,2.0,9.0
,Adam Hadwin,adam hadwin,2026-06-11,RBC Canadian Open,1,69.0,4.0,3.0,4.0,4.0,3.0,11.0
,Christiaan Bezuidenhout,christiaan bezuidenhout,2026-06-11,RBC Canadian Open,1,67.0,4.0,1.0,4.0,4.0,3.0,11.0
,Michael Thorbjornsen,michael thorbjornsen,2026-06-11,RBC Canadian Open,1,69.0,4.0,3.0,4.0,4.0,3.0,11.0
,Wyndham Clark,wyndham clark,2026-06-11,RBC Canadian Open,1,68.0,3.0,1.0,10.0,3.0,1.0,14.0
,Tom Kim,tom kim,2026-06-11,RBC Canadian Open,1,67.0,4.0,1.0,8.0,4.0,1.0,13.0
,Paul Peterson,paul peterson,2026-06-11,RBC Canadian Open,1,67.0,3.0,0.0,12.0,3.0,0.0,15.0
,Matti Schmid,matti schmid,2026-06-11,RBC Canadian Open,1,67.0,5.0,2.0,4.0,5.0,2.0,11.0
,Garrick Higgo,garrick higgo,2026-06-11,RBC Canadian Open,1,67.0,5.0,0.0,6.0,5.0,1.0,12.0
,Tommy Fleetwood,tommy fleetwood,2026-06-11,RBC Canadian Open,1,67.0,6.0,3.0,0.0,6.0,3.0,9.0
,Matt Fitzpatrick,matt fitzpatrick,2026-06-11,RBC Canadian Open,1,67.0,5.0,2.0,4.0,5.0,2.0,11.0
,Matthieu Pavon,matthieu pavon,2026-06-11,RBC Canadian Open,1,67.0,6.0,3.0,0.0,6.0,3.0,9.0
,Vince Whaley,vince whaley,2026-06-11,RBC Canadian Open,1,67.0,4.0,1.0,8.0,4.0,1.0,13.0
,Nick Taylor,nick taylor,2026-06-11,RBC Canadian Open,1,67.0,5.0,2.0,4.0,5.0,2.0,11.0
,Kristoffer Reitan,kristoffer reitan,2026-06-11,RBC Canadian Open,1,68.0,5.0,3.0,2.0,5.0,3.0,10.0
,Ben Kohles,ben kohles,2026-06-11,RBC Canadian Open,1,67.0,4.0,1.0,8.0,4.0,1.0,13.0
,Neal Shipley,neal shipley,2026-06-11,RBC Canadian Open,1,68.0,3.0,1.0,10.0,3.0,1.0,14.0
,Declan O'Donovan,declan o'donovan,2026-06-11,RBC Canadian Open,1,70.0,1.0,3.0,8.0,1.0,4.0,13.0
,Ben Silverman,ben silverman,2026-06-11,RBC Canadian Open,1,68.0,4.0,2.0,6.0,4.0,2.0,12.0
,Dylan Wu,dylan wu,2026-06-11,RBC Canadian Open,1,68.0,4.0,2.0,6.0,4.0,2.0,12.0
,Roger Sloan,roger sloan,2026-06-11,RBC Canadian Open,1,68.0,4.0,2.0,6.0,4.0,2.0,12.0
,Takumi Kanaya,takumi kanaya,2026-06-11,RBC Canadian Open,1,68.0,6.0,2.0,0.0,6.0,3.0,9.0
,William Mouw,william mouw,2026-06-11,RBC Canadian Open,1,68.0,4.0,2.0,6.0,4.0,2.0,12.0
,Viktor Hovland,viktor hovland,2026-06-11,RBC Canadian Open,1,68.0,4.0,2.0,6.0,4.0,2.0,12.0
,Davis Thompson,davis thompson,2026-06-11,RBC Canadian Open,1,68.0,5.0,3.0,2.0,5.0,3.0,10.0
,Camilo Villegas,camilo villegas,2026-06-11,RBC Canadian Open,1,68.0,4.0,2.0,6.0,4.0,2.0,12.0
,Lanto Griffin,lanto griffin,2026-06-11,RBC Canadian Open,1,68.0,3.0,3.0,4.0,3.0,4.0,11.0
,Beau Hossler,beau hossler,2026-06-11,RBC Canadian Open,1,68.0,5.0,3.0,2.0,5.0,3.0,10.0
,Eric Zhao,eric zhao,2026-06-11,RBC Canadian Open,1,68.0,4.0,2.0,6.0,4.0,2.0,12.0
,Séamus Power,seamus power,2026-06-11,RBC Canadian Open,1,71.0,3.0,1.0,9.0,3.0,1.0,13.0
,Tom Hoge,tom hoge,2026-06-11,RBC Canadian Open,1,70.0,2.0,2.0,10.0,2.0,2.0,14.0
,Keita Nakajima,keita nakajima,2026-06-11,RBC Canadian Open,1,71.0,2.0,3.0,8.0,2.0,3.0,13.0
,David Lipsky,david lipsky,2026-06-11,RBC Canadian Open,1,69.0,3.0,2.0,8.0,3.0,2.0,13.0
,Rasmus Neergaard-Petersen,rasmus neergaard-petersen,2026-06-11,RBC Canadian Open,1,69.0,5.0,4.0,0.0,5.0,4.0,9.0
,Justin Matthews,justin matthews,2026-06-11,RBC Canadian Open,1,67.0,5.0,2.0,4.0,5.0,2.0,11.0
,Mac Meissner,mac meissner,2026-06-11,RBC Canadian Open,1,69.0,4.0,3.0,4.0,4.0,3.0,11.0
,Peter Malnati,peter malnati,2026-06-11,RBC Canadian Open,1,69.0,4.0,3.0,4.0,4.0,3.0,11.0
,Aaron Rai,aaron rai,2026-06-11,RBC Canadian Open,1,69.0,4.0,3.0,4.0,4.0,3.0,11.0
,Karl Vilips,karl vilips,2026-06-11,RBC Canadian Open,1,69.0,2.0,1.0,12.0,2.0,1.0,15.0
,Sudarshan Yellamaraju,sudarshan yellamaraju,2026-06-11,RBC Canadian Open,1,69.0,5.0,4.0,0.0,5.0,4.0,9.0
,Lucas Glover,lucas glover,2026-06-11,RBC Canadian Open,1,69.0,4.0,3.0,4.0,4.0,3.0,11.0
,Bud Cauley,bud cauley,2026-06-11,RBC Canadian Open,1,69.0,3.0,2.0,8.0,3.0,2.0,13.0
,Denny McCarthy,denny mccarthy,2026-06-11,RBC Canadian Open,1,69.0,4.0,1.0,6.0,4.0,2.0,12.0
,Max Greyserman,max greyserman,2026-06-11,RBC Canadian Open,1,69.0,5.0,1.0,5.0,5.0,1.0,11.0
,Zach Bauchou,zach bauchou,2026-06-11,RBC Canadian Open,1,69.0,2.0,1.0,12.0,2.0,1.0,15.0
,Joey Savoie,joey savoie,2026-06-11,RBC Canadian Open,1,69.0,4.0,3.0,4.0,4.0,3.0,11.0
,Kensei Hirata,kensei hirata,2026-06-11,RBC Canadian Open,1,69.0,3.0,0.0,10.0,3.0,1.0,14.0
,A.J. Ewart,a j ewart,2026-06-11,RBC Canadian Open,1,69.0,5.0,4.0,0.0,5.0,4.0,9.0
,Luke Clanton,luke clanton,2026-06-11,RBC Canadian Open,1,69.0,5.0,2.0,2.0,5.0,3.0,10.0
,Kris Ventura,kris ventura,2026-06-11,RBC Canadian Open,1,69.0,4.0,3.0,4.0,4.0,3.0,11.0
,Jhonattan Vegas,jhonattan vegas,2026-06-11,RBC Canadian Open,1,67.0,3.0,0.0,12.0,3.0,0.0,15.0
,Eric Cole,eric cole,2026-06-11,RBC Canadian Open,1,64.0,7.0,1.0,2.0,7.0,1.0,10.0
,Davis Chatfield,davis chatfield,2026-06-11,RBC Canadian Open,1,70.0,4.0,4.0,2.0,4.0,4.0,10.0
,Vince Covello,vince covello,2026-06-11,RBC Canadian Open,1,69.0,3.0,2.0,8.0,3.0,2.0,13.0
,Kevin Roy,kevin roy,2026-06-11,RBC Canadian Open,1,70.0,3.0,3.0,6.0,3.0,3.0,12.0
,Hank Lebioda,hank lebioda,2026-06-11,RBC Canadian Open,1,70.0,3.0,3.0,6.0,3.0,3.0,12.0
,Collin Morikawa,collin morikawa,2026-06-11,RBC Canadian Open,1,70.0,4.0,4.0,2.0,4.0,4.0,10.0
,Michael Brennan,michael brennan,2026-06-11,RBC Canadian Open,1,70.0,4.0,4.0,2.0,4.0,4.0,10.0
,Joe Highsmith,joe highsmith,2026-06-11,RBC Canadian Open,1,70.0,3.0,3.0,6.0,3.0,3.0,12.0
,Jacob Bridgeman,jacob bridgeman,2026-06-11,RBC Canadian Open,1,70.0,4.0,4.0,2.0,4.0,4.0,10.0
,Ashton McCulloch,ashton mcculloch,2026-06-11,RBC Canadian Open,1,70.0,4.0,4.0,2.0,4.0,4.0,10.0
,Calen Sanderson,calen sanderson,2026-06-11,RBC Canadian Open,1,70.0,1.0,1.0,14.0,1.0,1.0,16.0
,Ben Martin,ben martin,2026-06-11,RBC Canadian Open,1,73.0,2.0,3.0,6.0,2.0,4.0,12.0
,Rico Hoey,rico hoey,2026-06-11,RBC Canadian Open,1,67.0,5.0,2.0,4.0,5.0,2.0,11.0
,John Parry,john parry,2026-06-11,RBC Canadian Open,1,71.0,3.0,4.0,4.0,3.0,4.0,11.0
,Marcelo Rozo,marcelo rozo,2026-06-11,RBC Canadian Open,1,70.0,3.0,3.0,6.0,3.0,3.0,12.0
,Trace Crowe,trace crowe,2026-06-11,RBC Canadian Open,1,67.0,4.0,3.0,2.0,4.0,4.0,10.0
,Jeremy Paul,jeremy paul,2026-06-11,RBC Canadian Open,1,70.0,2.0,2.0,10.0,2.0,2.0,14.0
,Justin Lower,justin lower,2026-06-11,RBC Canadian Open,1,71.0,2.0,1.0,10.0,2.0,2.0,14.0
,Austin Smotherman,austin smotherman,2026-06-11,RBC Canadian Open,1,71.0,3.0,2.0,6.0,3.0,3.0,12.0
,Rafael Campos,rafael campos,2026-06-11,RBC Canadian Open,1,71.0,4.0,2.0,5.0,4.0,2.0,11.0
,Corey Conners,corey conners,2026-06-11,RBC Canadian Open,1,71.0,2.0,3.0,8.0,2.0,3.0,13.0
,Chris Kirk,chris kirk,2026-06-11,RBC Canadian Open,1,71.0,3.0,4.0,4.0,3.0,4.0,11.0
,Thorbjørn Olesen,thorbjrn olesen,2026-06-11,RBC Canadian Open,1,71.0,1.0,2.0,12.0,1.0,2.0,15.0
,Laurent Desmarchais,laurent desmarchais,2026-06-11,RBC Canadian Open,1,71.0,4.0,5.0,0.0,4.0,5.0,9.0
,Hayden Springer,hayden springer,2026-06-11,RBC Canadian Open,1,71.0,2.0,5.0,2.0,2.0,6.0,10.0
,Mackenzie Hughes,mackenzie hughes,2026-06-11,RBC Canadian Open,1,69.0,3.0,2.0,8.0,3.0,2.0,13.0
,Brian Campbell,brian campbell,2026-06-11,RBC Canadian Open,1,72.0,3.0,3.0,4.0,3.0,4.0,11.0
,Adam Schenk,adam schenk,2026-06-11,RBC Canadian Open,1,67.0,5.0,0.0,6.0,5.0,1.0,12.0
,Nicolai Højgaard,nicolai hjgaard,2026-06-11,RBC Canadian Open,1,69.0,3.0,2.0,8.0,3.0,2.0,13.0
,Sean O'Hair,sean o'hair,2026-06-11,RBC Canadian Open,1,70.0,4.0,4.0,2.0,4.0,4.0,10.0
,Adrien Dumont de Chassart,adrien dumont de chassart,2026-06-11,RBC Canadian Open,1,71.0,3.0,3.0,3.0,3.0,4.0,10.0
,Christo Lamprecht,christo lamprecht,2026-06-11,RBC Canadian Open,1,69.0,2.0,1.0,8.0,2.0,3.0,13.0
,Lee Hodges,lee hodges,2026-06-11,RBC Canadian Open,1,72.0,4.0,4.0,0.0,4.0,5.0,9.0
,Zecheng Dou,zecheng dou,2026-06-11,RBC Canadian Open,1,72.0,2.0,2.0,8.0,2.0,3.0,13.0
,Padraig Harrington,padraig harrington,2026-06-11,RBC Canadian Open,1,73.0,5.0,1.0,1.0,5.0,3.0,9.0
,Chad Ramey,chad ramey,2026-06-11,RBC Canadian Open,1,70.0,4.0,4.0,2.0,4.0,4.0,10.0
,Jordan Smith,jordan smith,2026-06-11,RBC Canadian Open,1,70.0,2.0,2.0,10.0,2.0,2.0,14.0
,Stephan Jaeger,stephan jaeger,2026-06-11,RBC Canadian Open,1,73.0,2.0,1.0,11.0,2.0,1.0,14.0
,Pontus Nyholm,pontus nyholm,2026-06-11,RBC Canadian Open,1,73.0,2.0,3.0,6.0,2.0,4.0,12.0
,Dawson Lew,dawson lew,2026-06-11,RBC Canadian Open,1,70.0,4.0,4.0,2.0,4.0,4.0,10.0
,Jeevan Sihota,jeevan sihota,2026-06-11,RBC Canadian Open,1,71.0,4.0,3.0,2.0,4.0,4.0,10.0
,Yohann Benson,yohann benson,2026-06-11,RBC Canadian Open,1,74.0,2.0,4.0,4.0,2.0,5.0,11.0
,Nick Dunlap,nick dunlap,2026-06-11,RBC Canadian Open,1,75.0,1.0,2.0,8.0,1.0,4.0,13.0
,Alex Noren,alex noren,2026-06-11,RBC Canadian Open,1,70.0,3.0,3.0,6.0,3.0,3.0,12.0
,Steven Fisk,steven fisk,2026-06-11,RBC Canadian Open,1,69.0,5.0,4.0,0.0,5.0,4.0,9.0
,Cam Davis,cam davis,2026-06-11,RBC Canadian Open,1,68.0,4.0,2.0,6.0,4.0,2.0,12.0
,Patton Kizzire,patton kizzire,2026-06-11,RBC Canadian Open,1,70.0,4.0,4.0,2.0,4.0,4.0,10.0
,Drew Nesbitt,drew nesbitt,2026-06-11,RBC Canadian Open,1,70.0,3.0,3.0,6.0,3.0,3.0,12.0
,Charley Hoffman,charley hoffman,2026-06-11,RBC Canadian Open,1,76.0,1.0,2.0,9.0,1.0,3.0,13.0
,Mike Weir,mike weir,2026-06-11,RBC Canadian Open,1,70.0,3.0,3.0,6.0,3.0,3.0,12.0
,John VanDerLaan,john vanderlaan,2026-06-11,RBC Canadian Open,1,73.0,2.0,1.0,8.0,2.0,3.0,13.0
,J.T. Poston,j t poston,2026-06-04,the Memorial Tournament pres. by Workday,4,72.0,4.0,4.0,2.0,4.0,4.0,10.0
,Ryan Gerard,ryan gerard,2026-06-04,the Memorial Tournament pres. by Workday,4,68.0,5.0,1.0,6.0,5.0,1.0,12.0
,Wyndham Clark,wyndham clark,2026-06-04,the Memorial Tournament pres. by Workday,4,67.0,6.0,1.0,4.0,6.0,1.0,11.0
,Tommy Fleetwood,tommy fleetwood,2026-06-04,the Memorial Tournament pres. by Workday,4,68.0,3.0,1.0,8.0,3.0,2.0,13.0
,Sam Burns,sam burns,2026-06-04,the Memorial Tournament pres. by Workday,4,69.0,4.0,1.0,8.0,4.0,1.0,13.0
,Kristoffer Reitan,kristoffer reitan,2026-06-04,the Memorial Tournament pres. by Workday,4,65.0,7.0,0.0,4.0,7.0,0.0,11.0
,Alex Fitzpatrick,alex fitzpatrick,2026-06-04,the Memorial Tournament pres. by Workday,4,65.0,8.0,1.0,0.0,8.0,1.0,9.0
,Alex Noren,alex noren,2026-06-04,the Memorial Tournament pres. by Workday,4,70.0,5.0,3.0,2.0,5.0,3.0,10.0
,Si Woo Kim,si woo kim,2026-06-04,the Memorial Tournament pres. by Workday,4,66.0,5.0,1.0,4.0,5.0,2.0,11.0
,Maverick McNealy,maverick mcnealy,2026-06-04,the Memorial Tournament pres. by Workday,4,71.0,4.0,3.0,4.0,4.0,3.0,11.0
,Adam Scott,adam scott,2026-06-04,the Memorial Tournament pres. by Workday,4,66.0,5.0,1.0,4.0,5.0,2.0,11.0
,Rory McIlroy,rory mcilroy,2026-06-04,the Memorial Tournament pres. by Workday,4,68.0,6.0,2.0,2.0,6.0,2.0,10.0
,Justin Rose,justin rose,2026-06-04,the Memorial Tournament pres. by Workday,4,71.0,4.0,3.0,4.0,4.0,3.0,11.0
,Scottie Scheffler,scottie scheffler,2026-06-04,the Memorial Tournament pres. by Workday,4,71.0,2.0,1.0,12.0,2.0,1.0,15.0
,J.J. Spaun,j j spaun,2026-06-04,the Memorial Tournament pres. by Workday,4,72.0,5.0,3.0,0.0,5.0,4.0,9.0
,Patrick Cantlay,patrick cantlay,2026-06-04,the Memorial Tournament pres. by Workday,4,67.0,6.0,1.0,4.0,6.0,1.0,11.0
,Harris English,harris english,2026-06-04,the Memorial Tournament pres. by Workday,4,69.0,5.0,2.0,4.0,5.0,2.0,11.0
,Justin Thomas,justin thomas,2026-06-04,the Memorial Tournament pres. by Workday,4,65.0,8.0,1.0,0.0,8.0,1.0,9.0
,Aaron Rai,aaron rai,2026-06-04,the Memorial Tournament pres. by Workday,4,70.0,3.0,3.0,4.0,3.0,4.0,11.0
,Keegan Bradley,keegan bradley,2026-06-04,the Memorial Tournament pres. by Workday,4,73.0,3.0,4.0,4.0,3.0,4.0,11.0
,Russell Henley,russell henley,2026-06-04,the Memorial Tournament pres. by Workday,4,68.0,5.0,3.0,0.0,5.0,4.0,9.0
,Bud Cauley,bud cauley,2026-06-04,the Memorial Tournament pres. by Workday,4,69.0,4.0,1.0,8.0,4.0,1.0,13.0
,Matt Kuchar,matt kuchar,2026-06-04,the Memorial Tournament pres. by Workday,4,69.0,6.0,3.0,0.0,6.0,3.0,9.0
,Kurt Kitayama,kurt kitayama,2026-06-04,the Memorial Tournament pres. by Workday,4,72.0,2.0,2.0,10.0,2.0,2.0,14.0
,Shane Lowry,shane lowry,2026-06-04,the Memorial Tournament pres. by Workday,4,73.0,2.0,5.0,2.0,2.0,6.0,10.0
,Ryan Fox,ryan fox,2026-06-04,the Memorial Tournament pres. by Workday,4,70.0,6.0,2.0,0.0,6.0,3.0,9.0
,Xander Schauffele,xander schauffele,2026-06-04,the Memorial Tournament pres. by Workday,4,73.0,3.0,4.0,4.0,3.0,4.0,11.0
,Harry Hall,harry hall,2026-06-04,the Memorial Tournament pres. by Workday,4,74.0,2.0,2.0,8.0,2.0,3.0,13.0
,Sungjae Im,sungjae im,2026-06-04,the Memorial Tournament pres. by Workday,4,73.0,3.0,4.0,4.0,3.0,4.0,11.0
,Sahith Theegala,sahith theegala,2026-06-04,the Memorial Tournament pres. by Workday,4,73.0,4.0,5.0,0.0,4.0,5.0,9.0
,Denny McCarthy,denny mccarthy,2026-06-04,the Memorial Tournament pres. by Workday,4,69.0,4.0,3.0,2.0,4.0,4.0,10.0
,Jacob Bridgeman,jacob bridgeman,2026-06-04,the Memorial Tournament pres. by Workday,4,69.0,5.0,2.0,4.0,5.0,2.0,11.0
,Brandt Snedeker,brandt snedeker,2026-06-04,the Memorial Tournament pres. by Workday,4,69.0,5.0,2.0,4.0,5.0,2.0,11.0
,Matt Fitzpatrick,matt fitzpatrick,2026-06-04,the Memorial Tournament pres. by Workday,4,73.0,1.0,2.0,12.0,1.0,2.0,15.0
,Nico Echavarria,nico echavarria,2026-06-04,the Memorial Tournament pres. by Workday,4,71.0,4.0,3.0,4.0,4.0,3.0,11.0
,Sudarshan Yellamaraju,sudarshan yellamaraju,2026-06-04,the Memorial Tournament pres. by Workday,4,72.0,4.0,2.0,4.0,4.0,3.0,11.0
,Sepp Straka,sepp straka,2026-06-04,the Memorial Tournament pres. by Workday,4,73.0,4.0,5.0,0.0,4.0,5.0,9.0
,Nick Taylor,nick taylor,2026-06-04,the Memorial Tournament pres. by Workday,4,76.0,2.0,4.0,4.0,2.0,5.0,11.0
,Mac Meissner,mac meissner,2026-06-04,the Memorial Tournament pres. by Workday,4,72.0,2.0,4.0,4.0,2.0,5.0,11.0
,Cameron Young,cameron young,2026-06-04,the Memorial Tournament pres. by Workday,4,73.0,3.0,4.0,4.0,3.0,4.0,11.0
