projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,delta_pct,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,hit_rate_over_L5,over_L5,under_L5,sample_L5,hit_rate_over_L10,over_L10,under_L10,sample_L10,hit_rate_over_L20,over_L20,under_L20,sample_L20,hit_rate_over_season,sample_season,composite_hit_rate,recommended_side,edge,position_code,position_group,scoring_tier,pp_tier,pts_per_game,goals_per_game,pp_pts_per_game,toi_per_game_api
11792344,219290,J.J. Moser,TB,D,Time On Ice,21.5,21.5,standard,False,MTL,,,2026-05-01T19:00:00.000-04:00,155677,2026-05-01T15:00:23Z,1.0,time_on_ice,SKATER,MTL,0,8482655,False,,3.309,0.0,0.0,3.485,0.0,0.0,68.0,25.0,WEAK,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.4,2,3,5,0.4,4,6,10,0.4,8,12,20,0.4,30,0.4,UNDER,0.1,D,D,DEPTH,NO_PP,0.367,0.089,0.013,21.57
11792346,218322,Nick Suzuki,MTL,F,Time On Ice,21.25,21.25,standard,False,TB,,,2026-05-01T19:00:00.000-04:00,155677,2026-05-01T15:00:23Z,1.0,time_on_ice,SKATER,TB,0,8480018,False,,2.776,0.0,0.0,3.627,0.0,0.0,67.0,3.0,ELITE,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.4,2,3,5,0.4,4,6,10,0.45,9,11,20,0.4333,30,0.4108,UNDER,0.0892,C,F,ELITE,PP1_STAR,1.232,0.354,0.524,20.82
11792408,218322,Nick Suzuki,MTL,F,Faceoffs Won,10.0,10.0,standard,False,TB,,,2026-05-01T19:00:00.000-04:00,155677,2026-05-01T15:00:23Z,1.0,faceoffs_won,SKATER,TB,0,8480018,False,,2.776,0.0,0.0,3.627,0.0,0.0,67.0,3.0,ELITE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,C,F,ELITE,PP1_STAR,1.232,0.354,0.524,20.82
11792409,218705,Anthony Cirelli,TB,F,Faceoffs Won,9.5,9.5,standard,False,MTL,,,2026-05-01T19:00:00.000-04:00,155677,2026-05-01T15:00:23Z,1.0,faceoffs_won,SKATER,MTL,0,8478519,False,,3.309,0.0,0.0,3.485,0.0,0.0,68.0,25.0,WEAK,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,C,F,SECONDARY,PP_OCC,0.732,0.324,0.056,17.32
11798678,218435,Andrei Vasilevskiy,TB,G,Goalie Fantasy Score,9.5,9.5,standard,False,MTL,,,2026-05-01T19:00:00.000-04:00,155677,2026-05-01T15:00:23Z,1.0,goalie_fantasy_score,GOALIE,MTL,0,8476883,False,,3.309,0.0,0.0,3.485,0.0,0.0,68.0,25.0,WEAK,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,G,G,GOALIE,N/A,0.0,0.0,0.0,
11798677,223068,Jakub Dobes,MTL,G,Goalie Fantasy Score,9.0,9.0,standard,False,TB,,,2026-05-01T19:00:00.000-04:00,155677,2026-05-01T15:00:23Z,1.0,goalie_fantasy_score,GOALIE,TB,0,8482487,False,,2.776,0.0,0.0,3.627,0.0,0.0,67.0,3.0,ELITE,,,,,,,,,,,,,,,,,,,,,,UNSUPPORTED_PROP,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,G,G,GOALIE,N/A,0.0,0.0,0.0,
11792410,88751,Jake Evans,MTL,F,Faceoffs Won,7.0,7.0,standard,False,TB,,,2026-05-01T19:00:00.000-04:00,155677,2026-05-01T15:00:23Z,1.0,faceoffs_won,SKATER,TB,0,8478133,False,,2.776,0.0,0.0,3.627,0.0,0.0,67.0,3.0,ELITE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,C,F,DEPTH,NO_PP,0.353,0.176,0.0,15.35
11792411,287948,Phillip Danault,MTL,F,Faceoffs Won,5.5,5.5,standard,False,TB,,,2026-05-01T19:00:00.000-04:00,155677,2026-05-01T15:00:23Z,1.0,faceoffs_won,SKATER,TB,0,8476479,False,,2.776,0.0,0.0,3.627,0.0,0.0,67.0,3.0,ELITE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,C,F,DEPTH,NO_PP,0.267,0.133,0.0,15.07
11792412,57951,Brayden Point,TB,F,Faceoffs Won,4.5,,demon,False,MTL,,,2026-05-01T19:00:00.000-04:00,155677,2026-05-01T15:00:23Z,,faceoffs_won,SKATER,MTL,0,8478010,False,,3.309,0.0,0.0,3.485,0.0,0.0,68.0,25.0,WEAK,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,OVER,-0.5,C,F,SECONDARY,PP_OCC,0.794,0.286,0.175,18.25
11792838,218293,Arber Xhekaj,MTL,D,Hits,4.0,4.0,standard,False,TB,,,2026-05-01T19:00:00.000-04:00,155677,2026-05-01T15:00:23Z,1.0,hits,SKATER,TB,0,8482964,False,,2.776,0.0,0.0,3.627,0.0,0.0,67.0,3.0,ELITE,,,,,,,,,,,,,,,,,,,,,,NO_DATA,0.0,0,5,5,0.0,0,10,10,0.0,0,20,20,0.0,30,0.0,UNDER,0.5,D,D,SHUTDOWN,NO_PP,0.062,0.015,0.0,11.42
