projection_id,player_id,player_name,team,position,stat_type,line_score,standard_line,pick_type,is_promo,description,away_team,home_team,game_start,game_id,fetched_at,delta_pct,stat_norm,player_role,opponent,is_home,nhl_player_id,combo_prop,combo_player_ids,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_gp,def_rank,def_tier
11473041,269472,Oskar Back,DAL,F,Points,0.5,,demon,False,MIN,MIN,DAL,2026-04-18T17:30:00.000-04:00,152644,2026-04-17T13:00:11Z,,points,SKATER,MIN,1,8480840,False,,2.871,0.0,0.0,3.3,0.0,0.0,70.0,6.0,ELITE
11473043,58673,Radek Faksa,DAL,F,Assists,0.5,,demon,False,MIN,MIN,DAL,2026-04-18T17:30:00.000-04:00,152644,2026-04-17T13:00:11Z,,assists,SKATER,MIN,1,8476889,False,,2.871,0.0,0.0,3.3,0.0,0.0,70.0,6.0,ELITE
11473044,58673,Radek Faksa,DAL,F,Points,0.5,,demon,False,MIN,MIN,DAL,2026-04-18T17:30:00.000-04:00,152644,2026-04-17T13:00:11Z,,points,SKATER,MIN,1,8476889,False,,2.871,0.0,0.0,3.3,0.0,0.0,70.0,6.0,ELITE
11473047,305576,Tyler Myers,DAL,D,Assists,0.5,,demon,False,MIN,MIN,DAL,2026-04-18T17:30:00.000-04:00,152644,2026-04-17T13:00:11Z,,assists,SKATER,MIN,1,8474574,False,,2.871,0.0,0.0,3.3,0.0,0.0,70.0,6.0,ELITE
11473048,305576,Tyler Myers,DAL,D,Points,0.5,,demon,False,MIN,MIN,DAL,2026-04-18T17:30:00.000-04:00,152644,2026-04-17T13:00:11Z,,points,SKATER,MIN,1,8474574,False,,2.871,0.0,0.0,3.3,0.0,0.0,70.0,6.0,ELITE
11473053,226491,Yakov Trenin,MIN,F,Assists,0.5,,demon,False,DAL,MIN,DAL,2026-04-18T17:30:00.000-04:00,152644,2026-04-17T13:00:11Z,,assists,SKATER,DAL,0,8478508,False,,2.721,0.0,0.0,3.485,0.0,0.0,68.0,2.0,ELITE
11473054,226491,Yakov Trenin,MIN,F,Points,0.5,,demon,False,DAL,MIN,DAL,2026-04-18T17:30:00.000-04:00,152644,2026-04-17T13:00:11Z,,points,SKATER,DAL,0,8478508,False,,2.721,0.0,0.0,3.485,0.0,0.0,68.0,2.0,ELITE
11473059,267838,Ben Kindel,PIT,F,Assists,0.5,,demon,False,PHI,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,assists,SKATER,PHI,1,8485414,False,,3.088,0.0,0.0,2.912,0.0,0.0,68.0,14.0,SOLID
11473060,267838,Ben Kindel,PIT,F,Points,0.5,,demon,False,PHI,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,points,SKATER,PHI,1,8485414,False,,3.088,0.0,0.0,2.912,0.0,0.0,68.0,14.0,SOLID
11473062,267620,Blake Lizotte,PIT,F,Assists,0.5,,demon,False,PHI,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,assists,SKATER,PHI,1,8481481,False,,3.088,0.0,0.0,2.912,0.0,0.0,68.0,14.0,SOLID
11473063,267620,Blake Lizotte,PIT,F,Points,0.5,,demon,False,PHI,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,points,SKATER,PHI,1,8481481,False,,3.088,0.0,0.0,2.912,0.0,0.0,68.0,14.0,SOLID
11473067,93845,Cam York,PHI,D,Assists,0.5,,demon,False,PIT,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,assists,SKATER,PIT,0,8481546,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID
11473068,93845,Cam York,PHI,D,Points,0.5,,demon,False,PIT,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,points,SKATER,PIT,0,8481546,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID
11473070,273779,Connor Clifton,PIT,D,Assists,0.5,,demon,False,PHI,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,assists,SKATER,PHI,1,8477365,False,,3.088,0.0,0.0,2.912,0.0,0.0,68.0,14.0,SOLID
11473071,273779,Connor Clifton,PIT,D,Points,0.5,,demon,False,PHI,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,points,SKATER,PHI,1,8477365,False,,3.088,0.0,0.0,2.912,0.0,0.0,68.0,14.0,SOLID
11473072,267623,Connor Dewar,PIT,F,Assists,0.5,,demon,False,PHI,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,assists,SKATER,PHI,1,8480980,False,,3.088,0.0,0.0,2.912,0.0,0.0,68.0,14.0,SOLID
11473073,267623,Connor Dewar,PIT,F,Points,0.5,,demon,False,PHI,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,points,SKATER,PHI,1,8480980,False,,3.088,0.0,0.0,2.912,0.0,0.0,68.0,14.0,SOLID
11473074,287617,Denver Barkey,PHI,F,Assists,0.5,,demon,False,PIT,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,assists,SKATER,PIT,0,8484142,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID
11473075,287617,Denver Barkey,PHI,F,Points,0.5,,demon,False,PIT,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,points,SKATER,PIT,0,8484142,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID
11473076,305205,Elmer Soderblom,PIT,F,Assists,0.5,,demon,False,PHI,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,assists,SKATER,PHI,1,8481725,False,,3.088,0.0,0.0,2.912,0.0,0.0,68.0,14.0,SOLID
11473077,305205,Elmer Soderblom,PIT,F,Points,0.5,,demon,False,PHI,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,points,SKATER,PHI,1,8481725,False,,3.088,0.0,0.0,2.912,0.0,0.0,68.0,14.0,SOLID
11473078,274035,Emil Andrae,PHI,D,Assists,0.5,,demon,False,PIT,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,assists,SKATER,PIT,0,8482126,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID
11473079,274035,Emil Andrae,PHI,D,Points,0.5,,demon,False,PIT,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,points,SKATER,PIT,0,8482126,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID
11473084,218297,Garnet Hathaway,PHI,F,Assists,0.5,,demon,False,PIT,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,assists,SKATER,PIT,0,8477903,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID
11473085,218297,Garnet Hathaway,PHI,F,Points,0.5,,demon,False,PIT,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,points,SKATER,PIT,0,8477903,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID
11473086,185311,Jamie Drysdale,PHI,D,Assists,0.5,,demon,False,PIT,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,assists,SKATER,PIT,0,8482142,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID
11473087,185311,Jamie Drysdale,PHI,D,Points,0.5,,demon,False,PIT,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,points,SKATER,PIT,0,8482142,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID
11473088,305752,Luke Glendening,PHI,F,Assists,0.5,,demon,False,PIT,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,assists,SKATER,PIT,0,8476822,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID
11473089,305752,Luke Glendening,PHI,F,Points,0.5,,demon,False,PIT,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,points,SKATER,PIT,0,8476822,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID
11473090,89321,Nick Seeler,PHI,D,Assists,0.5,,demon,False,PIT,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,assists,SKATER,PIT,0,8476372,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID
11473091,89321,Nick Seeler,PHI,D,Points,0.5,,demon,False,PIT,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,points,SKATER,PIT,0,8476372,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID
11473092,63587,Noah Cates,PHI,F,Assists,0.5,,demon,False,PIT,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,assists,SKATER,PIT,0,8480220,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID
11473093,63587,Noah Cates,PHI,F,Points,0.5,,demon,False,PIT,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,points,SKATER,PIT,0,8480220,False,,3.101,0.0,0.0,3.478,0.0,0.0,69.0,15.0,SOLID
11473094,170898,Noel Acciari,PIT,F,Assists,0.5,,demon,False,PHI,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,assists,SKATER,PHI,1,8478569,False,,3.088,0.0,0.0,2.912,0.0,0.0,68.0,14.0,SOLID
11473095,170898,Noel Acciari,PIT,F,Points,0.5,,demon,False,PHI,PHI,PIT,2026-04-18T20:00:00.000-04:00,152645,2026-04-17T13:00:11Z,,points,SKATER,PHI,1,8478569,False,,3.088,0.0,0.0,2.912,0.0,0.0,68.0,14.0,SOLID
