mlb_player_id,player,pos,player_type,team,opp_team,line,prop_type,prop_norm,pick_type,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,standard_line,deviation_level,player_name,image_url,line_score,sport,game_date,player_1,player_2,team_1,team_2,id_status,SP_ERA,WHIP,OBP_ALLOWED,ERA_RANK,WHIP_RANK,OBP_ALLOWED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,def_rank,def_tier,inningsPitched,gamesPlayed,is_combo_player
678662,Ezequiel Tovar,IF,hitter,COL,NYM,3.5,Total Bases,total_bases,Demon,11859924,11859924,127201,155588,2026-05-04T17:40:00.000-04:00,,,,3,Ezequiel Tovar,https://static.prizepicks.com/images/players/MLB/Ezequiel_Tovar_MLB_player_3IPwx2RWpwQzCCNLQB89UFta-450.webp,3.5,MLB,2026-05-04,,,,,OK,4.13,1.27,0.31,14,10,9,11.615384615384617,13,Avg,14,Avg,285.2,32.0,0
682626,Francisco Alvarez,C,hitter,NYM,COL,3.5,Total Bases,total_bases,Demon,11859940,11859940,139591,155588,2026-05-04T17:40:00.000-04:00,,,1.5,2,Francisco Alvarez,https://static.prizepicks.com/images/players/MLB/Francisco_Alvarez_MLB_player_4iF3hh29HItUz8Pc5WKHnrjq-450.webp,3.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
696100,Hunter Goodman,C,hitter,COL,NYM,3.5,Total Bases,total_bases,Demon,11859956,11859956,152439,155588,2026-05-04T17:40:00.000-04:00,,,1.5,2,Hunter Goodman,https://static.prizepicks.com/images/players/MLB/Hunter_Goodman_MLB_player_dVT1YjoNqIySmDlERNuAET8w-450.webp,3.5,MLB,2026-05-04,,,,,OK,4.13,1.27,0.31,14,10,9,11.615384615384617,13,Avg,14,Avg,285.2,32.0,0
687597,Jordan Beck,OF,hitter,COL,NYM,3.5,Total Bases,total_bases,Demon,11859973,11859973,196128,155588,2026-05-04T17:40:00.000-04:00,,,,3,Jordan Beck,https://static.prizepicks.com/images/players/MLB/Jordan_Beck_MLB_player_Z3X7kCpRe85l60eK78Z4U0qL-450.webp,3.5,MLB,2026-05-04,,,,,OK,4.13,1.27,0.31,14,10,9,11.615384615384617,13,Avg,14,Avg,285.2,32.0,0
665742,Juan Soto,OF,hitter,NYM,COL,3.5,Total Bases,total_bases,Demon,11859989,11859989,233196,155588,2026-05-04T17:40:00.000-04:00,,,1.5,2,Juan Soto,https://static.prizepicks.com/images/players/MLB/Juan_Soto_MLB_player_FXP0NspqHu0dMj9xxOpE0gA0-450.webp,3.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
669004,MJ Melendez,OF,hitter,NYM,COL,3.5,Total Bases,total_bases,Demon,11860021,11860021,314048,155588,2026-05-04T17:40:00.000-04:00,,,,3,MJ Melendez,https://static.prizepicks.com/images/players/MLB/Mervyl_Melendez_MLB_player_dEwwaraWW9hBmqbiEErVTPMg-450.webp,3.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
543760,Marcus Semien,IF,hitter,NYM,COL,3.5,Total Bases,total_bases,Demon,11860038,11860038,308577,155588,2026-05-04T17:40:00.000-04:00,,,1.5,2,Marcus Semien,https://static.prizepicks.com/images/manual/Marcus_Semien-.png,3.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
668901,Mark Vientos,IF,hitter,NYM,COL,3.5,Total Bases,total_bases,Demon,11860054,11860054,78172,155588,2026-05-04T17:40:00.000-04:00,,,,3,Mark Vientos,https://static.prizepicks.com/images/players/MLB/Mark_Vientos_MLB_player_KXnnRgIjp5F5BePieMPo7dCc-450.webp,3.5,MLB,2026-05-04,,,,,OK,4.28,1.38,0.332,18,19,20,18.76923076923077,19,Below Avg,18,Below Avg,290.1,33.0,0
608372,Tomoyuki Sugano,P,pitcher,COL,NYM,3.5,Pitcher Strikeouts,strikeouts,Standard,11860069,11860069,310787,155588,2026-05-04T17:40:00.000-04:00,,,3.5,0,Tomoyuki Sugano,https://static.prizepicks.com/images/manual/Tomoyuki_Sugano.png,3.5,MLB,2026-05-04,,,,,OK,4.13,1.27,0.31,14,10,9,11.615384615384617,13,Avg,14,Avg,285.2,32.0,0
671289,Tyler Freeman,OF,hitter,COL,NYM,3.5,Total Bases,total_bases,Demon,11860086,11860086,238790,155588,2026-05-04T17:40:00.000-04:00,,,,3,Tyler Freeman,https://static.prizepicks.com/images/players/MLB/Tyler_Freeman_MLB_player_IKCqxVwz03fmn4NJObbm6sdJ-450.webp,3.5,MLB,2026-05-04,,,,,OK,4.13,1.27,0.31,14,10,9,11.615384615384617,13,Avg,14,Avg,285.2,32.0,0
