,Player,Position,GP,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %,,Player,,
"2","Nic Dowd","C","20","209.08333333333","187","150","55.49","133","108","55.19","81","70","53.64","4","4","50.00","7.67","6.24","55.15","99","59","62.66","35","33","51.47","2","2","50.00","64","26","71.11","1","0","100.00","86","103","45.50","1","2","33.33","4.94","94.29","0.992","20","73","42","164","32.26","35","88","73","32.41"
"5","William Karlsson","C","14","164.3","171","162","51.35","116","102","53.21","82","67","55.03","2","6","25.00","5.95","6.06","49.52","69","74","48.25","25","28","47.17","1","5","16.67","44","46","48.89","0","0","-","100","87","53.48","1","1","50.00","2.44","91.04","0.935","13","35","21","130","38.24","39","53","44","46.99"
"13","Tanner Laczynski","C","10","99.65","94","97","49.21","65","69","48.51","44","47","48.35","5","5","50.00","3.52","4.07","46.38","38","45","45.78","15","17","46.88","0","3","0.00","23","28","45.10","4","1","80.00","58","59","49.57","1","1","50.00","11.36","89.36","1.007","9","22","11","88","45.00","21","28","27","43.75"
"14","Jonas Rondbjerg","R","4","46.666666666667","38","40","48.72","29","31","48.33","20","19","51.28","2","4","33.33","2.3","1.84","55.46","19","22","46.34","11","7","61.11","2","0","100.00","8","15","34.78","0","1","0.00","21","20","51.22","0","3","0.00","10.00","78.95","0.889","8","12","3","42","72.73","11","16","8","57.89"
"21","Kai Uchacz","C","3","34.55","21","30","41.18","17","17","50.00","12","13","48.00","1","2","33.33","0.97","0.88","52.45","11","12","47.83","6","3","66.67","1","0","100.00","5","9","35.71","0","1","0.00","15","18","45.45","0","1","0.00","8.33","84.62","0.929","5","6","4","32","55.56","9","12","6","60.00"
"16","Raphael Lavoie","C","1","8.5666666666667","11","7","61.11","5","7","41.67","2","4","33.33","0","0","-","0.21","0.55","27.60","3","3","50.00","1","1","50.00","0","0","-","2","2","50.00","0","0","-","8","5","61.54","0","0","-","0.00","100.00","1.000","3","1","1","7","75.00","3","3","2","60.00"
"1","Ivan Barbashev"
"2","Jack Eichel"
"3","Mitch Marner"
"4","Pavel Dorofeyev"
"5","Tomas Hertl"
"6","Mark Stone"
"7","Reilly Smith"
"8","Keegan Kolesar"
"9","Brett Howden"
"10","Braeden Bowman"
"11","Brandon Saad"
"12","Colton Sissons"
"13","Cole Reinhardt"
"14","Alexander Holtz"
"15","Cole Smith"
"16","Nic Dowd"
"17","William Karlsson"
"18","Tanner Laczynski"
"19","Jonas Rondbjerg"
"20","Kai Uchacz"
"21","Raphael Lavoie"
