Unnamed: 0,Line,Position,GP,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %,Unnamed: 53,Player.1,Unnamed: 55,Unnamed: 56,season_id,sit,team_filter,fetched_at,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %,Player,Team,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %,Player 2,line_sit,source
20,Braeden Bowman,R,54.0,679.9,624.0,634.0,49.6,455.0,458.0,49.84,305.0,275.0,52.59,33.0,46.0,41.77,31.47,27.15,53.68,307.0,291.0,51.34,152.0,113.0,57.36,21.0,24.0,46.67,155.0,178.0,46.55,7.0,12.0,36.84,359.0,372.0,49.11,5.0,10.0,33.33,10.82,83.27,0.941,,,,,,,,,,,,,,20252026,5v5,VGK,2026-05-27T13:40:59.979955+00:00,130.0,128.0,78.0,544.0,62.5,234.0,191.0,156.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Brandon Saad,L,49.0,598.41666666667,610.0,566.0,51.87,440.0,399.0,52.44,280.0,234.0,54.47,18.0,23.0,43.90,27.86,25.0,52.71,290.0,264.0,52.35,131.0,104.0,55.74,9.0,13.0,40.91,159.0,160.0,49.84,6.0,5.0,54.55,361.0,330.0,52.24,3.0,5.0,37.50,6.43,90.17,0.966,,,,,,,,,,,,,,20252026,5v5,VGK,2026-05-27T13:40:59.979955+00:00,91.0,146.0,73.0,472.0,55.49,182.0,195.0,158.0,53.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Cole Reinhardt,L,44.0,424.65,319.0,364.0,46.71,229.0,252.0,47.61,149.0,151.0,49.67,10.0,15.0,40.00,13.48,13.52,49.92,126.0,167.0,43.0,61.0,60.0,50.41,5.0,7.0,41.67,65.0,107.0,37.79,3.0,6.0,33.33,202.0,218.0,48.1,2.0,2.0,50.00,6.71,90.07,0.968,,,,,,,,,,,,,,20252026,5v5,VGK,2026-05-27T13:40:59.979955+00:00,46.0,88.0,56.0,379.0,45.1,79.0,130.0,107.0,42.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Alexander Holtz,R,28.0,304.95,258.0,306.0,45.74,178.0,212.0,45.64,106.0,136.0,43.8,14.0,15.0,48.28,12.55,12.19,50.73,119.0,136.0,46.67,56.0,47.0,54.37,8.0,7.0,53.33,63.0,89.0,41.45,3.0,5.0,37.50,151.0,173.0,46.6,3.0,3.0,50.00,13.21,88.97,1.022,,,,,,,,,,,,,,20252026,5v5,VGK,2026-05-27T13:40:59.979955+00:00,46.0,59.0,32.0,258.0,58.97,87.0,88.0,80.0,52.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Cole Smith,R,21.0,211.76666666667,199.0,154.0,56.37,144.0,111.0,56.47,89.0,69.0,56.33,2.0,4.0,33.33,9.32,6.64,58.38,108.0,65.0,62.43,41.0,38.0,51.9,1.0,2.0,33.33,67.0,27.0,71.28,1.0,0.0,100.00,92.0,101.0,47.67,0.0,2.0,0.00,2.25,94.2,0.965,,,,,,,,,,,,,,20252026,5v5,VGK,2026-05-27T13:40:59.979955+00:00,17.0,77.0,40.0,161.0,29.82,32.0,91.0,69.0,31.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Nic Dowd,C,20.0,209.08333333333,187.0,150.0,55.49,133.0,108.0,55.19,81.0,70.0,53.64,4.0,4.0,50.00,7.67,6.24,55.15,99.0,59.0,62.66,35.0,33.0,51.47,2.0,2.0,50.00,64.0,26.0,71.11,1.0,0.0,100.00,86.0,103.0,45.5,1.0,2.0,33.33,4.94,94.29,0.992,,,,,,,,,,,,,,20252026,5v5,VGK,2026-05-27T13:40:59.979955+00:00,20.0,73.0,42.0,164.0,32.26,35.0,88.0,73.0,32.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,William Karlsson,C,14.0,164.3,171.0,162.0,51.35,116.0,102.0,53.21,82.0,67.0,55.03,2.0,6.0,25.00,5.95,6.06,49.52,69.0,74.0,48.25,25.0,28.0,47.17,1.0,5.0,16.67,44.0,46.0,48.89,0.0,0.0,-,100.0,87.0,53.48,1.0,1.0,50.00,2.44,91.04,0.935,,,,,,,,,,,,,,20252026,5v5,VGK,2026-05-27T13:40:59.979955+00:00,13.0,35.0,21.0,130.0,38.24,39.0,53.0,44.0,46.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Tanner Laczynski,C,10.0,99.65,94.0,97.0,49.21,65.0,69.0,48.51,44.0,47.0,48.35,5.0,5.0,50.00,3.52,4.07,46.38,38.0,45.0,45.78,15.0,17.0,46.88,0.0,3.0,0.00,23.0,28.0,45.1,4.0,1.0,80.00,58.0,59.0,49.57,1.0,1.0,50.00,11.36,89.36,1.007,,,,,,,,,,,,,,20252026,5v5,VGK,2026-05-27T13:40:59.979955+00:00,9.0,22.0,11.0,88.0,45.0,21.0,28.0,27.0,43.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Jonas Rondbjerg,R,4.0,46.666666666667,38.0,40.0,48.72,29.0,31.0,48.33,20.0,19.0,51.28,2.0,4.0,33.33,2.3,1.84,55.46,19.0,22.0,46.34,11.0,7.0,61.11,2.0,0.0,100.00,8.0,15.0,34.78,0.0,1.0,0.00,21.0,20.0,51.22,0.0,3.0,0.00,10.0,78.95,0.889,,,,,,,,,,,,,,20252026,5v5,VGK,2026-05-27T13:40:59.979955+00:00,8.0,12.0,3.0,42.0,72.73,11.0,16.0,8.0,57.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Kai Uchacz,C,3.0,34.55,21.0,30.0,41.18,17.0,17.0,50.0,12.0,13.0,48.0,1.0,2.0,33.33,0.97,0.88,52.45,11.0,12.0,47.83,6.0,3.0,66.67,1.0,0.0,100.00,5.0,9.0,35.71,0.0,1.0,0.00,15.0,18.0,45.45,0.0,1.0,0.00,8.33,84.62,0.929,,,,,,,,,,,,,,20252026,5v5,VGK,2026-05-27T13:40:59.979955+00:00,5.0,6.0,4.0,32.0,55.56,9.0,12.0,6.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Raphael Lavoie,C,1.0,8.5666666666667,11.0,7.0,61.11,5.0,7.0,41.67,2.0,4.0,33.33,0.0,0.0,-,0.21,0.55,27.6,3.0,3.0,50.0,1.0,1.0,50.0,0.0,0.0,-,2.0,2.0,50.0,0.0,0.0,-,8.0,5.0,61.54,0.0,0.0,-,0.0,100.0,1.0,,,,,,,,,,,,,,20252026,5v5,VGK,2026-05-27T13:40:59.979955+00:00,3.0,1.0,1.0,7.0,75.0,3.0,3.0,2.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,D,12.0,155.46666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20252026,5v5,CAR,2026-06-03T01:58:21.823427+00:00,,,,,,,,,,Charles Alexis Legault,,0.0,1.0,0.0,1.0,1.0,16.67,10.0,0.00,0.34,29.0,20.0,9.0,0.0,0.0,4.0,15.0,6.0,5.0,1.0,0.0,3.0,13.0,7.0,12.0,22.0,8.0,0.0,0.0,-,,,
25,,R,1.0,0.78333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20252026,pp,CAR,2026-06-03T01:58:30.057601+00:00,,,,,,,,,,Felix Unger Sorum,,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,,,
