player,team,prop_type,actual
Kevin Durant,HOU,Points,35.0
Kevin Durant,HOU,Rebounds,8.0
Kevin Durant,HOU,Assists,4.0
Kevin Durant,HOU,Blocked Shots,3.0
Kevin Durant,HOU,Steals,1.0
Kevin Durant,HOU,Turnovers,1.0
Kevin Durant,HOU,Offensive Rebounds,0.0
Kevin Durant,HOU,Defensive Rebounds,8.0
Kevin Durant,HOU,Personal Fouls,3.0
Kevin Durant,HOU,Pts+Rebs+Asts,47.0
Kevin Durant,HOU,PRA,47.0
Kevin Durant,HOU,Pts+Rebs,43.0
Kevin Durant,HOU,Pts+Asts,39.0
Kevin Durant,HOU,Rebs+Asts,12.0
Kevin Durant,HOU,Blks+Stls,4.0
Jabari Smith Jr.,HOU,Points,15.0
Jabari Smith Jr.,HOU,Rebounds,7.0
Jabari Smith Jr.,HOU,Assists,1.0
Jabari Smith Jr.,HOU,Blocked Shots,1.0
Jabari Smith Jr.,HOU,Steals,1.0
Jabari Smith Jr.,HOU,Turnovers,0.0
Jabari Smith Jr.,HOU,Offensive Rebounds,1.0
Jabari Smith Jr.,HOU,Defensive Rebounds,6.0
Jabari Smith Jr.,HOU,Personal Fouls,1.0
Jabari Smith Jr.,HOU,Pts+Rebs+Asts,23.0
Jabari Smith Jr.,HOU,PRA,23.0
Jabari Smith Jr.,HOU,Pts+Rebs,22.0
Jabari Smith Jr.,HOU,Pts+Asts,16.0
Jabari Smith Jr.,HOU,Rebs+Asts,8.0
Jabari Smith Jr.,HOU,Blks+Stls,2.0
Tari Eason,HOU,Points,5.0
Tari Eason,HOU,Rebounds,3.0
Tari Eason,HOU,Assists,0.0
Tari Eason,HOU,Blocked Shots,0.0
Tari Eason,HOU,Steals,3.0
Tari Eason,HOU,Turnovers,1.0
Tari Eason,HOU,Offensive Rebounds,1.0
Tari Eason,HOU,Defensive Rebounds,2.0
Tari Eason,HOU,Personal Fouls,1.0
Tari Eason,HOU,Pts+Rebs+Asts,8.0
Tari Eason,HOU,PRA,8.0
Tari Eason,HOU,Pts+Rebs,8.0
Tari Eason,HOU,Pts+Asts,5.0
Tari Eason,HOU,Rebs+Asts,3.0
Tari Eason,HOU,Blks+Stls,3.0
Alperen Sengun,HOU,Points,13.0
Alperen Sengun,HOU,Rebounds,2.0
Alperen Sengun,HOU,Assists,7.0
