player,team,prop_type,actual
Conor Enright,IU,Blks+Stls,0.0
Reed Bailey,IU,Points,10.0
Reed Bailey,IU,Rebounds,2.0
Reed Bailey,IU,Assists,0.0
Reed Bailey,IU,Blocked Shots,0.0
Reed Bailey,IU,Steals,0.0
Reed Bailey,IU,Turnovers,2.0
Reed Bailey,IU,FG Made,4.0
Reed Bailey,IU,FG Attempted,4.0
Reed Bailey,IU,3-PT Made,0.0
Reed Bailey,IU,3-PT Attempted,0.0
Reed Bailey,IU,Two Pointers Made,4.0
Reed Bailey,IU,Two Pointers Attempted,4.0
Reed Bailey,IU,Free Throws Made,2.0
Reed Bailey,IU,Free Throws Attempted,4.0
Reed Bailey,IU,Offensive Rebounds,1.0
Reed Bailey,IU,Defensive Rebounds,1.0
Reed Bailey,IU,Personal Fouls,4.0
Reed Bailey,IU,Fantasy Score,16.0
Reed Bailey,IU,Pts+Rebs+Asts,12.0
Reed Bailey,IU,PRA,12.0
Reed Bailey,IU,Pts+Rebs,12.0
Reed Bailey,IU,Pts+Asts,10.0
Reed Bailey,IU,Rebs+Asts,2.0
Reed Bailey,IU,Blks+Stls,0.0
Trent Sisley,IU,Points,0.0
Trent Sisley,IU,Rebounds,0.0
Trent Sisley,IU,Assists,0.0
Trent Sisley,IU,Blocked Shots,0.0
Trent Sisley,IU,Steals,0.0
Trent Sisley,IU,Turnovers,1.0
Trent Sisley,IU,FG Made,0.0
Trent Sisley,IU,FG Attempted,0.0
Trent Sisley,IU,3-PT Made,0.0
Trent Sisley,IU,3-PT Attempted,0.0
Trent Sisley,IU,Two Pointers Made,0.0
Trent Sisley,IU,Two Pointers Attempted,0.0
Trent Sisley,IU,Free Throws Made,0.0
Trent Sisley,IU,Free Throws Attempted,0.0
Trent Sisley,IU,Offensive Rebounds,0.0
Trent Sisley,IU,Defensive Rebounds,0.0
Trent Sisley,IU,Personal Fouls,1.0
Trent Sisley,IU,Fantasy Score,-0.5
Trent Sisley,IU,Pts+Rebs+Asts,0.0
Trent Sisley,IU,PRA,0.0
Trent Sisley,IU,Pts+Rebs,0.0
Trent Sisley,IU,Pts+Asts,0.0
Trent Sisley,IU,Rebs+Asts,0.0
Trent Sisley,IU,Blks+Stls,0.0
Aleksa Ristic,IU,Points,0.0
Aleksa Ristic,IU,Rebounds,0.0
Aleksa Ristic,IU,Assists,0.0
Aleksa Ristic,IU,Blocked Shots,0.0
Aleksa Ristic,IU,Steals,0.0
Aleksa Ristic,IU,Turnovers,0.0
Aleksa Ristic,IU,FG Made,0.0
Aleksa Ristic,IU,FG Attempted,0.0
Aleksa Ristic,IU,3-PT Made,0.0
