sport,pick_type,direction,prop,n_total,base_hit_rate,recommended_min_ml_prob,recommended_n,recommended_hit_rate,lift_vs_base,flagged_bins,avg_cal_gap,max_cal_gap,cal_n_stratum,strat_n_total,strat_hit_rate,known_def_rate_w,known_minutes_rate_w,known_context_rate_w,retained_pct,lift_pp,calibration_risk,data_quality_flag,priority_score
MLB,Demon,OVER,Total Bases,19213,0.2028834643210326,0.1109,8125,0.2589538461538461,0.0560703818328135,7,0.23450695214986192,0.6238987654320991,19213,21511.0,0.2036167542187718,0.0,0.7532425270791688,1.0,42.28907510539739,5.60703818328135,high,True,0.3660896205379164
NHL,(missing),OVER,points,3604,0.2810765815760266,0.3538199999999999,1081,0.6947271045328399,0.4136505229568132,1,0.0889619791666651,0.0889619791666651,3604,7437.0,0.3029447357805567,0.0055129756622293935,0.0,1.0,29.994450610432853,41.36505229568132,medium,True,0.27486462945281553
NHL,(missing),OVER,assists,2771,0.2435943702634428,0.2903999999999999,832,0.5961538461538461,0.3525594758904034,2,0.1264502469694493,0.1658217935778878,2771,5856.0,0.25614754098360654,0.004610655737704918,0.0,1.0,30.02526163839769,35.25594758904034,medium,True,0.1830841611733324
NHL,(missing),OVER,plus/minus,1086,0.3305709023941068,0.3792999999999999,326,0.7730061349693251,0.4424352325752183,2,0.17524458477221055,0.205254034409286,1086,2324.0,0.37005163511187605,0.008175559380378658,0.0,1.0,30.01841620626151,44.24352325752183,medium,True,0.18031886376358022
NHL,(missing),OVER,goals,3160,0.1737341772151898,0.2538,950,0.4431578947368421,0.2694237175216522,2,0.19304720238095205,0.2752458333333328,3160,6217.0,0.18771111468553964,0.004825478526620556,0.0,1.0,30.063291139240505,26.94237175216522,high,True,0.09395809430023444
NBA,Goblin,OVER,Points,5245,0.6743565300285986,0.9101950098813636,1574,0.6963151207115629,0.0219585906829642,7,0.22580407049026413,0.2693119089237434,5245,9208.0,0.6701781059947871,1.0,0.8520851433536055,1.0,30.009532888465206,2.19585906829642,high,False,0.0912541858867027
Soccer,(missing),OVER,Shots,9823,0.2194848824188129,0.3768,3024,0.3171296296296296,0.0976447472108166,4,0.31230277205931145,0.7862379450661308,9823,13495.0,0.2392738051130048,0.0,0.0,1.0,30.78489259900234,9.76447472108166,high,True,0.08810887593271477
NBA,Goblin,OVER,Pts+Rebs,3704,0.6528077753779697,0.9101,1117,0.7000895255147717,0.0472817501368019,7,0.2211477654052507,0.2961857935333815,3704,6746.0,0.6509042395493626,1.0,0.862436999703528,1.0,30.15658747300216,4.72817501368019,high,False,0.06931282761557543
NBA,Goblin,OVER,Pts+Rebs+Asts,4485,0.6321070234113713,0.9094823368486776,1346,0.6812778603268945,0.0491708369155232,6,0.2699155294240331,0.3176019726797322,4485,7985.0,0.6295554164057608,1.0,0.85648090169067,1.0,30.011148272017838,4.91708369155232,high,False,0.06799366405081056
MLB,Demon,OVER,Runs,7724,0.2586742620403935,0.1295,5373,0.3037409268565047,0.0450666648161111,6,0.18412093988829228,0.3724383561643838,7724,8636.0,0.26146364057433996,0.0,0.75764242704956,1.0,69.5624029000518,4.50666648161111,high,True,0.05257971932880304
NBA,Goblin,OVER,Rebounds,3298,0.6594906003638569,0.9095584124674064,990,0.6838383838383838,0.0243477834745269,7,0.20942154980569336,0.2972245323065829,3298,5875.0,0.6636595744680851,1.0,0.8626382978723405,1.0,30.01819284414797,2.4347783474526903,high,False,0.04556104320244339
NBA,Standard,UNDER,Assists,338,0.5236686390532544,0.4958,169,0.5976331360946746,0.0739644970414201,3,0.1221731816665752,0.1445381872351023,338,592.0,0.5287162162162162,1.0,0.8462837837837838,1.0,50.0,7.396449704142009,medium,False,0.04482827166185552
NBA,Goblin,OVER,FG Made,184,0.6467391304347826,0.9084229913963964,55,0.7818181818181819,0.1350790513833992,9,0.20730200560734252,0.4459666292405444,184,394.0,0.6243654822335025,1.0,0.8604060913705583,1.0,29.891304347826086,13.50790513833992,high,False,0.04455496736282123
NBA,Goblin,OVER,Rebs+Asts,3638,0.6324903793293019,0.9097,1110,0.6693693693693694,0.0368789900400675,6,0.25638762510142243,0.3209229866360364,3638,6451.0,0.6372655402263215,1.0,0.862191908231282,1.0,30.511269928532162,3.68789900400675,high,False,0.040892108035611
NBA,Goblin,OVER,Pts+Asts,2842,0.6618578465869106,0.910030730066469,853,0.6975381008206331,0.0356802542337224,7,0.21118967641464947,0.2747793478804292,2842,5137.0,0.6492116021023944,1.0,0.8647070274479268,1.0,30.014074595355382,3.56802542337224,high,False,0.04047249776331402
NBA,Goblin,OVER,Assists,2466,0.6597729115977291,0.9096,748,0.7072192513368984,0.0474463397391693,5,0.22487229900372183,0.2580897058615479,2466,4288.0,0.6550839552238806,1.0,0.8607742537313433,1.0,30.332522303325224,4.74463397391693,high,False,0.031847645805162667
NBA,Goblin,OVER,3-PT Made,1748,0.6578947368421053,0.9118974754760168,525,0.7161904761904762,0.0582957393483708,6,0.20976786816285783,0.3150165107658098,1748,3060.0,0.6581699346405229,1.0,0.8323529411764706,1.0,30.034324942791763,5.82957393483708,high,False,0.027586847317649946
NBA,Standard,UNDER,Pts+Asts,647,0.5100463678516228,0.5099356447126484,194,0.5515463917525774,0.0415000239009545,5,0.12484874083399214,0.1670650045649473,647,1153.0,0.5099739809193409,1.0,0.8473547267996531,1.0,29.984544049459043,4.15000239009545,medium,False,0.026658902826190968
NBA,Goblin,OVER,Two Pointers Made,278,0.6115107913669064,0.9044988597283796,111,0.7027027027027027,0.0911919113357963,9,0.18166043143264027,0.3021564615682085,278,619.0,0.5993537964458805,1.0,0.8319870759289176,1.0,39.92805755395683,9.11919113357963,high,False,0.0258531318857562
NBA,Goblin,OVER,Fantasy Score,1101,0.7656675749318801,0.9117264924358875,331,0.8217522658610272,0.0560846909291471,6,0.17821326664285486,0.264863063063063,1101,2102.0,0.7626070409134158,1.0,0.8915318744053282,1.0,30.06357856494096,5.60846909291471,medium,False,0.023577426243636727
NBA,Standard,OVER,Fantasy Score,866,0.6004618937644342,0.9049534846558064,260,0.7076923076923077,0.1072304139278735,8,0.2556012949747612,0.4211851309786258,866,1579.0,0.5668144395186827,1.0,0.8974034198860038,1.0,30.023094688221708,10.72304139278735,high,False,0.017102313021485127
NBA,Standard,UNDER,FG Attempted,336,0.5327380952380952,0.5051279893802365,101,0.594059405940594,0.0613213107024988,5,0.161378395429398,0.3015947822768017,336,753.0,0.5179282868525896,1.0,0.8353253652058433,1.0,30.05952380952381,6.13213107024988,medium,False,0.014420721425757142
NBA,Standard,UNDER,Rebs+Asts,425,0.5011764705882353,0.43252,297,0.5286195286195287,0.0274430580312933,4,0.1191697013463587,0.1598524347859616,425,757.0,0.5297225891677675,1.0,0.8480845442536328,1.0,69.88235294117646,2.74430580312933,medium,False,0.012091281190480058
NBA,Standard,UNDER,Pts+Rebs+Asts,640,0.496875,0.48814,256,0.515625,0.0187499999999999,6,0.12955630554321726,0.2730856072567768,640,1156.0,0.5008650519031141,1.0,0.8477508650519031,1.0,40.0,1.8749999999999898,medium,False,0.006016943881426921
NBA,Goblin,OVER,Steals,1462,0.6196990424076607,0.91511,439,0.6788154897494305,0.0591164473417697,6,0.24412398331875404,0.2651517863778928,1462,2536.0,0.625,1.0,0.8580441640378549,1.0,30.027359781121753,5.91164473417697,high,False,0.0021660248855120134
NBA,Standard,UNDER,Turnovers,147,0.6258503401360545,0.5616,45,0.7111111111111111,0.0852607709750566,3,0.2118911945829811,0.3041855459595256,147,237.0,0.6160337552742616,1.0,0.8523206751054853,1.0,30.612244897959183,8.526077097505661,high,False,0.0016972019272648853
NBA,Goblin,OVER,Two Pointers Attempted,134,0.6194029850746269,0.742,54,0.7037037037037037,0.0843007186290768,7,0.21118775431119013,0.3414582318825571,134,269.0,0.5427509293680297,1.0,0.8252788104089219,1.0,40.298507462686565,8.43007186290768,high,False,0.0009283427238918202
NBA,Goblin,OVER,Free Throws Attempted,175,0.6057142857142858,0.7279206025651516,70,0.6714285714285714,0.0657142857142856,8,0.19200081700407537,0.2975117241748927,175,321.0,0.5825545171339563,1.0,0.8286604361370716,1.0,40.0,6.57142857142856,high,False,-0.002635515020287464
