sport,pick_type,direction,prop,n_total,base_hit_rate,recommended_min_ml_prob,recommended_n,recommended_hit_rate,lift_vs_base,flagged_bins,avg_cal_gap,max_cal_gap,cal_n_stratum,strat_n_total,strat_hit_rate,known_def_rate_w,known_minutes_rate_w,known_context_rate_w,retained_pct,lift_pp,calibration_risk,data_quality_flag,priority_score
NBA,Standard,UNDER,Rebounds,342,0.5233918128654971,0.53652,103,0.5631067961165048,0.0397149832510077,4,0.16331281687732974,0.3220583599381459,342,809.0,0.5080346106304079,1.0,0.8022249690976514,1.0,30.116959064327485,3.9714983251007703,medium,False,-0.003502692258547477
NBA,Standard,UNDER,Pts+Rebs,756,0.5185185185185185,0.5093,255,0.5333333333333333,0.0148148148148148,6,0.15428461900859583,0.2755330421293313,756,1324.0,0.5113293051359517,1.0,0.8353474320241692,1.0,33.73015873015873,1.48148148148148,medium,False,-0.006588989613320075
MLB,Demon,OVER,Hits,6468,0.1914038342609771,0.0838,4764,0.2023509655751469,0.0109471313141698,7,0.18180884397842995,0.3882683137255007,6468,7208.0,0.1927025527192009,0.0,0.7649833518312985,1.0,73.65491651205937,1.09471313141698,high,True,-0.009392212685788937
NBA,Goblin,OVER,Blks+Stls,892,0.594170403587444,0.90947,268,0.6567164179104478,0.0625460143230037,6,0.2555193290779822,0.3853788113650844,892,1619.0,0.5966646077825818,1.0,0.8591723285978999,1.0,30.044843049327355,6.254601432300371,high,False,-0.017454946412897493
NBA,Goblin,OVER,Blocked Shots,399,0.6390977443609023,0.9157,121,0.6776859504132231,0.0385882060523208,8,0.19481808583651095,0.3124752602203274,399,699.0,0.6351931330472103,1.0,0.8512160228898427,1.0,30.325814536340854,3.85882060523208,high,False,-0.019103898840885605
MLB,Demon,OVER,Walks,5552,0.2840417867435158,0.2057,1906,0.3126967471143757,0.0286549603708598,5,0.18208981985289918,0.2318220689655167,5552,6229.0,0.2900947182533312,0.0,0.7489163589661262,1.0,34.329971181556196,2.8654960370859803,high,True,-0.02191643525867354
NBA,Standard,OVER,Two Pointers Made,192,0.53125,0.901962389033552,58,0.6206896551724138,0.0894396551724138,7,0.26816751557656865,0.4502134416726402,192,337.0,0.5103857566765578,1.0,0.8486646884272997,1.0,30.208333333333332,8.943965517241379,high,False,-0.022909121284790696
NBA,Goblin,OVER,Turnovers,586,0.5750853242320819,0.6519,352,0.6051136363636364,0.0300283121315544,9,0.20158507687459432,0.3754547065117645,586,1044.0,0.5766283524904214,1.0,0.8735632183908046,1.0,60.06825938566553,3.00283121315544,high,False,-0.024000826987035845
NBA,Standard,UNDER,Steals,128,0.625,0.5444,72,0.6527777777777778,0.0277777777777777,7,0.1732077247472152,0.2904640094551511,128,208.0,0.6346153846153846,1.0,0.8605769230769231,1.0,56.25,2.77777777777777,medium,False,-0.02424613048899572
CBB,Standard,UNDER,pr,498,0.5602409638554217,0.6060606241226196,151,0.7086092715231788,0.1483683076677571,2,0.09145800574527166,0.0970148972703683,498,830.0,0.553012048192771,0.8433734939759037,0.0,1.0,30.32128514056225,14.83683076677571,medium,True,-0.025761892215878213
NBA1Q,Standard,OVER,Rebounds,187,0.7379679144385026,0.91014,56,0.9464285714285714,0.2084606569900687,7,0.1866310532257139,0.2940333333333332,187,190.0,0.7368421052631579,1.0,0.2894736842105263,1.0,29.946524064171122,20.846065699006868,high,True,-0.03657957173574858
CBB,Standard,UNDER,pra,474,0.5654008438818565,0.6301369667053223,143,0.7342657342657343,0.1688648903838777,1,0.1482446071677583,0.1482446071677583,474,756.0,0.5462962962962963,0.8624338624338624,0.0,1.0,30.168776371308017,16.88648903838777,medium,True,-0.03971215604364009
NBA,Standard,UNDER,Fantasy Score,228,0.5526315789473685,0.4036299999999999,69,0.6376811594202898,0.0850495804729213,8,0.3015180310893284,0.4704782608695652,228,551.0,0.49909255898366606,1.0,0.8747731397459165,1.0,30.263157894736842,8.50495804729213,high,False,-0.04265449497678628
MLB,Demon,OVER,Hitter Strikeouts,3192,0.2008145363408521,0.1295,1147,0.2240627724498692,0.023248236109017,2,0.09838152825406354,0.1001514198004612,3192,3192.0,0.20081453634085214,0.0,1.0,1.0,35.93358395989975,2.3248236109016998,medium,True,-0.05073048337086514
NBA,Goblin,OVER,Free Throws Made,192,0.59375,0.9098726906449572,58,0.6379310344827587,0.0441810344827586,8,0.2549081396822651,0.4313627266760753,192,387.0,0.5839793281653747,1.0,0.8113695090439277,1.0,30.208333333333332,4.418103448275859,high,False,-0.05183028545940459
NBA,Demon,OVER,Fantasy Score,370,0.4324324324324324,0.898115871336546,111,0.5675675675675675,0.1351351351351351,8,0.405560463031997,0.589734860481804,370,772.0,0.38341968911917096,1.0,0.8847150259067358,1.0,30.0,13.513513513513509,high,False,-0.052942397444533024
NBA,Standard,UNDER,FG Made,186,0.4408602150537634,0.3888638316200959,149,0.4563758389261745,0.015515623872411,6,0.21431508386215628,0.3847464874549908,186,392.0,0.4744897959183674,1.0,0.8418367346938775,1.0,80.10752688172043,1.5515623872411,high,False,-0.053611120642798896
Soccer,(missing),OVER,Goalie Saves,1238,0.2924071082390953,0.3160799999999999,495,0.4545454545454545,0.1621383463063592,6,0.21172214349044136,0.6041581395348838,1238,1754.0,0.3261117445838084,0.0,0.0,1.0,39.98384491114701,16.21383463063592,high,True,-0.055971285923018685
CBB,Standard,UNDER,pts,454,0.5198237885462555,0.5706774717770355,136,0.6323529411764706,0.112529152630215,1,0.0941781890245227,0.0941781890245227,454,731.0,0.5129958960328317,0.8426812585499316,0.0,1.0,29.955947136563875,11.2529152630215,medium,True,-0.05679270063085308
NBA,Standard,OVER,3-PT Made,141,0.5460992907801419,0.6564,57,0.5964912280701754,0.0503919372900335,6,0.2812952664021014,0.4709214285714286,141,237.0,0.5147679324894515,1.0,0.8354430379746836,1.0,40.42553191489362,5.03919372900335,high,False,-0.062081507417215936
CBB,Standard,UNDER,pa,393,0.5572519083969466,0.5880681872367859,128,0.7109375,0.1536855916030534,2,0.16457322878135405,0.224528734417734,393,621.0,0.5249597423510467,0.8389694041867954,0.0,1.0,32.56997455470738,15.36855916030534,medium,True,-0.06252830369746123
NBA1Q,Goblin,OVER,Points,2055,0.8189781021897811,0.9127,624,0.8814102564102564,0.0624321542204753,5,0.11891291089848124,0.1687210145213349,2055,2258.0,0.8343666961913198,1.0,0.22497785651018595,1.0,30.364963503649633,6.24321542204753,medium,True,-0.06314201611160256
