sport,pipeline,pick_type,tier,direction,prop,n_total,base_hit_rate,recommended_min_ml_prob,recommended_n,recommended_hit_rate,lift_vs_base,avg_calibration_gap,policy_status,gate_tier_target,gate_action,gate_tier_proposed,gate_profile,gate_notes,demon_floor_action
Soccer,Soccer,DEMON,D,OVER,Goal + Assist,570,0.054385964912280704,0.1,184,0.10326086956521739,0.04887490465293669,0.06465539339528488,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_thin_sample,HOLD
NHL,NHL,DEMON,C,OVER,Points,156,0.27564102564102566,0.6194,74,0.32432432432432434,0.04868329868329868,0.14417362059062538,OK,C,DEMON_KEEP,C,DEMON_KEEP,demon_floor_thin_sample,HOLD
NBA,NBA,GOBLIN,A,OVER,3-PT Made,462,0.7251082251082251,0.9172834763691237,185,0.772972972972973,0.047864747864747814,0.13284986286388492,OK,D,DEMOTE_1,B,GOBLIN,below_current_tier_gates,
CBB,CBB,GOBLIN,B,OVER,pts,308,0.6298701298701299,0.9095391709440251,93,0.6774193548387096,0.04754922496857972,0.20839478602179606,OK,D,DEMOTE_1,C,GOBLIN,below_current_tier_gates,
NBA,NBA,GOBLIN,B,OVER,Blks+Stls,131,0.6106870229007634,0.9113,79,0.6582278481012658,0.0475408252005024,0.16624200433723052,OK,D,DEMOTE_1,C,GOBLIN,below_current_tier_gates,
NBA,NBA,GOBLIN,D,OVER,Pts+Rebs,1956,0.6298568507157464,0.9077,592,0.6773648648648649,0.04750801414911854,0.1664413272122509,OK,C,PROMOTE_1,C,GOBLIN,meets_higher_tier_gates,
NBA,NBA,GOBLIN,A,OVER,Points,827,0.7049576783555018,0.9118985933392769,331,0.7492447129909365,0.04428703463543471,0.15742149862061852,OK,C,DEMOTE_1,B,GOBLIN,below_current_tier_gates,
NBA,NBA,STANDARD,D,UNDER,Two Pointers Attempted,171,0.5263157894736842,0.4444,107,0.5700934579439252,0.043777668470241005,0.10968034751628744,OK,D,HOLD,D,STANDARD_UNDER,at_target,
NBA1Q,NBA1Q,GOBLIN,C,OVER,Points,376,0.7553191489361702,0.8838,263,0.7984790874524715,0.04315993851630129,0.07925537540818771,OK,C,HOLD,C,GOBLIN,at_target,
CBB,CBB,GOBLIN,D,OVER,reb,215,0.6186046511627907,0.6640096935514737,65,0.6615384615384615,0.04293381037567079,0.18918847285141285,OK,D,HOLD,D,GOBLIN,at_target,
NBA,NBA,GOBLIN,D,OVER,Steals,465,0.5290322580645161,0.77302,140,0.5714285714285714,0.04239631336405525,0.16144033747504558,OK,D,HOLD,D,GOBLIN,at_target,
NBA,NBA,GOBLIN,B,OVER,Rebounds,540,0.7185185185185186,0.9112,163,0.7607361963190185,0.0422176778004999,0.14773393708015664,OK,D,DEMOTE_1,C,GOBLIN,below_current_tier_gates,
NBA,NBA,GOBLIN,D,OVER,Pts+Asts,1557,0.6319845857418112,0.9079,475,0.6736842105263158,0.04169962478450462,0.14973533935536873,OK,C,PROMOTE_1,C,GOBLIN,meets_higher_tier_gates,
NBA,NBA,DEMON,D,OVER,Blks+Stls,304,0.3980263157894737,0.5590388278545534,91,0.43956043956043955,0.04153412377096588,0.19516952461556397,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_thin_sample,HOLD
NBA,NBA,GOBLIN,A,OVER,Rebs+Asts,358,0.6927374301675978,0.9129106722985276,109,0.7339449541284404,0.041207523960842596,0.1627986810765792,OK,D,DEMOTE_1,B,GOBLIN,below_current_tier_gates,
NHL,NHL,DEMON,D,OVER,Assists,1037,0.1909353905496625,0.1,405,0.23209876543209876,0.041163374882436266,0.1537160060489461,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_watchlist,WATCHLIST
NBA,NBA,GOBLIN,C,OVER,Points,1227,0.6740016299918501,0.9109,371,0.7142857142857143,0.04028408429386421,0.15742149862061852,OK,B,PROMOTE_1,B,GOBLIN,meets_higher_tier_gates,
NBA,NBA,STANDARD,C,OVER,Pts+Rebs,158,0.46835443037974683,0.9059,65,0.5076923076923077,0.03933787731256083,0.2749863989622314,OK,D,DEMOTE_1,D,STANDARD_OVER,below_current_tier_gates,
CBB,CBB,GOBLIN,B,OVER,reb,126,0.6666666666666666,0.9095257879329709,51,0.7058823529411765,0.03921568627450989,0.18918847285141285,OK,D,DEMOTE_1,C,GOBLIN,below_current_tier_gates,
NBA,NBA,GOBLIN,D,OVER,3-PT Made,688,0.5959302325581395,0.6134,487,0.6344969199178645,0.038566687359725016,0.13284986286388492,OK,C,PROMOTE_1,C,GOBLIN,meets_higher_tier_gates,
NHL,NHL,DEMON,D,OVER,Goals,863,0.15874855156431056,0.1,325,0.19692307692307692,0.038174525358766365,0.15584213987066267,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_watchlist,WATCHLIST
NBA,NBA,STANDARD,D,UNDER,Rebounds,290,0.5310344827586206,0.47804,174,0.5689655172413793,0.037931034482758696,0.08388811540942398,OK,D,HOLD,D,STANDARD_UNDER,at_target,
CBB,CBB,GOBLIN,C,OVER,fg3m,160,0.5875,0.905878747374614,80,0.625,0.03749999999999998,0.17883000430365853,OK,D,DEMOTE_1,D,GOBLIN,below_current_tier_gates,
NBA,NBA,GOBLIN,D,OVER,Rebs+Asts,2344,0.6117747440273038,0.9084086470781334,703,0.647226173541963,0.03545142951465918,0.1627986810765792,OK,C,PROMOTE_1,C,GOBLIN,meets_higher_tier_gates,
NHL,NHL,DEMON,D,OVER,Points,1146,0.2111692844677138,0.1,488,0.2459016393442623,0.034732354876548494,0.14417362059062538,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_watchlist,WATCHLIST
MLB,MLB,DEMON,B,OVER,Total Bases,934,0.14132762312633834,0.0838,551,0.17604355716878403,0.03471593404244569,0.1981492198060602,OK,B,DEMON_KEEP,B,DEMON_KEEP,demon_floor_confident,APPLY_FLOOR
CBB,CBB,STANDARD,D,OVER,pr,178,0.398876404494382,0.5880681872367859,90,0.43333333333333335,0.03445692883895135,0.31710768609766593,OK,D,HOLD,D,STANDARD_OVER,at_target,
NBA,NBA,STANDARD,D,UNDER,3-PT Attempted,136,0.49264705882352944,0.4435,95,0.5263157894736842,0.03366873065015474,0.08616729029303975,OK,D,HOLD,D,STANDARD_UNDER,at_target,
NBA,NBA,GOBLIN,D,OVER,Turnovers,410,0.5829268292682926,0.67305,205,0.6146341463414634,0.03170731707317076,0.1650538962397347,OK,D,HOLD,D,GOBLIN,at_target,
NBA,NBA,GOBLIN,C,OVER,Pts+Rebs,881,0.6935300794551645,0.9110772429021696,265,0.7245283018867924,0.030998222431627864,0.1664413272122509,OK,C,HOLD,C,GOBLIN,at_target,
NBA,NBA,STANDARD,D,OVER,Free Throws Attempted,207,0.5555555555555556,0.6637,104,0.5865384615384616,0.030982905982905984,0.2018162678894721,OK,D,HOLD,D,STANDARD_OVER,at_target,
NBA,NBA,GOBLIN,C,OVER,Pts+Rebs+Asts,980,0.6469387755102041,0.9108,298,0.6778523489932886,0.030913573483084544,0.1758573188594561,OK,C,HOLD,C,GOBLIN,at_target,
NBA,NBA,GOBLIN,D,OVER,Assists,1080,0.6083333333333333,0.7391070070703891,432,0.6388888888888888,0.030555555555555558,0.12637623568990117,OK,C,PROMOTE_1,C,GOBLIN,meets_higher_tier_gates,
NBA,NBA,GOBLIN,D,OVER,Pts+Rebs+Asts,2731,0.6213841083852069,0.9078,823,0.6512758201701093,0.029891711784902464,0.1758573188594561,OK,C,PROMOTE_1,C,GOBLIN,meets_higher_tier_gates,
NBA,NBA,GOBLIN,C,OVER,Rebs+Asts,687,0.6710334788937409,0.9108,213,0.6995305164319249,0.028497037538184,0.1627986810765792,OK,C,HOLD,C,GOBLIN,at_target,
NBA,NBA,GOBLIN,C,OVER,Steals,252,0.6031746031746031,0.81142,76,0.631578947368421,0.028404344193817876,0.16144033747504558,OK,D,DEMOTE_1,D,GOBLIN,below_current_tier_gates,
NBA,NBA,GOBLIN,B,OVER,Pts+Asts,344,0.7238372093023255,0.7098,278,0.7517985611510791,0.02796135184875359,0.14973533935536873,OK,C,DEMOTE_1,C,GOBLIN,below_current_tier_gates,
NBA,NBA,DEMON,D,OVER,Pts+Rebs,669,0.35874439461883406,,669,0.35874439461883406,0.0,0.34049783756353336,HOLDOUT_RECALIBRATE,D,DEMON_KEEP,D,DEMON_KEEP,demon_no_retier_holdout,HOLDOUT
NBA,NBA,GOBLIN,D,OVER,Rebounds,1464,0.6263661202185792,0.9066008414730367,439,0.6537585421412301,0.0273924219226509,0.14773393708015664,OK,C,PROMOTE_1,C,GOBLIN,meets_higher_tier_gates,
NBA,NBA,STANDARD,D,UNDER,FG Made,169,0.4319526627218935,0.3845013324091014,135,0.45925925925925926,0.02730659653736578,0.14260867311066874,OK,D,HOLD,D,STANDARD_UNDER,at_target,
NBA,NBA,STANDARD,D,UNDER,Pts+Asts,519,0.49903660886319845,0.41568,363,0.5261707988980716,0.027134190034873162,0.08851622773563497,OK,D,HOLD,D,STANDARD_UNDER,at_target,
NBA,NBA,STANDARD,D,OVER,Pts+Rebs+Asts,1186,0.4873524451939292,0.8988,475,0.5136842105263157,0.02633176533238657,0.28924825589494996,OK,D,HOLD,D,STANDARD_OVER,at_target,
MLB,MLB,DEMON,D,OVER,Walks,5598,0.2840300107181136,0.2057,1836,0.3099128540305011,0.025882843312387493,0.1837089447002717,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_confident,APPLY_FLOOR
MLB,MLB,GOBLIN,C,OVER,Hits,209,0.6124401913875598,0.40225999999999995,146,0.636986301369863,0.02454610998230322,0.17785441532151838,OK,D,DEMOTE_1,D,GOBLIN,below_current_tier_gates,
CBB,CBB,GOBLIN,C,OVER,stl,249,0.606425702811245,0.9058872380914875,149,0.6308724832214765,0.024446780410231517,0.21499952861624633,OK,D,DEMOTE_1,D,GOBLIN,below_current_tier_gates,
Soccer,Soccer,DEMON,A,OVER,Shots,264,0.17045454545454544,0.1,77,0.19480519480519481,0.024350649350649373,0.058094007570717476,OK,A,DEMON_KEEP,A,DEMON_KEEP,demon_floor_thin_sample,HOLD
NBA,NBA,GOBLIN,B,OVER,Assists,427,0.7142857142857143,0.9108,176,0.7386363636363636,0.024350649350649345,0.12637623568990117,OK,D,DEMOTE_1,C,GOBLIN,below_current_tier_gates,
NBA,NBA,STANDARD,D,UNDER,Points,525,0.52,0.50598,158,0.5443037974683544,0.024303797468354427,0.08590404918862102,OK,D,HOLD,D,STANDARD_UNDER,at_target,
NBA,NBA,GOBLIN,D,OVER,Blks+Stls,514,0.5603112840466926,0.786339244705437,154,0.5844155844155844,0.024104300368891773,0.16624200433723052,OK,D,HOLD,D,GOBLIN,at_target,
NBA,NBA,DEMON,D,OVER,Pts+Asts,595,0.35126050420168065,,595,0.35126050420168065,0.0,0.3081909914871619,HOLDOUT_RECALIBRATE,D,DEMON_KEEP,D,DEMON_KEEP,demon_no_retier_holdout,HOLDOUT
NBA1Q,NBA1Q,GOBLIN,A,OVER,Rebounds,467,0.9721627408993576,0.9155,201,0.9950248756218906,0.022862134722532956,0.06859022943981254,OK,C,DEMOTE_1,B,GOBLIN,below_current_tier_gates,
MLB,MLB,DEMON,D,OVER,Hitter Strikeouts,3127,0.21010553245922609,0.1109,2321,0.23265833692373977,0.022552804464513687,0.0738373392047281,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_confident,APPLY_FLOOR
NBA,NBA,GOBLIN,C,OVER,Fantasy Score,259,0.7876447876447876,0.7214,200,0.81,0.022355212355212428,0.11697980454343875,OK,C,HOLD,C,GOBLIN,at_target,
NBA,NBA,STANDARD,D,OVER,Pts+Rebs,1122,0.48841354723707664,0.90377,337,0.5103857566765578,0.021972209439481194,0.2749863989622314,OK,D,HOLD,D,STANDARD_OVER,at_target,
NBA,NBA,STANDARD,D,OVER,Rebs+Asts,744,0.4798387096774194,0.9002,301,0.5016611295681063,0.021822419890686895,0.275326804473794,OK,D,HOLD,D,STANDARD_OVER,at_target,
NBA,NBA,STANDARD,D,UNDER,Rebs+Asts,354,0.4943502824858757,0.4301131756130401,248,0.5161290322580645,0.0217787497721888,0.07652464850383937,OK,D,HOLD,D,STANDARD_UNDER,at_target,
NBA,NBA,DEMON,D,OVER,Double-Double,480,0.16041666666666668,,480,0.16041666666666668,0.0,0.5728030921161197,HOLDOUT_RECALIBRATE,D,DEMON_KEEP,D,DEMON_KEEP,demon_no_retier_holdout,HOLDOUT
CBB,CBB,STANDARD,D,OVER,ra,149,0.4697986577181208,0.6370214046090416,45,0.4888888888888889,0.01909023117076808,0.2946880958614721,OK,D,HOLD,D,STANDARD_OVER,at_target,
NBA,NBA,STANDARD,D,OVER,FG Attempted,390,0.49743589743589745,0.5093,248,0.5161290322580645,0.018693134822167057,0.21767250379204506,OK,D,HOLD,D,STANDARD_OVER,at_target,
NBA,NBA,DEMON,D,OVER,Assists,550,0.4218181818181818,0.4098335501757999,330,0.4393939393939394,0.017575757575757578,0.21252843858471143,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_watchlist,WATCHLIST
NBA,NBA,GOBLIN,C,OVER,Assists,538,0.6635687732342007,0.73676,323,0.6811145510835913,0.017545777849390598,0.12637623568990117,OK,C,HOLD,C,GOBLIN,at_target,
NBA,NBA,STANDARD,C,OVER,Pts+Rebs+Asts,147,0.46258503401360546,0.9024797655478846,75,0.48,0.017414965986394526,0.28924825589494996,OK,D,DEMOTE_1,D,STANDARD_OVER,below_current_tier_gates,
NHL,NHL,STANDARD,A,UNDER,Hits,222,0.49099099099099097,0.6676747162552201,179,0.5083798882681564,0.017388897277165416,0.15754151785629658,OK,D,DEMOTE_1,B,STANDARD_UNDER,below_current_tier_gates,
NBA,NBA,DEMON,D,OVER,Free Throws Made,163,0.4785276073619632,0.4444,101,0.49504950495049505,0.016521897588531842,0.25267845535301464,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_thin_sample,HOLD
NBA,NBA,DEMON,D,OVER,FG Made,122,0.4262295081967213,0.50315,61,0.4426229508196721,0.016393442622950838,0.22602367837313536,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_thin_sample,HOLD
MLB,MLB,STANDARD,D,OVER,Runs,142,0.38028169014084506,0.46,106,0.39622641509433965,0.015944724953494582,0.16010117586193712,OK,D,HOLD,D,STANDARD_OVER,at_target,
MLB,MLB,GOBLIN,A,OVER,Hits Allowed,127,0.6771653543307087,0.36286000000000007,114,0.6929824561403509,0.015817101809642242,0.2956783253073655,OK,D,DEMOTE_1,B,GOBLIN,below_current_tier_gates,
CBB,CBB,STANDARD,D,OVER,pra,169,0.46153846153846156,0.5880681872367859,88,0.4772727272727273,0.01573426573426573,0.32006038511808504,OK,D,HOLD,D,STANDARD_OVER,at_target,
MLB,MLB,DEMON,D,OVER,Hits,6486,0.1933395004625347,0.1295,2160,0.20879629629629629,0.015456795833761583,0.16013749493786245,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_confident,APPLY_FLOOR
NBA,NBA,DEMON,D,OVER,Blocked Shots,432,0.3587962962962963,0.31218,345,0.3739130434782609,0.015116747181964596,0.20774442974095242,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_watchlist,WATCHLIST
NBA,NBA,DEMON,D,OVER,Steals,268,0.417910447761194,0.5034987057028215,81,0.43209876543209874,0.014188317670904727,0.1774936548740012,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_thin_sample,HOLD
NBA1H,NBA1H,STANDARD,C,OVER,Points,178,0.5280898876404494,0.89674,142,0.5422535211267606,0.014163633486311222,0.3516730392679648,OK,D,DEMOTE_1,D,STANDARD_OVER,below_current_tier_gates,
NBA,NBA,GOBLIN,B,OVER,3-PT Made,322,0.7204968944099379,0.9118,162,0.7345679012345679,0.014071006824630028,0.13284986286388492,OK,D,DEMOTE_1,C,GOBLIN,below_current_tier_gates,
MLB,MLB,STANDARD,A,OVER,Total Bases,151,0.5364238410596026,0.3877,129,0.5503875968992248,0.013963755839622172,0.17667841815912907,OK,D,DEMOTE_1,B,STANDARD_OVER,below_current_tier_gates,
NBA,NBA,GOBLIN,C,OVER,Pts+Asts,674,0.6824925816023739,0.9114,204,0.696078431372549,0.013585849770175074,0.14973533935536873,OK,C,HOLD,C,GOBLIN,at_target,
NBA,NBA,STANDARD,D,OVER,Rebounds,671,0.45901639344262296,0.6446608083074645,269,0.4721189591078067,0.013102565665183752,0.23863681551060667,OK,D,HOLD,D,STANDARD_OVER,at_target,
NBA1Q,NBA1Q,GOBLIN,A,OVER,Assists,231,0.987012987012987,0.8911,139,1.0,0.012987012987012991,0.10638625558203044,OK,D,DEMOTE_1,B,GOBLIN,below_current_tier_gates,
NBA,NBA,GOBLIN,D,OVER,Points,2466,0.6516626115166261,0.9063,992,0.6643145161290323,0.012651904612406173,0.15742149862061852,OK,C,PROMOTE_1,C,GOBLIN,meets_higher_tier_gates,
NBA,NBA,DEMON,D,OVER,Rebs+Asts,1221,0.3366093366093366,,1221,0.3366093366093366,0.0,0.2853105796116866,HOLDOUT_RECALIBRATE,D,DEMON_KEEP,D,DEMON_KEEP,demon_no_retier_holdout,HOLDOUT
MLB,MLB,GOBLIN,C,OVER,Hitter Strikeouts,143,0.6643356643356644,0.3857,105,0.6761904761904762,0.011854811854811853,0.13355216804707082,OK,D,DEMOTE_1,D,GOBLIN,below_current_tier_gates,
NBA,NBA,DEMON,D,OVER,Pts+Rebs+Asts,1411,0.3614457831325301,,1411,0.3614457831325301,0.0,0.370371635863863,HOLDOUT_RECALIBRATE,D,DEMON_KEEP,D,DEMON_KEEP,demon_no_retier_holdout,HOLDOUT
NBA,NBA,STANDARD,D,OVER,Two Pointers Made,184,0.5163043478260869,0.6183147500130167,74,0.527027027027027,0.010722679200940055,0.19791693757683534,OK,D,HOLD,D,STANDARD_OVER,at_target,
NBA,NBA,STANDARD,D,OVER,Free Throws Made,254,0.484251968503937,0.5093,186,0.4946236559139785,0.010371687410041519,0.23213123670966765,OK,D,HOLD,D,STANDARD_OVER,at_target,
NBA,NBA,STANDARD,D,OVER,Points,871,0.48220436280137774,0.9036703575417779,262,0.49236641221374045,0.010162049412362706,0.2729943904706523,OK,D,HOLD,D,STANDARD_OVER,at_target,
NBA,NBA,STANDARD,D,OVER,FG Made,306,0.49019607843137253,0.4809,246,0.5,0.009803921568627472,0.2015766349164493,OK,D,HOLD,D,STANDARD_OVER,at_target,
MLB,MLB,DEMON,B,OVER,Pitcher Strikeouts,248,0.13306451612903225,0.0838,217,0.14285714285714285,0.009792626728110598,0.23875283958973387,OK,B,DEMON_KEEP,B,DEMON_KEEP,demon_floor_thin_sample,HOLD
NBA,NBA,STANDARD,D,UNDER,Points (Combo),623,0.5232744783306581,0.3530617606510967,499,0.533066132264529,0.009791653933870936,0.13663576233135602,OK,D,HOLD,D,STANDARD_UNDER,at_target,
NBA,NBA,STANDARD,D,OVER,Assists,274,0.4635036496350365,0.5093,203,0.4729064039408867,0.009402754305850192,0.22371569019504092,OK,D,HOLD,D,STANDARD_OVER,at_target,
MLB,MLB,GOBLIN,D,OVER,Hits,1599,0.5647279549718575,0.3273,1413,0.5739561217268223,0.00922816675496485,0.17785441532151838,OK,D,HOLD,D,GOBLIN,at_target,
NBA1Q,NBA1Q,GOBLIN,A,OVER,Points,868,0.881336405529954,0.866,787,0.8894536213468869,0.008117215816932921,0.07925537540818771,OK,C,DEMOTE_1,B,GOBLIN,below_current_tier_gates,
NBA,NBA,GOBLIN,C,OVER,Rebounds,829,0.6501809408926418,0.7214,503,0.658051689860835,0.007870748968193175,0.14773393708015664,OK,C,HOLD,C,GOBLIN,at_target,
MLB,MLB,DEMON,D,OVER,Home Runs,5205,0.11604226705091258,0.1295,4031,0.12329446787397669,0.007252200823064103,0.17367243877471003,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_confident,APPLY_FLOOR
