sport,pipeline,pick_type,tier,direction,prop,n_total,base_hit_rate,recommended_min_ml_prob,recommended_n,recommended_hit_rate,lift_vs_base,avg_calibration_gap,policy_status,gate_tier_target,gate_action,gate_tier_proposed,gate_profile,gate_notes,demon_floor_action
Soccer,Soccer,DEMON,D,OVER,Assists,480,0.07083333333333333,,480,0.07083333333333333,0.0,0.022989958309199317,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_watchlist,WATCHLIST
NHL,NHL,DEMON,D,OVER,Power Play Points,462,0.5346320346320347,,462,0.5346320346320347,0.0,0.5829615823791348,HOLDOUT_RECALIBRATE,D,DEMON_KEEP,D,DEMON_KEEP,demon_no_retier_holdout,HOLDOUT
MLB,MLB,GOBLIN,B,OVER,Hitter Strikeouts,450,0.5955555555555555,,450,0.5955555555555555,0.0,0.13355216804707082,OK,D,DEMOTE_1,C,GOBLIN,below_current_tier_gates,
MLB,MLB,GOBLIN,C,OVER,Total Bases,381,0.5905511811023622,,381,0.5905511811023622,0.0,0.18242187740126026,OK,D,DEMOTE_1,D,GOBLIN,below_current_tier_gates,
MLB,MLB,DEMON,A,OVER,Runs,359,0.1309192200557103,,359,0.1309192200557103,0.0,0.15734764662026152,OK,A,DEMON_KEEP,A,DEMON_KEEP,demon_floor_watchlist,WATCHLIST
MLB,MLB,DEMON,D,OVER,Pitcher Strikeouts,355,0.24507042253521127,,355,0.24507042253521127,0.0,0.23875283958973387,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_watchlist,WATCHLIST
Soccer,Soccer,DEMON,A,OVER,Tackles,334,0.23053892215568864,,334,0.23053892215568864,0.0,0.2115873192217993,HOLDOUT_RECALIBRATE,A,DEMON_KEEP,A,DEMON_KEEP,demon_no_retier_holdout,HOLDOUT
NBA,NBA,GOBLIN,B,OVER,Steals,280,0.6214285714285714,,280,0.6214285714285714,0.0,0.16144033747504558,OK,C,DEMOTE_1,C,GOBLIN,below_current_tier_gates,
NHL,NHL,DEMON,D,OVER,Blocked Shots,260,0.2076923076923077,,260,0.2076923076923077,0.0,0.17220175479465932,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_thin_sample,HOLD
MLB,MLB,DEMON,D,OVER,Walks Allowed,256,0.26953125,,256,0.26953125,0.0,0.28018823432150636,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_thin_sample,HOLD
NBA,NBA,STANDARD,D,OVER,Two Pointers Attempted,256,0.5546875,,256,0.5546875,0.0,0.2380875071278425,OK,D,HOLD,D,STANDARD_OVER,at_target,
NHL,NHL,GOBLIN,A,OVER,Shots On Goal,250,0.0,,250,0.0,0.0,0.39326391755725965,OK,D,DEMOTE_1,B,GOBLIN,below_current_tier_gates,
NBA,NBA,STANDARD,D,OVER,Turnovers,246,0.483739837398374,,246,0.483739837398374,0.0,0.22063246439499345,OK,D,HOLD,D,STANDARD_OVER,at_target,
MLB,MLB,DEMON,A,OVER,Hits,227,0.1013215859030837,,227,0.1013215859030837,0.0,0.16013749493786245,OK,A,DEMON_KEEP,A,DEMON_KEEP,demon_floor_thin_sample,HOLD
MLB,MLB,STANDARD,D,OVER,Total Bases,225,0.41333333333333333,,225,0.41333333333333333,0.0,0.17667841815912907,OK,D,HOLD,D,STANDARD_OVER,at_target,
CBB,CBB,STANDARD,D,OVER,pts,208,0.4567307692307692,,208,0.4567307692307692,0.0,0.33775747154373137,OK,D,HOLD,D,STANDARD_OVER,at_target,
NBA,NBA,DEMON,D,OVER,Turnovers,207,0.43478260869565216,,207,0.43478260869565216,0.0,0.21421888708893244,OK,D,DEMON_KEEP,D,DEMON_KEEP,demon_floor_thin_sample,HOLD
NBA,NBA,STANDARD,D,OVER,3-PT Attempted,199,0.5125628140703518,,199,0.5125628140703518,0.0,0.1843788844524378,OK,D,HOLD,D,STANDARD_OVER,at_target,
NHL,NHL,DEMON,C,OVER,Goals,193,0.21243523316062177,,193,0.21243523316062177,0.0,0.15584213987066267,OK,C,DEMON_KEEP,C,DEMON_KEEP,demon_floor_thin_sample,HOLD
NBA,NBA,GOBLIN,D,OVER,3-PT Attempted,168,0.5178571428571429,,168,0.5178571428571429,0.0,0.2639019907160603,OK,D,HOLD,D,GOBLIN,at_target,
