sport_disp,prop_type,pick_type_group,n_total,hit_rate,l5_hit_rate,edge_abs_mean,consistency,hit_rate_norm,l5_hit_rate_norm,edge_abs_mean_norm,consistency_norm,tier_score,tier_abcd
NHL,Faceoffs Won,Demon,52,1.0,1.0,0.5,1.0,1.0,1.0,0.019985914688695587,1.0,0.803997182937739,A
NBA,Two Pointers Attempted,Demon,246,0.4878048780487805,0.8,0.6932420091324201,0.0002974862478443141,0.4878048780487805,0.8,0.027710151306280947,0.0002974862478443141,0.416318360515506,A
NBA1H,3-PT Made,Demon,16,0.5,0.8,0.0,0.0,0.5,0.8,0.0,0.0,0.415,A
Soccer,Goals Allowed,Demon,21,0.6190476190476191,0.6,1.0,0.028758187887088615,0.6190476190476191,0.6,0.039971829377391174,0.028758187887088615,0.4089747607252082,A
NBA,3-PT Attempted,Demon,243,0.4609053497942387,0.8,0.5163551401869159,0.003061469647623327,0.4609053497942387,0.8,0.020639659561690303,0.003061469647623327,0.4059040247874651,A
NBA1Q,Points,Demon,1777,0.5931344963421497,0.4,5.69814400993172,0.017501215082493582,0.5931344963421497,0.4,0.22776524013279428,0.017501215082493582,0.3757753040086852,A
NBA,Rebounds,Demon,1184,0.34375,0.8,0.5156412930135558,0.05008224040183351,0.34375,0.8,0.02061112578427522,0.05008224040183351,0.37194706121713006,A
NBA,Fantasy Score,Demon,774,0.38372093023255816,0.6,4.544048913043478,0.02741750389179154,0.38372093023255816,0.6,0.18163394783469375,0.02741750389179154,0.35474174073210285,A
NHL,Hits,Demon,65,0.46153846153846156,0.6,0.5,0.002962969475713839,0.46153846153846156,0.6,0.019985914688695587,0.002962969475713839,0.34598008989755774,A
NBA1Q,Assists,Demon,978,0.7249488752556237,0.2,1.4330683090705487,0.10691992851429077,0.7249488752556237,0.2,0.05728236193631445,0.10691992851429077,0.3412265680038748,A
NBA1Q,Rebounds,Demon,1178,0.5789473684210527,0.4,1.8193749999999997,0.012544050563488396,0.5789473684210527,0.4,0.07272374707349105,0.012544050563488396,0.33905793594658984,A
MLB,Pitching Outs,Demon,101,0.5148514851485149,0.4,4.707920792079208,0.00044123056443878816,0.5148514851485149,0.4,0.1881842066232624,0.00044123056443878816,0.33790104571129853,A
NBA,FG Made,Demon,269,0.4275092936802974,0.6,0.6222178988326849,0.010565621180928075,0.4275092936802974,0.6,0.02487118768769892,0.010565621180928075,0.336187333502783,A
NBA,Personal Fouls,Demon,314,0.4299363057324841,0.6,0.27104395604395604,0.00986651658357085,0.4299363057324841,0.6,0.010834122764762123,0.00986651658357085,0.3341245090468575,A
NBA,Turnovers,Demon,381,0.4199475065616798,0.6,0.2611849710982659,0.01290000852130957,0.4199475065616798,0.6,0.010440041100678728,0.01290000852130957,0.33100463679492015,A
CBB,tov,Demon,123,0.3902439024390244,0.6,0.4281382113821138,0.024390243902439046,0.3902439024390244,0.6,0.01711346753530729,0.024390243902439046,0.3236665959460858,A
NBA,Pts+Asts,Demon,1191,0.3434089000839631,0.6,1.79438330170778,0.0503069392122828,0.3434089000839631,0.6,0.07172478317350321,0.0503069392122828,0.3220841125459301,A
NBA,3-PT Made,Demon,1162,0.3313253012048193,0.6,0.32193298969072165,0.05862048888590088,0.3313253012048193,0.6,0.012868250534870958,0.05862048888590088,0.3073305788615461,A
MLB,Pitches Thrown,Demon,21,0.23809523809523808,0.0,25.017619047619046,0.14816458000008015,0.23809523809523808,0.0,1.0,0.14816458000008015,0.30555802033334534,A
NBA,Steals,Demon,632,0.3259493670886076,0.6,0.21601214574898786,0.06254306299831836,0.3259493670886076,0.6,0.008634400633322697,0.06254306299831836,0.305190618057425,B
NBA,Offensive Rebounds,Demon,56,0.30357142857142855,0.6,0.0,0.08040048645830489,0.30357142857142855,0.6,0.0,0.08040048645830489,0.29831007296874573,B
NBA,FG Attempted,Demon,108,0.4722222222222222,0.4,1.010462962962963,0.0015444024660318245,0.4722222222222222,0.4,0.04039005314772869,0.0015444024660318245,0.29358744877722825,B
NBA,Two Pointers Made,Demon,322,0.468944099378882,0.4,0.5070967741935485,0.0019308019248139852,0.468944099378882,0.4,0.02026958573588998,0.0019308019248139852,0.2884739722185088,B
Soccer,Shots On Target,Demon,1225,0.4114285714285714,0.4,0.8569795918367349,0.015814850669212177,0.4114285714285714,0.4,0.0342550420248043,0.015814850669212177,0.27322323600534265,B
CBB,pra,Demon,644,0.2639751552795031,0.4,4.391322670807454,0.11842805699213566,0.2639751552795031,0.4,0.17552920053858526,0.11842805699213566,0.2652613530043635,B
NBA,Assists,Demon,1161,0.3763996554694229,0.4,0.43751565762004174,0.03103569759887914,0.3763996554694229,0.4,0.017488301216325403,0.03103569759887914,0.2598928942973949,B
NBA,Blks+Stls,Demon,569,0.36203866432337434,0.4,0.3094876660341556,0.038820162803398395,0.36203866432337434,0.4,0.01237078818112429,0.038820162803398395,0.25501071456991564,B
NBA,Rebs+Asts,Demon,2349,0.34184759472115794,0.4,0.8776065573770492,0.051342386939277396,0.34184759472115794,0.4,0.035079539571955067,0.051342386939277396,0.2543639241076879,B
NBA,Blocked Shots,Demon,842,0.3515439429928741,0.4,0.17773533424283766,0.0450951897955546,0.3515439429928741,0.4,0.007104406454688298,0.0450951897955546,0.2512255398077768,B
MLB,Hits Allowed,Demon,619,0.2552504038772213,0.4,2.380096930533118,0.1279962495545407,0.2552504038772213,0.4,0.09513682840892225,0.1279962495545407,0.24756444447199302,B
NHL,Blocked Shots,Demon,351,0.24786324786324787,0.4,0.5,0.13645600408101966,0.24786324786324787,0.4,0.019985914688695587,0.13645600408101966,0.2312177203020288,B
MLB,Hitter Strikeouts,Demon,3449,0.2006378660481299,0.4,0.7888402435488547,0.19904478837881934,0.2006378660481299,0.4,0.03153138762115452,0.19904478837881934,0.22638624889789927,B
NBA,Free Throws Attempted,Demon,384,0.4427083333333333,0.2,0.6479250720461095,0.0065863602092921525,0.4427083333333333,0.2,0.025898750429160972,0.0065863602092921525,0.22111562078389266,B
CBB,fantasy score,Demon,126,0.2857142857142857,0.2,5.772536507936507,0.09649209709474871,0.2857142857142857,0.2,0.23073884436999953,0.09649209709474871,0.2206215834382122,B
NHL,Goals,Demon,1621,0.16841455891425047,0.4,0.3110155459592844,0.25153197727633303,0.16841455891425047,0.4,0.012431860336800679,0.25153197727633303,0.21916126427879776,B
CBB,ra,Demon,38,0.42105263157894735,0.2,0.7977210526315787,0.012544050563488618,0.42105263157894735,0.2,0.031886369806542345,0.012544050563488618,0.21562730259846333,B
