sport_disp,prop,direction,pick_type,line_bucket,n,hits,mean_ml,context_known_rate,defense_known_rate,minutes_known_rate,hit_rate
NBA,Two Pointers Attempted,OVER,Demon,low,99,44.0,0.5734252063057238,1.0,1.0,0.7575757575757576,0.4444444444444444
NBA,FG Attempted,UNDER,Standard,mid,98,54.0,0.48080356864301943,1.0,1.0,0.7653061224489796,0.5510204081632653
NBA,Two Pointers Attempted,OVER,Goblin,mid,98,53.0,0.7372371354476619,1.0,1.0,0.7857142857142857,0.5408163265306123
NBA,Offensive Rebounds,UNDER,Standard,micro,96,40.0,0.6664201409706801,1.0,1.0,0.0,0.4166666666666667
NBA,Rebounds,UNDER,Standard,low,95,43.0,0.4924820725155292,1.0,1.0,0.7368421052631579,0.45263157894736844
NBA,Steals,OVER,Demon,micro,93,36.0,0.5035927388342439,1.0,1.0,0.8064516129032258,0.3870967741935484
NBA,Two Pointers Attempted,OVER,Standard,low,93,55.0,0.6872139616220672,1.0,1.0,0.8172043010752689,0.5913978494623656
NBA,3-PT Attempted,UNDER,Standard,low,91,35.0,0.49009286610111086,1.0,1.0,0.6263736263736264,0.38461538461538464
NBA,Two Pointers Made,OVER,Goblin,micro,91,61.0,0.8031000433634737,1.0,1.0,0.7582417582417582,0.6703296703296703
NBA,Two Pointers Attempted,OVER,Demon,mid,89,51.0,0.703125998712644,1.0,1.0,0.6853932584269663,0.5730337078651685
NBA,Free Throws Made,OVER,Goblin,micro,87,52.0,0.7553372650712139,1.0,1.0,0.7816091954022989,0.5977011494252874
NBA,Rebs+Asts,OVER,,xl,87,33.0,,1.0,0.0,0.0,0.3793103448275862
NBA,Rebs+Asts,UNDER,,xl,87,54.0,,1.0,0.0,0.0,0.6206896551724138
NBA,FG Made,OVER,Demon,low,86,38.0,0.5336031073843819,1.0,1.0,0.7906976744186046,0.4418604651162791
NBA,Points,OVER,Demon,mid,86,38.0,0.6142506277917532,1.0,1.0,0.8255813953488372,0.4418604651162791
NBA,Assists,OVER,Demon,high,79,29.0,0.6098742457245224,1.0,1.0,0.5949367088607594,0.3670886075949367
NBA,3-PT Attempted,OVER,Demon,low,78,39.0,0.5231998017340854,1.0,1.0,0.6923076923076923,0.5
NBA,Two Pointers Made,OVER,Goblin,mid,74,45.0,0.7390174050144503,1.0,1.0,0.7432432432432432,0.6081081081081081
NBA,3-PT Made,OVER,Demon,micro,72,25.0,0.5817065678459346,1.0,1.0,0.625,0.3472222222222222
NBA,Free Throws Attempted,OVER,Standard,micro,70,37.0,0.8250950640713244,1.0,1.0,0.7714285714285715,0.5285714285714286
NBA,FG Attempted,OVER,,low,69,40.0,,1.0,0.0,0.0,0.5797101449275363
NBA,FG Attempted,UNDER,,low,69,29.0,,1.0,0.0,0.0,0.42028985507246375
NBA,Fantasy Score,OVER,,high,69,45.0,,1.0,0.0,0.0,0.6521739130434783
NBA,Fantasy Score,UNDER,,high,69,24.0,,1.0,0.0,0.0,0.34782608695652173
NBA,Pts+Rebs,OVER,,mid,69,46.0,,1.0,0.0,0.0,0.6666666666666666
NBA,Pts+Rebs,UNDER,,mid,69,23.0,,1.0,0.0,0.0,0.3333333333333333
