sport_disp,pick_type_group,n_total,hit_rate,mean_ml_prob,sig_mean__actual,sig_mean__blended_score,sig_mean__defense_known,sig_mean__edge,sig_mean__edge_score,sig_mean__hit_rate,sig_mean__line,sig_mean__line_bucket_encoded,sig_mean__margin,sig_mean__minutes_known,sig_mean__ml_edge,sig_mean__projection,sig_mean__rank_score,avg_cal_gap,avg_lift,ok_rate,stat_signal_composite,segment_signal_n_features,segment_rating,segment_score,segment_tier_abcd
CBB,Goblin,7832,0.6207865168539326,0.7991128114508854,9.114402451481103,0.2604449490014779,0.8938968335035751,1.5866523049418977,0.10126270724756883,0.5901017419843474,7.5968462717058225,1.9251787538304392,1.427718935675536,0.0,0.2991128114508855,9.099063049095609,0.4881919777814186,0.22367525158555832,0.07590161829244936,1.0,0.5558077881495398,13,A,1.92762481551734,B
CBB,Standard OVER,4255,0.4709753231492362,0.7316737811093088,12.081198589894242,0.23789190584354825,0.8925969447708578,1.1371171562867215,0.08480917884579908,0.568458611481976,12.103995299647474,2.7863689776733254,-0.26110557768924303,0.0,0.23167378110930872,12.054856772908366,0.27797673453632316,0.28983988141533334,0.05614091615284404,1.0,0.5230061427102455,13,B,1.9970491542499298,A
CBB,Standard UNDER,4608,0.5464409722222222,0.5612883392429877,13.13359375,0.167314545722387,0.8511284722222222,-1.1748554638279383,0.28691444695226354,0.6291450924608819,13.429144965277779,2.990017361111111,0.2961581291759465,0.0,0.061288339242987724,11.985633389168063,0.4663822326648851,0.05094730898824313,0.1056687927993608,1.0,0.5826613858900074,13,A,2.1389213705688475,A
MLB,Goblin,41726,0.6037722283468341,0.6430743347936932,2.4116138618607104,0.6095479993735808,0.0,0.5755147869433926,0.011305676924281577,0.5768579651677654,1.7338350189330394,0.19793414178210228,0.677778842927671,0.9100800460144753,0.14307433479369322,2.309349805876432,1.3536332213860223,0.16218554121933426,0.011227198253108072,1.0,0.3617049224914333,13,B,1.8267504458092783,B
MLB,Standard OVER,5826,0.46343975283213185,0.47256559943080756,4.217988328184003,0.5324278356653765,0.0,0.8017679368348782,-0.16132789520690682,0.5468741307371349,4.173189152076897,0.6592859594919327,0.04479917610710608,0.9074836937864744,-0.027434400569192458,4.620020597322348,0.37180226570545827,0.139217787282778,0.03458689507360685,1.0,0.30352589241944383,13,A,1.9843075187984216,B
MLB,Standard UNDER,4475,0.5389944134078213,0.4893789497206704,7.176759776536313,0.607745495652174,0.0,-0.9123396648044693,-0.11422980869565218,0.3290963139120095,7.257877094972067,0.8187709497206704,-0.08111731843575419,0.8643575418994414,-0.01062105027932961,6.345537430167598,0.600272625698324,0.11896150123424426,0.04376772230909437,1.0,0.4036105909396737,13,A,2.0184858502208214,A
NBA,Goblin,70351,0.6500547255902546,0.7555695459707951,12.40124518485878,0.564516633629154,0.9948543730721667,3.186268455310598,-0.006018051625611258,,10.109856292021435,2.306690736450086,2.291388892837344,0.8701510994868588,0.2555695459707951,13.314006483366292,1.0336517267436534,0.15446351889114135,0.030184228752027926,1.0,0.7763723905636977,13,A,2.06212234794412,A
NBA,Standard OVER,23851,0.4937738459603371,0.649493557387113,13.55661397844954,0.5224278369709647,0.9868768605089934,2.1363877657121297,-0.03682341410045297,,13.21957150643579,2.7422749570248626,0.33704247201375204,0.8618087291937445,0.14949355738711306,15.318228359397928,0.3122806802054891,0.2113548361343734,0.027598295908030066,1.0,0.6667779773746094,13,A,2.1250347642175234,A
NBA,Standard UNDER,16698,0.5228769912564379,0.48990611080748847,14.099748472871003,0.45630997376967936,0.8659120852796742,-1.4338180599187802,-0.025629661851967363,,14.086297760210803,2.737273925020961,-0.013450712660198826,0.681039645466523,-0.010093889192511469,10.22708981287577,0.5513209301654294,0.1108797321703531,0.02717773792181374,1.0,0.5753235328410021,13,A,2.116868750675939,A
NBA1H,Goblin,16,0.8125,0.9494625,2.5,,0.9375,-0.5,,,0.9375,0.3125,1.5625,0.0,0.4494625,0.0,,0.0,0.0,0.0,0.35961008919545456,13,D,1.200574035678182,D
NBA1H,Standard OVER,2017,0.6445215666831928,0.8834682166990327,15.553743182944968,0.4706272664516567,0.9335647000495786,7.174506693108577,-0.03823316253662274,,11.134457114526525,2.9340604858701043,4.419286068418444,0.38274665344571146,0.3834682166990327,18.154248884481905,0.7083925811437404,0.24187002129759308,0.05862917363050606,1.0,0.7631826934036021,13,C,1.9329402118650088,C
NBA1H,Standard UNDER,560,0.4714285714285714,0.8024876785714286,10.313749999999999,0.6203473214285714,0.9517857142857142,-3.035286458333333,0.08948660714285714,,10.20625,2.432142857142857,-0.1075,0.0,0.30248767857142855,6.543267857142857,0.9947440273037542,0.26840451123508846,0.05280646858472019,1.0,0.5842167706508634,13,B,1.9196155136377788,B
NBA1Q,Goblin,4743,0.822686063672781,0.8606319389597961,5.005270925574531,0.761330662491006,0.9987349778621126,3.601161660777385,0.07287044888300735,,2.086337760910816,0.811090027408813,2.918933164663715,0.16129032258064516,0.36063193895979606,5.416004638414505,1.6197146042363433,0.08697612759643746,0.05368450671127384,1.0,0.6062713809970524,13,A,2.242638367863629,A
NBA1Q,Standard OVER,1359,0.6975717439293598,0.8333539122647038,5.328918322295806,0.6774420103123514,0.9992641648270787,3.1169683590875645,0.06851658104396768,,2.9782928623988227,1.1405445180279616,2.350625459896983,0.2229580573951435,0.3333539122647038,6.028388520971302,1.200060606060606,0.15596129199402003,0.12240268502804613,1.0,0.5828434636484545,13,D,1.8489939998925293,C
NBA1Q,Standard UNDER,334,0.3772455089820359,0.7360095808383234,3.4760479041916166,0.6420710743801653,1.0,-0.7882673267326732,0.16656859504132232,,2.9146706586826348,1.032934131736527,-0.561377245508982,0.0,0.23600958083832338,1.6987724550898202,0.746015625,0.21664073809523812,0.07028661961688032,1.0,0.43718363533159993,13,C,1.7892509478377268,C
NHL,Goblin,2729,0.45401245877610846,0.31242431032473694,1.2707951630633931,0.5085690864502942,0.9908391352143643,0.2042940271161598,-0.23893908591177884,0.7042895199706852,1.1991572004397215,0.5723708318065225,0.07163796262367167,0.0,-0.18757568967526303,0.2968598382749326,0.539236661780872,0.23755910917818177,0.027669369573719113,1.0,0.23225234046994575,13,D,1.4915257237353574,C
NHL,Standard OVER,1212,0.33003300330033003,0.31418437845153535,3.6884488448844883,0.43304891713124816,0.7607260726072608,0.12929818481848185,-0.1991697435249148,0.6292848184818483,5.1361386138613865,1.183993399339934,-1.4476897689768977,0.0,-0.18581562154846465,1.2584795321637425,0.5259356848184819,0.20318515278166585,0.0638984345169912,1.0,0.3224300235306676,13,D,1.7262961460417945,D
NHL,Standard UNDER,3707,0.6560561100620448,0.6664344020839773,5.343943889937956,0.6551990232338406,0.618289722147289,0.2263780415430267,0.0007094961702488301,0.5344961144090664,4.461316428378742,1.1556514701915295,0.8826274615592123,0.0,0.1664344020839773,0.9477380952380953,0.7375515025627192,0.26710026975234913,0.028996718991296758,0.7881448957189902,0.4960969769791648,13,C,1.67406232756321,D
Soccer,Goblin,1536,0.4192708333333333,0.4687758418931245,1.0305989583333333,0.1486996337356952,0.18684895833333334,0.10763671875000001,-0.025166641825877526,0.39327067669172927,0.9205729166666666,0.3313802083333333,0.11002604166666667,0.58203125,-0.031224158106875524,1.0282096354166665,4.207910271546635,0.2414280536757685,0.09754606315981766,1.0,0.23261138758250555,13,D,1.4338179416857528,C
Soccer,Standard OVER,344,0.25,0.22569795578838311,2.0,0.06310718460911871,0.06686046511627906,0.13677325581395347,-0.3090210391190261,0.6288461538461538,13.895348837209303,2.020348837209302,-11.895348837209303,0.6308139534883721,-0.27430204421161686,14.032122093023256,1.2058187134502925,0.0,0.0,0.0,0.36509058926498117,13,D,0.9063562357059924,D
Soccer,Standard UNDER,92,0.6956521739130435,0.3599390451555976,1.75,0.12943879225483865,0.05434782608695652,-0.4126086956521739,0.11751094743531312,0.18619565217391304,2.260869565217391,0.8586956521739131,-0.5108695652173914,0.7391304347826086,-0.14006095484440242,1.3515217391304348,0.7082608695652174,0.0,0.0,0.0,0.23196251915321958,13,D,0.8998928337482444,D
Tennis,Goblin,3407,0.40680950983269737,0.6125852362782506,11.998825946580569,0.47560076313472266,0.0,-0.6442735544467273,,,11.448048136190197,2.593777516877018,,0.0,,,,0.34718365258565226,0.021812369828835648,0.5755796888758439,0.499862378287518,13,D,1.177591116233303,D
Tennis,Standard OVER,588,0.49829931972789115,0.5854392857142857,18.210884353741495,0.5750865646258503,0.0,0.787312925170068,,,17.477040816326532,3.498299319727891,,0.0,,,,0.12240242923820631,0.050422411219555714,1.0,0.5328297752665065,13,B,1.9916379806041458,B
Tennis,Standard UNDER,236,0.5296610169491526,0.40194322033898305,23.576271186440678,0.16357330508474574,0.0,-7.067245762711864,,,23.029661016949152,3.7711864406779663,,0.0,,,,0.21194260517260513,0.10345528455284547,1.0,0.4665326235184527,13,C,1.9048672097240522,C
WNBA,Goblin,4608,0.6328125,0.6980478949652777,11.537760416666666,0.6301849895760946,0.8589409722222222,1.2189366319444443,-0.1255632383599722,,9.6025390625,2.3309461805555554,1.9352213541666667,0.8439670138888888,0.19804789496527778,10.82150390625,2.107865489483251,0.1307448822717589,0.025913220736697867,1.0,0.6917361408360396,13,A,2.0008996247971447,A
WNBA,Standard OVER,2928,0.4713114754098361,0.496394706284153,12.379747267759564,0.5363758696448188,0.8142076502732241,1.2811407103825136,-0.22537370926400585,,12.457479508196721,2.702185792349727,-0.07773224043715847,0.8698770491803278,-0.003605293715846995,13.558654371584698,0.18116557734204794,0.13132542499386066,0.052074486566917134,1.0,0.5613227808752448,13,A,2.0428102168111177,A
