sport_disp,pipeline_group,tier_group,prop,direction,pick_type_group,def_tier_norm,line_bucket,n,hits,mean_ml,context_known_rate,defense_known_rate,minutes_known_rate,hit_rate
NBA,NBA,B,Pts+Rebs+Asts,OVER,Goblin,Elite,xl,61,34.0,0.7769124014185684,1.0,1.0,1.0,0.5573770491803278
NBA,NBA,A,Rebs+Asts,OVER,Goblin,Elite,mid,60,40.0,0.8707219511218568,1.0,1.0,1.0,0.6666666666666666
NBA,NBA,A,Pts+Rebs,OVER,Goblin,Avg,mid,59,46.0,0.8573941573924454,1.0,1.0,1.0,0.7796610169491526
NBA,NBA,A,Fantasy Score,OVER,Standard OVER,Elite,xl,58,26.0,0.902971086979738,1.0,1.0,1.0,0.4482758620689655
NBA,NBA,A,Pts+Asts,OVER,Goblin,Above Avg,xl,58,34.0,0.8344288135255955,1.0,1.0,1.0,0.5862068965517241
NBA,NBA,A,Pts+Rebs,OVER,Goblin,Above Avg,mid,53,36.0,0.8713667431807546,1.0,1.0,1.0,0.6792452830188679
NBA,NBA,B,Rebs+Asts,OVER,Goblin,Elite,mid,49,31.0,0.7632481093588953,1.0,1.0,1.0,0.6326530612244898
NBA,NBA,A,Points,OVER,Goblin,Above Avg,xl,45,30.0,0.8426786662983251,1.0,1.0,1.0,0.6666666666666666
NBA,NBA,A,Pts+Rebs+Asts,OVER,Goblin,Elite,high,41,26.0,0.8099640020166167,1.0,1.0,1.0,0.6341463414634146
NBA,NBA,A,Pts+Rebs+Asts,UNDER,Standard UNDER,Elite,xl,40,16.0,0.4502917425036636,1.0,1.0,1.0,0.4
NBA,NBA,A,Rebounds,OVER,Goblin,Elite,mid,39,26.0,0.8812149039748582,1.0,1.0,1.0,0.6666666666666666
NBA,NBA,A,Points,OVER,Goblin,Avg,low,38,31.0,0.7942509539734021,1.0,1.0,1.0,0.8157894736842105
NBA,NBA,B,Rebounds,OVER,Goblin,Elite,mid,36,27.0,0.7631099630590764,1.0,1.0,1.0,0.75
NBA,NBA,A,Assists,OVER,Goblin,Avg,mid,35,22.0,0.8496596659593484,1.0,1.0,1.0,0.6285714285714286
NBA,NBA,A,Pts+Rebs,UNDER,Standard UNDER,Elite,xl,35,16.0,0.4168566597368919,1.0,1.0,1.0,0.45714285714285713
NBA,NBA,C,Pts+Rebs+Asts,UNDER,Standard UNDER,Elite,xl,35,23.0,0.5715782989793498,1.0,1.0,1.0,0.6571428571428571
NBA,NBA,A,Points,OVER,Goblin,Above Avg,low,34,26.0,0.8160570276448926,1.0,1.0,1.0,0.7647058823529411
NBA,NBA,A,Pts+Rebs,OVER,Goblin,Elite,xl,34,27.0,0.7612764041736899,1.0,1.0,1.0,0.7941176470588235
NBA,NBA,A,Pts+Asts,OVER,Goblin,Above Avg,mid,33,24.0,0.8342352379078999,1.0,1.0,1.0,0.7272727272727273
NBA,NBA,A,Rebs+Asts,OVER,Goblin,Elite,low,33,27.0,0.8423015120218621,1.0,1.0,1.0,0.8181818181818182
NBA,NBA,A,Pts+Asts,UNDER,Standard UNDER,Elite,xl,32,13.0,0.4162033166081661,1.0,1.0,1.0,0.40625
NBA,NBA,A,Pts+Rebs,OVER,Goblin,Elite,mid,32,25.0,0.8436700799729013,1.0,1.0,1.0,0.78125
NBA,NBA,A,Points,OVER,Goblin,Elite,low,31,22.0,0.7850583333333333,1.0,1.0,1.0,0.7096774193548387
NBA,NBA,A,Pts+Asts,OVER,Goblin,Elite,xl,31,23.0,0.7756926700060491,1.0,1.0,1.0,0.7419354838709677
NBA,NBA,C,Pts+Asts,UNDER,Standard UNDER,Elite,xl,31,18.0,0.5931454676927718,1.0,1.0,1.0,0.5806451612903226
NBA,NBA,D,Assists,OVER,Goblin,Above Avg,micro,31,23.0,0.7320906132604686,1.0,1.0,1.0,0.7419354838709677
NBA,NBA,A,Assists,OVER,Goblin,Above Avg,mid,30,23.0,0.9125069915277807,1.0,1.0,1.0,0.7666666666666667
NBA,NBA,A,Rebs+Asts,OVER,Goblin,Above Avg,low,30,15.0,0.8684622020152021,1.0,1.0,1.0,0.5
NBA,NBA,B,Pts+Rebs,OVER,Goblin,Elite,xl,30,19.0,0.8079334232401733,1.0,1.0,1.0,0.6333333333333333
NBA,NBA,A,Pts+Asts,OVER,Goblin,Avg,mid,29,24.0,0.8130943555282851,1.0,1.0,1.0,0.8275862068965517
