sport_disp,home_away,n
CBB,,21617
MLB,,78447
NBA,,114649
NBA,HOME,13476
NBA,AWAY,12392
NBA1H,,1896
NBA1Q,,9015
NHL,HOME,129820
NHL,AWAY,129194
NHL,,42633
Soccer,,39315
