sport,pick_type,direction,prop,n_total,base_hit_rate,recommended_min_ml_prob,recommended_n,recommended_hit_rate,lift_vs_base,flagged_bins,avg_cal_gap,max_cal_gap,cal_n_stratum,strat_n_total,strat_hit_rate,known_def_rate_w,known_minutes_rate_w,known_context_rate_w,retained_pct,lift_pp,calibration_risk,data_quality_flag
MLB,Demon,OVER,Total Bases,19213,0.2028834643210326,0.1109,8125,0.2589538461538461,0.0560703818328135,7,0.23450695214986192,0.6238987654320991,19213,21511.0,0.2036167542187718,0.0,0.7532425270791688,1.0,42.28907510539739,5.60703818328135,high,True
Soccer,(missing),OVER,Shots,9823,0.2194848824188129,0.3768,3024,0.3171296296296296,0.0976447472108166,4,0.31230277205931145,0.7862379450661308,9823,13495.0,0.2392738051130048,0.0,0.0,1.0,30.78489259900234,9.76447472108166,high,True
MLB,Demon,OVER,Runs,7724,0.2586742620403935,0.1295,5373,0.3037409268565047,0.0450666648161111,6,0.18412093988829228,0.3724383561643838,7724,8636.0,0.26146364057433996,0.0,0.75764242704956,1.0,69.5624029000518,4.50666648161111,high,True
MLB,Demon,OVER,Hits,6468,0.1914038342609771,0.0838,4764,0.2023509655751469,0.0109471313141698,7,0.18180884397842995,0.3882683137255007,6468,7208.0,0.1927025527192009,0.0,0.7649833518312985,1.0,73.65491651205937,1.09471313141698,high,True
MLB,Demon,OVER,Walks,5552,0.2840417867435158,0.2057,1906,0.3126967471143757,0.0286549603708598,5,0.18208981985289918,0.2318220689655167,5552,6229.0,0.2900947182533312,0.0,0.7489163589661262,1.0,34.329971181556196,2.8654960370859803,high,True
NBA,Goblin,OVER,Points,5245,0.6743565300285986,0.9101950098813636,1574,0.6963151207115629,0.0219585906829642,7,0.22580407049026413,0.2693119089237434,5245,9208.0,0.6701781059947871,1.0,0.8520851433536055,1.0,30.009532888465206,2.19585906829642,high,False
MLB,Goblin,OVER,Total Bases,5165,0.5914811229428848,0.3857,4798,0.5929553980825344,0.0014742751396495,4,0.2682262539142509,0.3517906432748549,5165,5753.0,0.5925604032678602,0.0,0.75195550147749,1.0,92.8944820909971,0.14742751396495,high,True
MLB,Goblin,OVER,Hits,5158,0.5965490500193874,0.3857,4684,0.6018360375747225,0.005286987555335,4,0.2402835119563781,0.3245232283464585,5158,5794.0,0.5968243010010356,0.0,0.7423196410079392,1.0,90.81039162466072,0.5286987555335,high,True
MLB,Demon,OVER,Home Runs,5015,0.1154536390827517,0.1295,3841,0.1228846654517052,0.0074310263689535,2,0.38814035784469186,0.4766754716981133,5015,5638.0,0.11617594891805605,0.0,0.7465413267115999,1.0,76.59022931206381,0.7431026368953499,high,True
NBA,Goblin,OVER,Pts+Rebs+Asts,4485,0.6321070234113713,0.9094823368486776,1346,0.6812778603268945,0.0491708369155232,6,0.2699155294240331,0.3176019726797322,4485,7985.0,0.6295554164057608,1.0,0.85648090169067,1.0,30.011148272017838,4.91708369155232,high,False
NBA,Goblin,OVER,Pts+Rebs,3704,0.6528077753779697,0.9101,1117,0.7000895255147717,0.0472817501368019,7,0.2211477654052507,0.2961857935333815,3704,6746.0,0.6509042395493626,1.0,0.862436999703528,1.0,30.15658747300216,4.72817501368019,high,False
