team_name,pp_name,league,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER
AC Milan,MILAN,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Atalanta,ATALANTA,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Bologna,BOLOGNA,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Cagliari,CAGLIARI,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Como,COMO,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Fiorentina,FIORENTINA,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Frosinone,FROSINONE,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Genoa,GENOA,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Internazionale,INTERNAZIONALE,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Juventus,JUVENTUS,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Lazio,LAZIO,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Lecce,LECCE,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Monza,MONZA,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Napoli,NAPOLI,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Parma,PARMA,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
AS Roma,ROMA,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Sassuolo,SASSUOLO,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Torino,TORINO,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Udinese,UDINESE,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Venezia,VENEZIA,Serie A,0,0.0,0.0,,0,0,0,0,1,Avg
Olympiacos,OLYMPIACOS,Super League Greece,32,17.0,0.531,,0,19,9,4,1,Elite
Panathinaikos,PANATHINAIKOS,Super League Greece,32,33.0,1.031,,0,14,10,8,5,Above Avg
PAOK Salonika,PAOK SALONIKA,Super League Greece,32,25.0,0.781,,0,18,10,4,3,Elite
AEK Athens,AEK,Super League Greece,32,20.0,0.625,,0,21,9,2,2,Elite
OFI Crete,OFI CRETE,Super League Greece,6,10.0,1.667,,0,2,1,3,11,Below Avg
Levadiakos,LEVADIAKOS,Super League Greece,6,10.0,1.667,,0,3,1,2,11,Below Avg
Aris,ARIS,Super League Greece,6,5.0,0.833,,0,5,1,0,4,Above Avg
Volos NFC,VOLOS NFC,Super League Greece,6,17.0,2.833,,0,0,1,5,14,Weak
Atromitos,ATROMITOS,Super League Greece,36,42.0,1.167,,0,12,10,14,6,Above Avg
Asteras Tripoli,ASTERAS TRIPOLI,Super League Greece,36,49.0,1.361,,0,8,12,16,7,Avg
Larissa FC,LARISSA,Super League Greece,36,56.0,1.556,,0,5,15,16,10,Below Avg
Panetolikos,PANETOLIKOS,Super League Greece,36,51.0,1.417,,0,9,9,18,8,Avg
Kifisia,KIFISIA,Super League Greece,36,51.0,1.417,,0,9,14,13,8,Avg
Panserraikos FC,PANSERRAIKOS,Super League Greece,36,73.0,2.028,,0,7,8,21,13,Weak
Galatasaray,GALATASARAY,Süper Lig,34,30.0,0.882,,0,24,5,5,1,Elite
Fenerbahce,FENERBAHCE,Süper Lig,34,37.0,1.088,,0,21,11,2,4,Elite
Trabzonspor,TRABZONSPOR,Süper Lig,34,39.0,1.147,,0,20,9,5,6,Above Avg
Besiktas,BESIKTAS,Süper Lig,34,40.0,1.176,,0,17,9,8,7,Above Avg
Istanbul Basaksehir,ISTANBUL BASAKSEHIR,Süper Lig,34,35.0,1.029,,0,16,9,9,3,Elite
Goztepe,GOZTEPE,Süper Lig,34,32.0,0.941,,0,14,13,7,2,Elite
Samsunspor,SAMSUNSPOR,Süper Lig,34,45.0,1.324,,0,13,12,9,9,Avg
Caykur Rizespor,CAYKUR RIZESPOR,Süper Lig,34,52.0,1.529,,0,10,11,13,14,Below Avg
Konyaspor,KONYASPOR,Süper Lig,34,50.0,1.471,,0,10,10,14,13,Below Avg
Kocaelispor,KOCAELISPOR,Süper Lig,34,38.0,1.118,,0,9,10,15,5,Above Avg
Alanyaspor,ALANYASPOR,Süper Lig,34,41.0,1.206,,0,7,16,11,8,Above Avg
Gaziantep FK,GAZIANTEP,Süper Lig,34,58.0,1.706,,0,9,10,15,17,Weak
Kasimpasa,KASIMPASA,Süper Lig,34,49.0,1.441,,0,8,11,15,12,Below Avg
Genclerbirligi,GENCLERBIRLIGI,Süper Lig,34,47.0,1.382,,0,9,7,18,10,Avg
Eyupspor,EYUPSPOR,Süper Lig,34,48.0,1.412,,0,8,9,17,11,Avg
Antalyaspor,ANTALYASPOR,Süper Lig,34,55.0,1.618,,0,8,8,18,16,Weak
Kayserispor,KAYSERISPOR,Süper Lig,34,62.0,1.824,,0,6,12,16,18,Weak
Fatih Karagümrük,FATIH KARAGÜMRÜK,Süper Lig,34,54.0,1.588,,0,8,6,20,15,Below Avg
Arsenal,ARSENAL,UCL,8,4.0,0.5,,0,8,0,0,1,Elite
Bayern Munich,BAYERN MUNICH,UCL,8,8.0,1.0,,0,7,0,1,5,Elite
Liverpool,LIVERPOOL,UCL,8,8.0,1.0,,0,6,0,2,5,Elite
Tottenham Hotspur,SPURS,UCL,8,7.0,0.875,,0,5,2,1,2,Elite
Barcelona,BARCELONA,UCL,8,14.0,1.75,,0,5,1,2,17,Avg
Chelsea,CHELSEA,UCL,8,10.0,1.25,,0,5,1,2,8,Elite
Sporting CP,SPORTING CP,UCL,8,11.0,1.375,,0,5,1,2,11,Above Avg
Manchester City,MAN CITY,UCL,8,9.0,1.125,,0,5,1,2,7,Elite
Real Madrid,REAL MADRID,UCL,8,12.0,1.5,,0,5,0,3,15,Above Avg
Internazionale,INTERNAZIONALE,UCL,8,7.0,0.875,,0,5,0,3,2,Elite
Paris Saint-Germain,PSG,UCL,8,11.0,1.375,,0,4,2,2,11,Above Avg
Newcastle United,NEWCASTLE,UCL,8,7.0,0.875,,0,4,2,2,2,Elite
Juventus,JUVENTUS,UCL,8,10.0,1.25,,0,3,4,1,8,Elite
